,County,Cases,Rate_per_100k
2697,"Stevens County, MN",0,0.0
2698,"Stevens County, WA",0,0.0
2699,"Stewart County, GA",8,141.7
2700,"Stewart County, TN",0,0.0
2701,"Stillwater County, MT",0,0.0
2702,"Stoddard County, MO",Data suppressed,Data suppressed
2703,"Stokes County, NC",Data suppressed,Data suppressed
2704,"Stone County, AR",0,0.0
2705,"Stone County, MO",0,0.0
2706,"Stone County, MS",Data suppressed,Data suppressed
2707,"Stonewall County, TX",0,0.0
2708,"Storey County, NV",0,0.0
2709,"Story County, IA",Data suppressed,Data suppressed
2710,"Strafford County, NH",Data suppressed,Data suppressed
2711,"Stutsman County, ND",Data suppressed,Data suppressed
2712,"Sublette County, WY",0,0.0
2713,"Suffolk City, VA",13,17.3
2714,"Suffolk County, MA",150,21.2
2715,"Suffolk County, NY",107,8.5
2716,"Sullivan County, IN",0,0.0
2717,"Sullivan County, MO",0,0.0
2718,"Sullivan County, NH",0,0.0
2719,"Sullivan County, NY",5,7.8
2720,"Sullivan County, PA",0,0.0
2721,"Sullivan County, TN",11,8.1
2722,"Sully County, SD",0,0.0
2723,"Summers County, WV",0,0.0
2724,"Summit County, CO",Data suppressed,Data suppressed
2725,"Summit County, OH",46,10.0
2726,"Summit County, UT",Data suppressed,Data suppressed
2727,"Sumner County, KS",0,0.0
2728,"Sumner County, TN",9,5.8
2729,"Sumter County, AL",Data suppressed,Data suppressed
2730,"Sumter County, FL",9,7.4
2731,"Sumter County, GA",12,48.2
2732,"Sumter County, SC",26,29.5
2733,"Sunflower County, MS",Data suppressed,Data suppressed
2734,"Surry County, NC",Data suppressed,Data suppressed
2735,"Surry County, VA",0,0.0
2736,"Susquehanna County, PA",Data suppressed,Data suppressed
2737,"Sussex County, DE",11,5.5
2738,"Sussex County, NJ",7,5.7
2739,"Sussex County, VA",Data suppressed,Data suppressed
2740,"Sutter County, CA",5,6.3
2741,"Sutton County, TX",0,0.0
2742,"Suwannee County, FL",Data suppressed,Data suppressed
2743,"Swain County, NC",0,0.0
2744,"Sweet Grass County, MT",0,0.0
2745,"Sweetwater County, WY",Data suppressed,Data suppressed
2746,"Swift County, MN",0,0.0
2747,"Swisher County, TX",0,0.0
2748,"Switzerland County, IN",0,0.0
2749,"Talbot County, GA",Data suppressed,Data suppressed
2750,"Talbot County, MD",Data suppressed,Data suppressed
2751,"Taliaferro County, GA",Data suppressed,Data suppressed
2752,"Talladega County, AL",7,10.3
2753,"Tallahatchie County, MS",Data suppressed,Data suppressed
2754,"Tallapoosa County, AL",Data suppressed,Data suppressed
2755,"Tama County, IA",0,0.0
2756,"Taney County, MO",0,0.0
2757,"Tangipahoa Parish, LA",22,20.1
2758,"Taos County, NM",0,0.0
2759,"Tarrant County, TX",274,16.2
2760,"Tate County, MS",Data suppressed,Data suppressed
2761,"Tattnall County, GA",Data suppressed,Data suppressed
2762,"Taylor County, FL",Data suppressed,Data suppressed
2763,"Taylor County, GA",Data suppressed,Data suppressed
2764,"Taylor County, IA",0,0.0
2765,"Taylor County, KY",Data suppressed,Data suppressed
2766,"Taylor County, TX",12,10.7
2767,"Taylor County, WI",0,0.0
2768,"Taylor County, WV",0,0.0
2769,"Tazewell County, IL",Data suppressed,Data suppressed
2770,"Tazewell County, VA",Data suppressed,Data suppressed
2771,"Tehama County, CA",Data suppressed,Data suppressed
2772,"Telfair County, GA",Data suppressed,Data suppressed
2773,"Teller County, CO",0,0.0
2774,"Tensas Parish, LA",Data suppressed,Data suppressed
2775,"Terrebonne Parish, LA",10,11.0
2776,"Terrell County, GA",Data suppressed,Data suppressed
2777,"Terrell County, TX",0,0.0
2778,"Terry County, TX",0,0.0
2779,"Teton County, ID",0,0.0
2780,"Teton County, MT",0,0.0
2781,"Teton County, WY",Data suppressed,Data suppressed
2782,"Texas County, MO",Data suppressed,Data suppressed
2783,"Texas County, OK",Data suppressed,Data suppressed
2784,"Thayer County, NE",0,0.0
2785,"Thomas County, GA",9,24.4
2786,"Thomas County, KS",0,0.0
2787,"Thomas County, NE",0,0.0
2788,"Throckmorton County, TX",0,0.0
2789,"Thurston County, NE",0,0.0
2790,"Thurston County, WA",9,3.7
2791,"Tift County, GA",12,36.1
2792,"Tillamook County, OR",0,0.0
2793,"Tillman County, OK",0,0.0
2794,"Tioga County, NY",Data suppressed,Data suppressed
2795,"Tioga County, PA",0,0.0
2796,"Tippah County, MS",Data suppressed,Data suppressed
2797,"Tippecanoe County, IN",8,4.9
2798,"Tipton County, IN",0,0.0
2799,"Tipton County, TN",Data suppressed,Data suppressed
2800,"Tishomingo County, MS",Data suppressed,Data suppressed
2801,"Titus County, TX",Data suppressed,Data suppressed
2802,"Todd County, KY",Data suppressed,Data suppressed
2803,"Todd County, MN",0,0.0
2804,"Todd County, SD",0,0.0
2805,"Tolland County, CT",Data suppressed,Data suppressed
2806,"Tom Green County, TX",19,19.5
2807,"Tompkins County, NY",6,6.5
2808,"Tooele County, UT",Data suppressed,Data suppressed
2809,"Toole County, MT",0,0.0
2810,"Toombs County, GA",Data suppressed,Data suppressed
2811,"Torrance County, NM",Data suppressed,Data suppressed
2812,"Towner County, ND",0,0.0
2813,"Towns County, GA",0,0.0
2814,"Traill County, ND",0,0.0
2815,"Transylvania County, NC",Data suppressed,Data suppressed
2816,"Traverse County, MN",0,0.0
2817,"Travis County, TX",207,19.7
2818,"Treasure County, MT",0,0.0
2819,"Trego County, KS",0,0.0
2820,"Trempealeau County, WI",Data suppressed,Data suppressed
2821,"Treutlen County, GA",Data suppressed,Data suppressed
2822,"Trigg County, KY",Data suppressed,Data suppressed
2823,"Trimble County, KY",Data suppressed,Data suppressed
2824,"Trinity County, CA",0,0.0
2825,"Trinity County, TX",Data suppressed,Data suppressed
2826,"Tripp County, SD",0,0.0
2827,"Troup County, GA",9,15.5
2828,"Trousdale County, TN",Data suppressed,Data suppressed
2829,"Trumbull County, OH",9,5.3
2830,"Tucker County, WV",0,0.0
2831,"Tulare County, CA",50,13.8
2832,"Tulsa County, OK",46,8.7
2833,"Tunica County, MS",Data suppressed,Data suppressed
2834,"Tuolumne County, CA",Data suppressed,Data suppressed
2835,"Turner County, GA",Data suppressed,Data suppressed
2836,"Turner County, SD",0,0.0
2837,"Tuscaloosa County, AL",30,16.9
2838,"Tuscarawas County, OH",Data suppressed,Data suppressed
2839,"Tuscola County, MI",Data suppressed,Data suppressed
2840,"Twiggs County, GA",Data suppressed,Data suppressed
2841,"Twin Falls County, ID",Data suppressed,Data suppressed
2842,"Tyler County, TX",Data suppressed,Data suppressed
2843,"Tyler County, WV",0,0.0
2844,"Tyrrell County, NC",0,0.0
2845,"Uinta County, WY",0,0.0
2846,"Uintah County, UT",Data suppressed,Data suppressed
2847,"Ulster County, NY",14,8.9
2848,"Umatilla County, OR",Data suppressed,Data suppressed
2849,"Unicoi County, TN",Data suppressed,Data suppressed
2850,"Union County, AR",Data suppressed,Data suppressed
2851,"Union County, FL",10,77.8
2852,"Union County, GA",Data suppressed,Data suppressed
2853,"Union County, IA",0,0.0
2854,"Union County, IL",0,0.0
2855,"Union County, IN",0,0.0
2856,"Union County, KY",Data suppressed,Data suppressed
2857,"Union County, MS",Data suppressed,Data suppressed
2858,"Union County, NC",18,9.3
2859,"Union County, NJ",61,13.1
2860,"Union County, NM",0,0.0
2861,"Union County, OH",Data suppressed,Data suppressed
2862,"Union County, OR",0,0.0
2863,"Union County, PA",Data suppressed,Data suppressed
2864,"Union County, SC",8,34.4
2865,"Union County, SD",0,0.0
2866,"Union County, TN",0,0.0
2867,"Union Parish, LA",Data suppressed,Data suppressed
2868,"Upshur County, TX",Data suppressed,Data suppressed
2869,"Upshur County, WV",0,0.0
2870,"Upson County, GA",Data suppressed,Data suppressed
2871,"Upton County, TX",0,0.0
2872,"Utah County, UT",13,2.8
2873,"Uvalde County, TX",Data suppressed,Data suppressed
2874,"Val Verde County, TX",Data suppressed,Data suppressed
2875,"Valdez-Cordova Census Area, AK",Data suppressed,Data suppressed
2876,"Valencia County, NM",Data suppressed,Data suppressed
2877,"Valley County, ID",Data suppressed,Data suppressed
2878,"Valley County, MT",0,0.0
2879,"Valley County, NE",0,0.0
2880,"Van Buren County, AR",0,0.0
2881,"Van Buren County, IA",0,0.0
2882,"Van Buren County, MI",Data suppressed,Data suppressed
2883,"Van Buren County, TN",0,0.0
2884,"Van Wert County, OH",0,0.0
2885,"Van Zandt County, TX",Data suppressed,Data suppressed
2886,"Vance County, NC",8,21.6
2887,"Vanderburgh County, IN",13,8.5
2888,"Venango County, PA",0,0.0
2889,"Ventura County, CA",50,7.0
2890,"Vermilion County, IL",Data suppressed,Data suppressed
2891,"Vermilion Parish, LA",5,10.2
2892,"Vermillion County, IN",0,0.0
2893,"Vernon County, MO",0,0.0
2894,"Vernon County, WI",Data suppressed,Data suppressed
2895,"Vernon Parish, LA",Data suppressed,Data suppressed
2896,"Victoria County, TX",Data suppressed,Data suppressed
2897,"Vigo County, IN",Data suppressed,Data suppressed
2898,"Vilas County, WI",0,0.0
2899,"Vinton County, OH",0,0.0
2900,"Virginia Beach City, VA",52,13.8
2901,"Volusia County, FL",82,17.1
2902,"Wabash County, IL",0,0.0
2903,"Wabash County, IN",0,0.0
2904,"Wabasha County, MN",0,0.0
2905,"Wabaunsee County, KS",0,0.0
2906,"Wadena County, MN",0,0.0
2907,"Wagoner County, OK",Data suppressed,Data suppressed
2908,"Wahkiakum County, WA",0,0.0
2909,"Wake County, NC",112,12.4
2910,"Wakulla County, FL",Data suppressed,Data suppressed
2911,"Waldo County, ME",Data suppressed,Data suppressed
2912,"Walker County, AL",Data suppressed,Data suppressed
2913,"Walker County, GA",Data suppressed,Data suppressed
2914,"Walker County, TX",22,34.1
2915,"Walla Walla County, WA",Data suppressed,Data suppressed
2916,"Wallace County, KS",0,0.0
2917,"Waller County, TX",9,20.6
2918,"Wallowa County, OR",0,0.0
2919,"Walsh County, ND",0,0.0
2920,"Walthall County, MS",0,0.0
2921,"Walton County, FL",Data suppressed,Data suppressed
2922,"Walton County, GA",14,18.0
2923,"Walworth County, SD",0,0.0
2924,"Walworth County, WI",Data suppressed,Data suppressed
2925,"Wapello County, IA",0,0.0
2926,"Ward County, ND",Data suppressed,Data suppressed
2927,"Ward County, TX",0,0.0
2928,"Ware County, GA",6,20.4
2929,"Warren County, GA",0,0.0
2930,"Warren County, IA",0,0.0
2931,"Warren County, IL",Data suppressed,Data suppressed
2932,"Warren County, IN",0,0.0
2933,"Warren County, KY",9,8.2
2934,"Warren County, MO",Data suppressed,Data suppressed
2935,"Warren County, MS",12,31.3
2936,"Warren County, NC",Data suppressed,Data suppressed
2937,"Warren County, NJ",Data suppressed,Data suppressed
2938,"Warren County, NY",Data suppressed,Data suppressed
2939,"Warren County, OH",5,2.6
2940,"Warren County, PA",Data suppressed,Data suppressed
2941,"Warren County, TN",Data suppressed,Data suppressed
2942,"Warren County, VA",Data suppressed,Data suppressed
2943,"Warrick County, IN",Data suppressed,Data suppressed
2944,"Wasatch County, UT",0,0.0
2945,"Wasco County, OR",0,0.0
2946,"Waseca County, MN",Data suppressed,Data suppressed
2947,"Washakie County, WY",0,0.0
2948,"Washburn County, WI",0,0.0
2949,"Washington County, AL",Data suppressed,Data suppressed
2950,"Washington County, AR",18,9.2
2951,"Washington County, CO",0,0.0
2952,"Washington County, FL",Data suppressed,Data suppressed
2953,"Washington County, GA",Data suppressed,Data suppressed
2954,"Washington County, IA",Data suppressed,Data suppressed
2955,"Washington County, ID",0,0.0
2956,"Washington County, IL",Data suppressed,Data suppressed
2957,"Washington County, IN",Data suppressed,Data suppressed
2958,"Washington County, KS",0,0.0
2959,"Washington County, KY",Data suppressed,Data suppressed
2960,"Washington County, MD",12,9.4
2961,"Washington County, ME",0,0.0
2962,"Washington County, MN",9,4.2
2963,"Washington County, MO",0,0.0
2964,"Washington County, MS",10,27.4
2965,"Washington County, NC",Data suppressed,Data suppressed
2966,"Washington County, NE",0,0.0
2967,"Washington County, NY",Data suppressed,Data suppressed
2968,"Washington County, OH",Data suppressed,Data suppressed
2969,"Washington County, OK",Data suppressed,Data suppressed
2970,"Washington County, OR",36,7.2
2971,"Washington County, PA",6,3.4
2972,"Washington County, RI",Data suppressed,Data suppressed
2973,"Washington County, TN",6,5.4
2974,"Washington County, TX",Data suppressed,Data suppressed
2975,"Washington County, UT",6,4.3
2976,"Washington County, VA",Data suppressed,Data suppressed
2977,"Washington County, VT",Data suppressed,Data suppressed
2978,"Washington County, WI",Data suppressed,Data suppressed
2979,"Washington Parish, LA",10,25.9
2980,"Washita County, OK",0,0.0
2981,"Washoe County, NV",39,9.9
2982,"Washtenaw County, MI",34,10.5
2983,"Watauga County, NC",Data suppressed,Data suppressed
2984,"Watonwan County, MN",0,0.0
2985,"Waukesha County, WI",5,1.5
2986,"Waupaca County, WI",0,0.0
2987,"Waushara County, WI",0,0.0
2988,"Wayne County, GA",Data suppressed,Data suppressed
2989,"Wayne County, IA",Data suppressed,Data suppressed
2990,"Wayne County, IL",0,0.0
2991,"Wayne County, IN",0,0.0
2992,"Wayne County, KY",Data suppressed,Data suppressed
2993,"Wayne County, MI",299,20.5
2994,"Wayne County, MO",0,0.0
2995,"Wayne County, MS",0,0.0
2996,"Wayne County, NC",14,13.7
2997,"Wayne County, NE",0,0.0
2998,"Wayne County, NY",Data suppressed,Data suppressed
2999,"Wayne County, OH",Data suppressed,Data suppressed
3000,"Wayne County, PA",0,0.0
3001,"Wayne County, TN",Data suppressed,Data suppressed
3002,"Wayne County, UT",0,0.0
3003,"Wayne County, WV",Data suppressed,Data suppressed
3004,"Waynesboro City, VA",Data suppressed,Data suppressed
3005,"Weakley County, TN",Data suppressed,Data suppressed
3006,"Webb County, TX",36,17.2
3007,"Weber County, UT",5,2.5
3008,"Webster County, GA",0,0.0
3009,"Webster County, IA",0,0.0
3010,"Webster County, KY",Data suppressed,Data suppressed
3011,"Webster County, MO",Data suppressed,Data suppressed
3012,"Webster County, MS",0,0.0
3013,"Webster County, NE",0,0.0
3014,"Webster County, WV",0,0.0
3015,"Webster Parish, LA",5,15.4
3016,"Weld County, CO",8,3.1
3017,"Wells County, IN",Data suppressed,Data suppressed
3018,"Wells County, ND",0,0.0
3019,"West Baton Rouge Parish, LA",7,32.3
3020,"West Carroll Parish, LA",0,0.0
3021,"West Feliciana Parish, LA",Data suppressed,Data suppressed
3022,"Westchester County, NY",80,9.8
3023,"Westmoreland County, PA",12,3.9
3024,"Westmoreland County, VA",Data suppressed,Data suppressed
3025,"Weston County, WY",0,0.0
3026,"Wetzel County, WV",0,0.0
3027,"Wexford County, MI",Data suppressed,Data suppressed
3028,"Wharton County, TX",5,14.7
3029,"Whatcom County, WA",Data suppressed,Data suppressed
3030,"Wheatland County, MT",0,0.0
3031,"Wheeler County, GA",0,0.0
3032,"Wheeler County, NE",0,0.0
3033,"Wheeler County, OR",0,0.0
3034,"Wheeler County, TX",0,0.0
3035,"White County, AR",Data suppressed,Data suppressed
3036,"White County, GA",0,0.0
3037,"White County, IL",Data suppressed,Data suppressed
3038,"White County, IN",0,0.0
3039,"White County, TN",Data suppressed,Data suppressed
3040,"White Pine County, NV",Data suppressed,Data suppressed
3041,"Whiteside County, IL",Data suppressed,Data suppressed
3042,"Whitfield County, GA",7,8.2
3043,"Whitley County, IN",Data suppressed,Data suppressed
3044,"Whitley County, KY",Data suppressed,Data suppressed
3045,"Whitman County, WA",Data suppressed,Data suppressed
3046,"Wibaux County, MT",0,0.0
3047,"Wichita County, KS",Data suppressed,Data suppressed
3048,"Wichita County, TX",14,12.7
3049,"Wicomico County, MD",11,12.7
3050,"Wilbarger County, TX",0,0.0
3051,"Wilcox County, AL",Data suppressed,Data suppressed
3052,"Wilcox County, GA",Data suppressed,Data suppressed
3053,"Wilkes County, GA",0,0.0
3054,"Wilkes County, NC",Data suppressed,Data suppressed
3055,"Wilkin County, MN",Data suppressed,Data suppressed
3056,"Wilkinson County, GA",0,0.0
3057,"Wilkinson County, MS",Data suppressed,Data suppressed
3058,"Will County, IL",38,6.6
3059,"Willacy County, TX",Data suppressed,Data suppressed
3060,"Williams County, ND",0,0.0
3061,"Williams County, OH",Data suppressed,Data suppressed
3062,"Williamsburg City, VA",0,0.0
3063,"Williamsburg County, SC",10,38.2
3064,"Williamson County, IL",Data suppressed,Data suppressed
3065,"Williamson County, TN",11,5.8
3066,"Williamson County, TX",43,9.3
3067,"Wilson County, KS",0,0.0
3068,"Wilson County, NC",15,22.0
3069,"Wilson County, TN",7,6.0
3070,"Wilson County, TX",Data suppressed,Data suppressed
3071,"Winchester City, VA",Data suppressed,Data suppressed
3072,"Windham County, CT",Data suppressed,Data suppressed
3073,"Windham County, VT",Data suppressed,Data suppressed
3074,"Windsor County, VT",Data suppressed,Data suppressed
3075,"Winkler County, TX",Data suppressed,Data suppressed
3076,"Winn Parish, LA",0,0.0
3077,"Winnebago County, IA",0,0.0
3078,"Winnebago County, IL",33,13.9
3079,"Winnebago County, WI",Data suppressed,Data suppressed
3080,"Winneshiek County, IA",0,0.0
3081,"Winona County, MN",0,0.0
3082,"Winston County, AL",Data suppressed,Data suppressed
3083,"Winston County, MS",Data suppressed,Data suppressed
3084,"Wirt County, WV",0,0.0
3085,"Wise County, TX",0,0.0
3086,"Wise County, VA",Data suppressed,Data suppressed
3087,"Wolfe County, KY",Data suppressed,Data suppressed
3088,"Wood County, OH",9,8.1
3089,"Wood County, TX",7,17.9
3090,"Wood County, WI",0,0.0
3091,"Wood County, WV",Data suppressed,Data suppressed
3092,"Woodbury County, IA",5,6.0
3093,"Woodford County, IL",0,0.0
3094,"Woodford County, KY",Data suppressed,Data suppressed
3095,"Woodruff County, AR",Data suppressed,Data suppressed
3096,"Woods County, OK",0,0.0
3097,"Woodson County, KS",0,0.0
3098,"Woodward County, OK",Data suppressed,Data suppressed
3099,"Worcester County, MA",45,6.3
3100,"Worcester County, MD",Data suppressed,Data suppressed
3101,"Worth County, GA",Data suppressed,Data suppressed
3102,"Worth County, IA",0,0.0
3103,"Worth County, MO",0,0.0
3104,"Wrangell City and Borough, AK",Data suppressed,Data suppressed
3105,"Wright County, IA",0,0.0
3106,"Wright County, MN",Data suppressed,Data suppressed
3107,"Wright County, MO",0,0.0
3108,"Wyandot County, OH",0,0.0
3109,"Wyandotte County, KS",24,18.3
3110,"Wyoming County, NY",0,0.0
3111,"Wyoming County, PA",0,0.0
3112,"Wyoming County, WV",Data suppressed,Data suppressed
3113,"Wythe County, VA",0,0.0
3114,"Yadkin County, NC",Data suppressed,Data suppressed
3115,"Yakima County, WA",6,3.0
3116,"Yakutat City and Borough, AK",Data suppressed,Data suppressed
3117,"Yalobusha County, MS",Data suppressed,Data suppressed
3118,"Yamhill County, OR",Data suppressed,Data suppressed
3119,"Yancey County, NC",0,0.0
3120,"Yankton County, SD",Data suppressed,Data suppressed
3121,"Yates County, NY",0,0.0
3122,"Yavapai County, AZ",5,2.4
3123,"Yazoo County, MS",5,21.0
3124,"Yell County, AR",Data suppressed,Data suppressed
3125,"Yellow Medicine County, MN",Data suppressed,Data suppressed
3126,"Yellowstone County, MT",10,7.5
3127,"Yoakum County, TX",0,0.0
3128,"Yolo County, CA",17,9.1
3129,"York County, ME",Data suppressed,Data suppressed
3130,"York County, NE",Data suppressed,Data suppressed
3131,"York County, PA",33,8.7
3132,"York County, SC",21,9.3
3133,"York County, VA",Data suppressed,Data suppressed
3134,"Young County, TX",0,0.0
3135,"Yuba County, CA",Data suppressed,Data suppressed
3136,"Yukon-Koyukuk Census Area, AK",Data suppressed,Data suppressed
3137,"Yuma County, AZ",14,8.1
3138,"Yuma County, CO",Data suppressed,Data suppressed
3139,"Zapata County, TX",0,0.0
3140,"Zavala County, TX",0,0.0
3141,"Ziebach County, SD",0,0.0
