,County,Cases,Rate_per_100k
0,"Abbeville County, SC",Data suppressed,Data suppressed
1,"Acadia Parish, LA",6,11.8
2,"Accomack County, VA",Data suppressed,Data suppressed
3,"Ada County, ID",17,4.5
4,"Adair County, IA",0,0.0
5,"Adair County, KY",Data suppressed,Data suppressed
6,"Adair County, MO",Data suppressed,Data suppressed
7,"Adair County, OK",Data suppressed,Data suppressed
8,"Adams County, CO",66,16.3
9,"Adams County, IA",0,0.0
10,"Adams County, ID",0,0.0
11,"Adams County, IL",Data suppressed,Data suppressed
12,"Adams County, IN",Data suppressed,Data suppressed
13,"Adams County, MS",Data suppressed,Data suppressed
14,"Adams County, ND",0,0.0
15,"Adams County, NE",Data suppressed,Data suppressed
16,"Adams County, OH",0,0.0
17,"Adams County, PA",Data suppressed,Data suppressed
18,"Adams County, WA",0,0.0
19,"Adams County, WI",Data suppressed,Data suppressed
20,"Addison County, VT",Data suppressed,Data suppressed
21,"Aiken County, SC",18,12.7
22,"Aitkin County, MN",0,0.0
23,"Alachua County, FL",50,21.6
24,"Alamance County, NC",22,16.0
25,"Alameda County, CA",204,14.5
26,"Alamosa County, CO",Data suppressed,Data suppressed
27,"Albany County, NY",35,13.1
28,"Albany County, WY",0,0.0
29,"Albemarle County, VA",0,0.0
30,"Alcona County, MI",0,0.0
31,"Alcorn County, MS",Data suppressed,Data suppressed
32,"Aleutians East Borough, AK",Data suppressed,Data suppressed
33,"Aleutians West Census Area, AK",Data suppressed,Data suppressed
34,"Alexander County, IL",Data suppressed,Data suppressed
35,"Alexander County, NC",0,0.0
36,"Alexandria City, VA",30,22.0
37,"Alfalfa County, OK",0,0.0
38,"Alger County, MI",0,0.0
39,"Allamakee County, IA",0,0.0
40,"Allegan County, MI",7,7.3
41,"Allegany County, MD",6,9.6
42,"Allegany County, NY",0,0.0
43,"Alleghany County, NC",0,0.0
44,"Alleghany County, VA",0,0.0
45,"Allegheny County, PA",89,8.4
46,"Allen County, IN",24,7.9
47,"Allen County, KS",Data suppressed,Data suppressed
48,"Allen County, KY",Data suppressed,Data suppressed
49,"Allen County, OH",Data suppressed,Data suppressed
50,"Allen Parish, LA",Data suppressed,Data suppressed
51,"Allendale County, SC",0,0.0
52,"Alpena County, MI",0,0.0
53,"Alpine County, CA",0,0.0
54,"Amador County, CA",Data suppressed,Data suppressed
55,"Amelia County, VA",0,0.0
56,"Amherst County, VA",0,0.0
57,"Amite County, MS",0,0.0
58,"Anchorage Municipality, AK",Data suppressed,Data suppressed
59,"Anderson County, KS",0,0.0
60,"Anderson County, KY",Data suppressed,Data suppressed
61,"Anderson County, SC",14,8.4
62,"Anderson County, TN",Data suppressed,Data suppressed
63,"Anderson County, TX",17,33.9
64,"Andrew County, MO",Data suppressed,Data suppressed
65,"Andrews County, TX",Data suppressed,Data suppressed
66,"Androscoggin County, ME",Data suppressed,Data suppressed
67,"Angelina County, TX",12,16.8
68,"Anne Arundel County, MD",45,9.4
69,"Anoka County, MN",16,5.5
70,"Anson County, NC",Data suppressed,Data suppressed
71,"Antelope County, NE",0,0.0
72,"Antrim County, MI",0,0.0
73,"Apache County, AZ",6,10.4
74,"Appanoose County, IA",0,0.0
75,"Appling County, GA",Data suppressed,Data suppressed
76,"Appomattox County, VA",0,0.0
77,"Aransas County, TX",Data suppressed,Data suppressed
78,"Arapahoe County, CO",59,11.0
79,"Archer County, TX",Data suppressed,Data suppressed
80,"Archuleta County, CO",0,0.0
81,"Arenac County, MI",0,0.0
82,"Arkansas County, AR",Data suppressed,Data suppressed
83,"Arlington County, VA",Data suppressed,Data suppressed
84,"Armstrong County, PA",Data suppressed,Data suppressed
85,"Armstrong County, TX",0,0.0
86,"Aroostook County, ME",0,0.0
87,"Arthur County, NE",0,0.0
88,"Ascension Parish, LA",9,9.1
89,"Ashe County, NC",0,0.0
90,"Ashland County, OH",Data suppressed,Data suppressed
91,"Ashland County, WI",0,0.0
92,"Ashley County, AR",Data suppressed,Data suppressed
93,"Ashtabula County, OH",Data suppressed,Data suppressed
94,"Asotin County, WA",0,0.0
95,"Assumption Parish, LA",Data suppressed,Data suppressed
96,"Atascosa County, TX",6,15.2
97,"Atchison County, KS",0,0.0
98,"Atchison County, MO",0,0.0
99,"Athens County, OH",Data suppressed,Data suppressed
100,"Atkinson County, GA",Data suppressed,Data suppressed
101,"Atlantic County, NJ",31,13.7
102,"Atoka County, OK",0,0.0
103,"Attala County, MS",Data suppressed,Data suppressed
104,"Audrain County, MO",Data suppressed,Data suppressed
105,"Audubon County, IA",Data suppressed,Data suppressed
106,"Auglaize County, OH",0,0.0
107,"Augusta County, VA",0,0.0
108,"Aurora County, SD",0,0.0
109,"Austin County, TX",Data suppressed,Data suppressed
110,"Autauga County, AL",10,21.6
111,"Avery County, NC",0,0.0
112,"Avoyelles Parish, LA",6,17.7
113,"Baca County, CO",0,0.0
114,"Bacon County, GA",Data suppressed,Data suppressed
115,"Bailey County, TX",Data suppressed,Data suppressed
116,"Baker County, FL",Data suppressed,Data suppressed
117,"Baker County, GA",0,0.0
118,"Baker County, OR",0,0.0
119,"Baldwin County, AL",11,6.1
120,"Baldwin County, GA",7,18.1
121,"Ballard County, KY",Data suppressed,Data suppressed
122,"Baltimore City, MD",237,46.0
123,"Baltimore County, MD",116,16.6
124,"Bamberg County, SC",Data suppressed,Data suppressed
125,"Bandera County, TX",0,0.0
126,"Banks County, GA",0,0.0
127,"Banner County, NE",0,0.0
128,"Bannock County, ID",Data suppressed,Data suppressed
129,"Baraga County, MI",0,0.0
130,"Barber County, KS",0,0.0
131,"Barbour County, AL",Data suppressed,Data suppressed
132,"Barbour County, WV",0,0.0
133,"Barnes County, ND",0,0.0
134,"Barnstable County, MA",15,7.8
135,"Barnwell County, SC",Data suppressed,Data suppressed
136,"Barren County, KY",Data suppressed,Data suppressed
137,"Barron County, WI",Data suppressed,Data suppressed
138,"Barrow County, GA",6,9.4
139,"Barry County, MI",Data suppressed,Data suppressed
140,"Barry County, MO",0,0.0
141,"Bartholomew County, IN",Data suppressed,Data suppressed
142,"Barton County, KS",0,0.0
143,"Barton County, MO",0,0.0
144,"Bartow County, GA",7,8.1
145,"Bastrop County, TX",10,14.4
146,"Bates County, MO",Data suppressed,Data suppressed
147,"Bath County, KY",Data suppressed,Data suppressed
148,"Bath County, VA",0,0.0
149,"Baxter County, AR",Data suppressed,Data suppressed
150,"Bay County, FL",31,20.0
151,"Bay County, MI",7,7.8
152,"Bayfield County, WI",0,0.0
153,"Baylor County, TX",0,0.0
154,"Beadle County, SD",0,0.0
155,"Bear Lake County, ID",0,0.0
156,"Beaufort County, NC",5,12.4
157,"Beaufort County, SC",11,6.8
158,"Beauregard Parish, LA",Data suppressed,Data suppressed
159,"Beaver County, OK",0,0.0
160,"Beaver County, PA",10,7.0
161,"Beaver County, UT",0,0.0
162,"Beaverhead County, MT",0,0.0
163,"Becker County, MN",0,0.0
164,"Beckham County, OK",0,0.0
165,"Bedford County, PA",0,0.0
166,"Bedford County, TN",Data suppressed,Data suppressed
