Actual,Predicted,FIPS
8.49,11.848831713900134,1073
4.83,14.762081179689876,1097
11.3,6.80566883684584,2020
7.72,10.059127497287715,4003
5.11,9.309590263984385,4013
22.66,16.03689515090173,4015
15.15,10.891089267285862,4019
6.93,6.146037924433666,4021
4.65,11.999330668304003,4025
6.13,11.617353423331057,5119
2.79,6.095501632285843,6001
4.5,15.423438480722178,6007
3.93,4.773842539984955,6013
5.23,7.331455865607798,6019
14.87,15.069048018648019,6023
6.23,6.891601180261946,6025
4.63,7.334119024193379,6029
29.75,22.613441743782534,6033
2.93,6.286339386361833,6037
7.87,7.31577377490868,6039
12.62,14.626689377289377,6045
6.46,8.23197271062271,6047
6.3,7.757976576244532,6053
7.64,5.980173854508065,6059
3.54,8.512989838558974,6061
5.63,6.587305139843818,6065
6.77,6.667969757693287,6067
2.68,6.954133353753517,6071
8.0,9.030704532896994,6073
8.96,6.232532584666794,6075
9.09,7.840527804628628,6077
7.6,10.130428079110434,6079
2.68,4.056465920096415,6081
3.9,7.149931991341991,6083
2.52,3.8405941252246203,6085
10.02,7.310824964216321,6087
11.73,14.619446727782023,6089
2.59,9.656721012321013,6095
2.42,7.1375932485247064,6097
3.43,8.256998951973952,6099
3.96,14.493027019420207,6107
7.62,7.5240171473134705,6111
10.66,5.404748162768031,8001
3.29,6.355524323272398,8005
12.58,8.557874897896221,8013
11.55,7.960216484169426,8031
5.56,5.247998949226995,8035
7.18,6.089114819958164,8041
7.97,7.6473961995348985,8059
7.6,8.949476948051949,8069
19.2,13.465056684981684,8101
5.56,5.630234067509643,8123
8.62,5.275848020010679,9001
12.58,8.77352845463715,9003
14.98,7.569991740366168,9005
11.48,7.057935064916014,9007
13.45,6.321112166999667,9009
17.87,7.805610949917529,9011
6.61,8.259565098726224,9013
9.35,9.67257676928335,9015
16.53,14.321407742257742,10001
9.28,6.240948269458366,10003
12.1,13.119739643689645,10005
8.35,5.7426432708382835,11001
8.0,11.574057526168362,12005
3.81,10.455037275568989,12009
5.38,5.447376246066741,12011
10.69,11.34739687932205,12019
7.66,6.040040052104758,12021
9.82,9.671114091790564,12031
4.25,11.848831713900134,12033
8.03,13.008921607047924,12053
8.52,8.311283341821577,12057
6.5,9.1128522538521,12071
4.26,8.100231013104542,12073
15.78,10.672285808270678,12081
3.85,8.426008722929117,12083
6.61,10.011060428460429,12085
2.52,7.724447496049701,12086
7.43,6.512251774693651,12095
8.04,8.184242845964041,12097
