,County FIPS,Poverty Percent All Ages,Median Household Income
268,08033,12.9,40511
269,08035,3.5,97806
270,08037,8.5,69182
271,08039,6.5,78550
272,08041,13.4,51553
273,08043,16.7,40543
274,08045,9.6,60456
275,08047,7.5,63024
276,08049,8.3,55818
277,08051,14.5,47698
278,08053,9.4,48195
279,08055,22.7,31696
280,08057,15.1,43691
281,08059,8.8,64181
282,08061,13,37600
283,08063,14,39498
284,08065,14.4,43565
285,08067,11.5,53029
286,08069,13.6,54739
287,08071,18.8,37700
288,08073,17.9,39230
289,08075,16.3,40637
290,08077,14.7,47324
291,08079,11.9,45645
292,08081,10.1,55913
293,08083,17.4,41074
294,08085,15,44002
295,08087,14.2,43209
296,08089,19.9,34360
297,08091,9.4,54920
298,08093,9.3,66400
299,08095,11.4,44064
300,08097,7,65568
301,08099,23,34488
302,08101,19.6,39107
303,08103,8.6,59308
304,08105,17.3,37300
305,08107,7.7,60506
306,08109,25.1,30985
307,08111,15.9,37001
308,08113,10,62368
309,08115,13.6,36749
310,08117,10.1,60087
311,08119,8.7,59966
312,08121,13.9,40914
313,08123,14.3,52334
314,08125,12.5,43361
315,09000,10.1,64321
316,09001,9.3,74634
317,09003,11.3,60028
318,09005,6.7,66076
319,09007,6.8,70805
320,09009,11.6,57070
321,09011,8.9,61792
322,09013,6.4,74868
323,09015,11.8,56564
324,10000,11.9,56172
325,10001,12.1,51490
326,10003,11.2,59877
327,10005,13.9,48582
328,11000,18.8,60729
329,11001,18.8,60729
330,12000,16.5,44390
331,12001,25.3,40656
332,12003,17.5,45802
333,12005,15.1,44364
334,12007,19.4,39454
335,12009,13.5,46331
336,12011,14.7,47917
337,12013,22.1,34054
338,12015,13.9,41991
339,12017,17.2,36174
340,12019,11.3,57913
341,12021,15.7,53341
342,12023,19.5,34870
343,12027,32.9,33966
344,12029,26.6,30967
345,12031,16.6,46112
346,12033,19.1,41428
347,12035,15.5,45685
348,12037,24.2,34522
349,12039,23.8,35704
350,12041,21,38517
351,12043,21,39089
352,12045,21.1,39403
353,12047,30.8,31820
354,12049,30.3,33732
355,12051,26.7,37220
356,12053,15.1,37867
357,12055,20.7,34469
358,12057,16.7,46043
359,12059,22.5,33696
360,12061,14.4,47525
361,12063,19,37351
362,12065,18.5,39113
363,12067,26,36001
364,12069,13.5,42343
365,12071,17.1,44377
366,12073,26.3,42393
367,12075,27,32197
368,12077,22.9,37815
369,12079,23.4,31942
370,12081,14.5,44990
371,12083,19.6,37162
372,12085,11.3,49539
373,12086,20.3,40145
374,12087,12.6,50388
375,12089,11.3,57605
376,12091,12.4,51173
377,12093,22.3,35417
378,12095,16.4,45105
379,12097,16.3,42165
380,12099,14.3,49891
381,12101,15.2,42184
382,12103,14.2,42628
383,12105,17.5,41184
384,12107,26.7,33300
385,12109,12,60841
386,12111,17.6,39378
387,12113,12.6,51208
388,12115,13.1,46047
389,12117,11,57381
390,12119,13,45165
391,12121,20.9,39259
392,12123,20.6,35343
393,12125,24.3,40523
394,12127,16.5,41368
395,12129,14.1,47566
396,12131,16.5,44622
397,12133,21.1,35378
398,13000,18,46252
399,13001,24.5,36601
400,13003,36.3,28579
401,13005,25.6,31692
402,13007,26,33950
403,13009,27,36091
404,13011,16.4,42196
405,13013,12,52391
406,13015,14.5,43825
407,13017,27.9,29910
408,13019,21.7,32859
409,13021,25.9,36220
410,13023,19.8,38513
411,13025,23.6,35732
412,13027,24.5,32067
413,13029,11.8,65478
414,13031,34.3,31943
415,13033,32.9,30688
416,13035,16.5,43777
417,13037,36.8,28618
418,13039,15.5,48967
419,13043,25.2,30496
420,13045,19,45242
421,13047,14.3,47337
422,13049,27.9,32316
423,13051,19.7,42728
424,13053,18.5,46292
425,13055,20.5,33990
426,13057,8.6,63520
427,13059,33.3,34000
428,13061,35.7,27080
429,13063,22.6,36595
430,13065,24.7,30428
431,13067,14,59471
432,13069,25.9,33527
433,13071,26.2,32010
434,13073,8.8,64435
435,13075,24.7,32244
436,13077,11,56407
437,13079,19,41593
438,13081,29.9,35232
439,13083,16.3,40161
440,13085,13.9,51127
441,13087,25.1,33288
442,13089,19.4,47068
443,13091,22.5,33731
444,13093,25.2,32216
445,13095,35.1,31200
446,13097,12.7,52887
447,13099,27.6,30572
448,13101,27,32674
449,13103,10.6,60017
450,13105,24.5,32888
451,13107,29.5,30985
452,13109,24.9,32427
453,13111,18.2,33253
454,13113,6.7,79276
455,13115,19.1,38289
456,13117,7.2,81629
457,13119,18,36109
458,13121,17.7,53580
459,13123,15.9,39710
460,13125,18.5,36433
461,13127,18.8,42993
462,13129,18.5,40656
463,13131,28.1,31297
464,13133,27.4,36001
465,13135,13.6,57848
466,13137,17.3,40316
467,13139,17.8,47238
468,13141,33.1,23887
469,13143,20.7,39046
470,13145,9.4,62264
471,13147,23,33753
472,13149,21.3,39614
473,13151,10.2,59371
474,13153,14.1,54977
475,13155,24,32859
476,13157,15.7,50409
477,13159,18.9,43443
478,13161,23.6,32380
479,13163,28.9,29683
480,13165,28.9,27682
481,13167,30.5,28332
482,13169,11.9,52215
483,13171,17.8,40001
484,13173,22.6,33430
485,13175,19.7,36568
486,13177,10.3,61489
487,13179,21.8,39697
488,13181,20.8,35201
489,13183,20.8,38243
490,13185,23.3,36486
491,13187,16.5,44309
492,13189,21.4,36559
493,13191,19,35681
494,13193,31.7,27324
495,13195,17.2,41267
496,13197,23.8,33534
497,13199,20.1,35287
498,13201,24.4,32015
499,13205,29.3,31094
500,13207,14.5,49839
501,13209,23.5,35133
502,13211,16.5,45804
503,13213,19.1,39911
504,13215,20.2,36359
505,13217,15.1,48989
506,13219,8.2,76298
507,13221,16.6,40936
508,13223,8.8,61496
509,13225,25.7,38024
510,13227,13.6,48532
511,13229,18.3,37262
512,13231,12.7,52411
513,13233,22.1,36468
514,13235,20.8,36665
515,13237,17.8,40037
516,13239,28.9,28102
517,13241,18.1,37990
518,13243,27.6,26863
519,13245,25.9,37866
520,13247,14.9,53899
521,13249,17.6,37761
522,13251,23.7,30925
523,13253,27.5,30604
524,13255,22.5,38451
525,13257,22.2,34445
526,13259,38.1,26659
527,13261,30.6,31871
528,13263,21.7,29933
529,13265,30.3,26863
530,13267,28,35039
531,13269,23.6,30748
532,13271,32.9,28414
533,13273,29.3,31143
534,13275,26.4,35539
535,13277,22.6,34702
536,13279,28.1,32002
537,13281,15,38207
538,13283,29.6,30809
539,13285,21.1,39422
540,13287,28,26845
541,13289,25.1,35232
542,13291,19.1,37540
543,13293,21.3,33461
544,13295,17.8,36854
545,13297,14.5,51913
546,13299,23.2,33176
547,13301,27.7,29764
548,13303,30.6,33199
549,13305,22.8,36562
550,13307,21.8,31216
551,13309,33.2,29834
552,13311,16.8,40120
553,13313,20.2,40117
554,13315,30,31442
555,13317,24.9,30451
556,13319,21.1,35530
557,13321,21.2,37436
558,15000,11.1,62774
559,15001,18.3,46444
560,15003,9.5,67519
561,15005,.,.
562,15007,12.1,52714
563,15009,11.9,56206
564,16000,15.8,43259
565,16001,13.9,50909
566,16003,15.8,34730
567,16005,16.3,40946
568,16007,15.5,39469
569,16009,16.8,36906
570,16011,15.6,43571
571,16013,10.1,59191
572,16015,14.4,46871
573,16017,17.4,40119
574,16019,13.8,49979
575,16021,17.1,37037
576,16023,15.4,41368
577,16025,11.3,46483
578,16027,19.7,42419
579,16029,12.1,49208
580,16031,15.7,40739
581,16033,17.9,41387
582,16035,15.3,38124
583,16037,14.9,42575
584,16039,15.8,40475
585,16041,10.5,43936
586,16043,16.4,38407
587,16045,17.1,40110
588,16047,16.4,37751
589,16049,18.3,35715
590,16051,12,50123
591,16053,19.1,40229
592,16055,14.6,43826
593,16057,17.6,40942
594,16059,21.1,34757
595,16061,17.8,37742
596,16063,14.1,39517
597,16065,28.4,36202
598,16067,15.8,39802
599,16069,12.5,43580
600,16071,12.4,44425
601,16073,22.7,36670
602,16075,17.1,39724
603,16077,16.4,39555
604,16079,20.8,36129
605,16081,11.3,52272
606,16083,15.4,42007
607,16085,12.6,45248
608,16087,17,35774
609,17000,13.8,52967
610,17001,13.2,41734
611,17003,31.1,29278
612,17005,13.7,46364
613,17007,11.6,57323
614,17009,14.4,43640
615,17011,11.2,45580
616,17013,10.9,45772
617,17015,13,47032
618,17017,12.8,43183
619,17019,19.6,45803
620,17021,14.2,44253
621,17023,12.1,44312
622,17025,15.3,38091
623,17027,8.4,52650
624,17029,18.7,38242
625,17031,16.8,51457
626,17033,14.9,41612
627,17035,11.6,43448
628,17037,14.3,52106
629,17039,10.9,48662
630,17041,11.1,48469
631,17043,6.9,72470
632,17045,14.3,39386
633,17047,11.3,43044
634,17049,9.9,49001
635,17051,15.8,38966
636,17053,11,48622
637,17055,20.3,32853
638,17057,14.5,40749
639,17059,18.5,37287
640,17061,14.9,40399
641,17063,8,60130
642,17065,14.6,40670
643,17067,13.4,41520
644,17069,19.4,34228
645,17071,12.3,43212
646,17073,10.8,49262
647,17075,11.2,43873
648,17077,23.5,32739
649,17079,10.8,46000
650,17081,17,40527
651,17083,10,54278
652,17085,9.3,45972
653,17087,14.2,41743
654,17089,11,65430
655,17091,14.8,45707
656,17093,4.6,79542
657,17095,15.4,39409
658,17097,9,74594
659,17099,13.2,49414
660,17101,17.5,37428
661,17103,11,48749
662,17105,11.5,51427
663,17107,11.5,48311
664,17109,22,37890
665,17111,7.3,69290
666,17113,11.7,59719
667,17115,17.7,42206
668,17117,13,45995
669,17119,14.3,51706
670,17121,16.5,38182
671,17123,11.4,48647
672,17125,15,42529
673,17127,16.7,39636
674,17129,9,58075
675,17131,11.3,46871
676,17133,4.9,69731
677,17135,14.4,42468
678,17137,14.8,43753
679,17139,10.4,47459
680,17141,10.8,53402
681,17143,14.3,50166
682,17145,17.4,38916
683,17147,7.3,54350
684,17149,17,37172
685,17151,17.9,37926
686,17153,20.8,33262
687,17155,7.8,52564
688,17157,13.5,46410
689,17159,14.5,40893
690,17161,12.5,45114
691,17163,15.9,47027
692,17165,19.4,37170
693,17167,13.2,51057
694,17169,12,45481
695,17171,9.7,48890
696,17173,12.3,45474
697,17175,10.6,49280
698,17177,13.4,42869
699,17179,9.9,50737
700,17181,18.4,39764
701,17183,20.9,38534
702,17185,14.4,42129
703,17187,13.9,43881
704,17189,8.2,51209
705,17191,14.9,40630
706,17193,16.9,39964
707,17195,11.7,45606
708,17197,8.5,71344
709,17199,16,43004
710,17201,17.5,44336
711,17203,7.5,65931
712,18000,15.3,44616
713,18001,16.8,43121
714,18003,13.9,47014
715,18005,12.8,49045
716,18007,11.3,47520
717,18009,16,38637
718,18011,8,66023
719,18013,13.2,46770
720,18015,10.1,49966
721,18017,16.7,38859
722,18019,12.5,44775
723,18021,13.6,42233
724,18023,12.8,47229
725,18025,17,39358
726,18027,14.7,42318
727,18029,10.1,55817
728,18031,13.6,49551
729,18033,10.6,46781
730,18035,24.2,36362
731,18037,8.4,51885
732,18039,17.2,42168
733,18041,17,36734
734,18043,12.4,49117
735,18045,12.4,43947
736,18047,12.3,48938
737,18049,13.8,40856
738,18051,12.1,45383
739,18053,19.8,35976
740,18055,14,41504
741,18057,4.9,82054
742,18059,8.5,62195
743,18061,11,48775
744,18063,6.4,66080
745,18065,16.2,40732
746,18067,16,41786
747,18069,11.3,46530
748,18071,12.7,46562
749,18073,9.5,55267
750,18075,15.6,38117
751,18077,15.9,41654
752,18079,14.2,41869
753,18081,10.5,58695
754,18083,17.6,39123
755,18085,13.4,47811
756,18087,16.1,44151
757,18089,17.7,45252
758,18091,16.2,44039
759,18093,15.2,41305
760,18095,18,39449
761,18097,20.8,39393
762,18099,12.7,43283
763,18101,13.2,43854
764,18103,17,40466
765,18105,24.3,38348
766,18107,15.3,41853
767,18109,11.9,53738
768,18111,11.1,48043
769,18113,12.6,45269
770,18115,10,47937
771,18117,17.5,35999
772,18119,14.1,42658
773,18121,16.6,42749
774,18123,13,41446
775,18125,14.7,39684
776,18127,10.9,56648
777,18129,9.8,56159
778,18131,14.2,41794
779,18133,13.9,44437
780,18135,16,40806
781,18137,10.7,45951
782,18139,13.2,45464
783,18141,15.9,42316
784,18143,18.8,39134
785,18145,12.8,46619
786,18147,11.3,47726
787,18149,18.2,38317
788,18151,12.8,45431
789,18153,14.7,42481
790,18155,16.3,42268
791,18157,20.9,41722
792,18159,8.5,54171
793,18161,12.6,44337
794,18163,16.9,41024
795,18165,13.6,42613
796,18167,19.1,39089
797,18169,12.2,42990
798,18171,9.8,50349
799,18173,7.3,59195
800,18175,15.9,39945
801,18177,20.3,36424
802,18179,9.6,45492
803,18181,12.2,43487
804,18183,9.3,49989
805,19000,12.5,48031
806,19001,9.7,45540
807,19003,14.1,39781
808,19005,13.3,45881
809,19007,15.7,35352
810,19009,10,45563
811,19011,8.3,54283
812,19013,18,44046
813,19015,9.4,51723
814,19017,7.6,55606
815,19019,11,50026
816,19021,13,44795
817,19023,9.5,49703
818,19025,12,44859
819,19027,9.1,49536
820,19029,13.7,40867
821,19031,7.3,55413
822,19033,13,43982
823,19035,9.6,46305
824,19037,10.6,45083
825,19039,12.4,43016
826,19041,11.3,44395
827,19043,12.2,41940
828,19045,13.5,46577
829,19047,13.1,45637
830,19049,6.4,68568
831,19051,17,40145
832,19053,19.1,34250
833,19055,10.1,45910
834,19057,15.3,42191
835,19059,9.1,49295
836,19061,10.7,49493
837,19063,12.6,41519
838,19065,13.3,41163
839,19067,15.2,42233
840,19069,11.8,45383
841,19071,11.2,47513
842,19073,11.1,46947
843,19075,6.2,55302
844,19077,10.4,48064
845,19079,11,46574
846,19081,9.4,48195
847,19083,11.4,46411
848,19085,10,50845
849,19087,14.9,43228
850,19089,12.7,40919
851,19091,10.6,46300
852,19093,12.8,47035
853,19095,8.1,52592
854,19097,13.2,42274
855,19099,12.4,46565
856,19101,14.9,40158
857,19103,17,51014
858,19105,10.9,46600
859,19107,13,42999
860,19109,10.3,47930
861,19111,15.8,40363
862,19113,9.9,54806
863,19115,11.4,50301
864,19117,17.5,39207
865,19119,8.9,51491
866,19121,9,52351
867,19123,15.4,45211
868,19125,10.2,52845
869,19127,13.3,45911
870,19129,9.4,57359
871,19131,11.1,47406
872,19133,11,43052
873,19135,12.7,42631
874,19137,14.4,41068
875,19139,13.8,47583
876,19141,12,44209
877,19143,9.3,51042
878,19145,14.6,40960
879,19147,11.4,43360
880,19149,8,61292
881,19151,12.2,44225
882,19153,11,54328
883,19155,14.5,47870
884,19157,12,48929
885,19159,18.6,36810
886,19161,10.5,42888
887,19163,15,47800
888,19165,10.2,49056
889,19167,8,53705
890,19169,18.5,49192
891,19171,12.2,48833
892,19173,13.4,42768
893,19175,15.3,39977
894,19177,16.4,37833
895,19179,17.4,38569
896,19181,7.4,62036
897,19183,10,47118
898,19185,16.8,35867
899,19187,16.5,39565
900,19189,10.6,48933
901,19191,10,51248
902,19193,15.1,42672
903,19195,11.6,46384
904,19197,11.3,44456
905,20000,13.5,47888
906,20001,18.4,39662
907,20003,14.6,41054
908,20005,15.6,41659
909,20007,12.5,42565
910,20009,13.3,43675
911,20011,15.9,37192
912,20013,18.4,40464
913,20015,9.1,55182
914,20017,13.1,39683
915,20019,15.6,34772
916,20021,20.1,36204
917,20023,12.6,35730
918,20025,11.2,41715
919,20027,11.6,46421
920,20029,16,37539
921,20031,9.7,49727
922,20033,10.4,38207
923,20035,17.3,39155
924,20037,19.2,35407
925,20039,13.1,37081
926,20041,11.6,45037
927,20043,13,45202
928,20045,15.6,47335
929,20047,12.1,41800
930,20049,18.3,32619
931,20051,13.6,42409
932,20053,10.8,41622
933,20055,15.2,46697
934,20057,14.1,43876
935,20059,11.6,46965
936,20061,12.1,43691
937,20063,11.6,41263
938,20065,12.5,40049
939,20067,11.2,51460
940,20069,8.1,51828
941,20071,10.5,47625
942,20073,17.4,35146
943,20075,12.8,42586
944,20077,14.4,37468
945,20079,10.1,46941
946,20081,11,51257
947,20083,10.6,43338
948,20085,11.3,50709
949,20087,9,52592
950,20089,13.6,37640
951,20091,6.6,71389
952,20093,11.4,49426
953,20095,12.4,46574
954,20097,13.2,41166
955,20099,17.1,39683
956,20101,9.7,44288
957,20103,9.4,60848
958,20105,12.9,39442
959,20107,14.3,43509
960,20109,10.4,42297
961,20111,19.6,39258
962,20113,9.3,54881
963,20115,10.9,45899
964,20117,11.8,43584
965,20119,10.2,48634
966,20121,8.8,58445
967,20123,10.3,42946
968,20125,18.6,37495
969,20127,11,44417
970,20129,11.2,49526
971,20131,10,44056
972,20133,16.4,38363
973,20135,10.3,51717
974,20137,13.9,40386
975,20139,12.1,45221
976,20141,14.4,36519
977,20143,9.9,53086
978,20145,14.1,42658
979,20147,11.4,42071
980,20149,9,52861
981,20151,11.3,43987
982,20153,13,40211
983,20155,14.6,41717
984,20157,12.3,38331
985,20159,13.8,41687
986,20161,21.2,45523
987,20163,14.4,38487
988,20165,13.4,38595
989,20167,15.4,36575
990,20169,17.2,43927
991,20171,9.2,46925
992,20173,15.3,45996
993,20175,15.6,43449
994,20177,17.5,45359
995,20179,13.1,46699
996,20181,16.9,37927
997,20183,13.9,38120
998,20185,13.8,39980
999,20187,12.3,49580
1000,20189,11.5,50070
1001,20191,12.1,47113
1002,20193,10.5,45797
1003,20195,11.6,40178
1004,20197,9.3,50740
1005,20199,12.6,43553
1006,20201,9.9,40956
1007,20203,12.8,45918
1008,20205,16,37078
1009,20207,17.2,33134
1010,20209,23.9,37805
1011,21000,18.9,40089
1012,21001,24,30177
1013,21003,22.3,35617
1014,21005,12.8,52660
1015,21007,14.4,41776
1016,21009,19.4,38000
1017,21011,27.8,32091
1018,21013,30.2,26911
1019,21015,9.2,64005
1020,21017,17,39219
1021,21019,19.1,38029
1022,21021,16.6,39241
1023,21023,16.5,42056
1024,21025,28.3,28045
1025,21027,20.7,35428
1026,21029,10.5,51409
1027,21031,19.5,35162
1028,21033,18.8,36255
1029,21035,17.2,39038
1030,21037,13,47341
1031,21039,14.4,38182
1032,21041,22.3,42192
1033,21043,23.2,34303
1034,21045,27.8,26612
1035,21047,19.7,36542
1036,21049,17.4,45016
1037,21051,38,24081
1038,21053,25.4,27133
1039,21055,20,33966
1040,21057,26.3,27382
1041,21059,16.2,41878
1042,21061,18.8,34849
1043,21063,29.9,29335
1044,21065,28.7,29486
1045,21067,20,45820
1046,21069,18.9,33141
1047,21071,29.9,28589
1048,21073,16,46323
1049,21075,27.1,30662
1050,21077,16.7,42761
1051,21079,17,40834
1052,21081,18.4,42690
1053,21083,19.7,34811
1054,21085,20.8,32970
1055,21087,21.6,31423
1056,21089,17.3,40752
1057,21091,14.2,46729
1058,21093,14.7,44203
1059,21095,33.7,28503
1060,21097,16.6,42124
1061,21099,25.3,31733
1062,21101,16.5,41309
1063,21103,17.1,40806
1064,21105,18.7,39087
1065,21107,19.3,39738
1066,21109,30.2,26462
1067,21111,17.3,42535
1068,21113,16.1,43503
1069,21115,23.4,34260
1070,21117,13.3,51049
1071,21119,26.4,30693
1072,21121,33.9,25965
1073,21123,19.1,37863
1074,21125,24,34712
1075,21127,20,33313
1076,21129,37.3,24908
1077,21131,29.2,30597
1078,21133,23.2,33410
1079,21135,28.4,29453
1080,21137,23.3,32864
1081,21139,14.7,38608
1082,21141,17.9,37316
1083,21143,14.9,39588
1084,21145,16.1,41585
1085,21147,36.5,24691
1086,21149,16.4,38580
1087,21151,21.4,41945
1088,21153,29.4,28943
1089,21155,18.4,36816
1090,21157,11.5,43825
1091,21159,36.6,29575
1092,21161,21.6,36795
1093,21163,14.3,46671
1094,21165,28.4,28061
1095,21167,15.3,41985
1096,21169,21.4,28538
1097,21171,24.5,28074
1098,21173,19.2,37678
1099,21175,31.8,30502
1100,21177,21,37614
1101,21179,16,43330
1102,21181,18.7,36306
1103,21183,20.4,35975
1104,21185,7.7,75724
1105,21187,16.7,40413
1106,21189,40.1,22335
1107,21191,15,43517
1108,21193,28.7,31604
1109,21195,27.3,30302
1110,21197,25.2,32041
1111,21199,21.5,33026
1112,21201,22.6,32844
1113,21203,23.9,30900
1114,21205,28.3,35145
1115,21207,27.8,29478
1116,21209,11.3,56791
1117,21211,12.1,51845
1118,21213,16.2,40905
1119,21215,9,62579
1120,21217,22.8,35962
1121,21219,23.6,36173
1122,21221,15,42387
1123,21223,15,44533
1124,21225,19.4,41209
1125,21227,20.5,41001
1126,21229,16.7,38618
1127,21231,28.3,26683
1128,21233,15.1,41516
1129,21235,26.2,29813
1130,21237,31.8,25968
1131,21239,11.2,55962
1132,22000,18.8,42510
1133,22001,21,36814
1134,22003,20.4,35711
1135,22005,12.8,62069
1136,22007,16.7,43503
1137,22009,21.6,31523
1138,22011,15.7,43672
1139,22013,24.4,31421
1140,22015,14,48957
1141,22017,19.5,37739
1142,22019,17.6,40928
1143,22021,21.6,34855
1144,22023,13.1,47100
1145,22025,26.1,31325
1146,22027,30.9,34274
1147,22029,32.9,29891
1148,22031,21.2,37379
1149,22033,17.3,44911
1150,22035,40.3,25442
1151,22037,18.6,42347
1152,22039,22.9,31736
1153,22041,27.4,30105
1154,22043,19.3,38225
1155,22045,23,40914
1156,22047,22.7,40140
1157,22049,19.4,36312
1158,22051,16.2,46500
1159,22053,20.2,39246
1160,22055,17.8,48295
1161,22057,13.3,48436
1162,22059,14.7,41563
1163,22061,24.2,36532
1164,22063,12.5,53125
1165,22065,37.4,25565
1166,22067,27.4,29526
1167,22069,25.3,32055
1168,22071,27.1,36525
1169,22073,20.6,37728
