,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,15.9,50502
1,01000,19.1,41427
2,01001,14.9,48863
3,01003,13.4,50144
4,01005,29.5,30117
5,01007,22.2,37347
6,01009,14.9,41940
7,01011,32.8,26038
8,01013,24.1,30489
9,01015,20.9,39060
10,01017,23.7,33500
11,01019,23.8,34738
12,01021,18.3,38833
13,01023,27.3,32940
14,01025,26.3,32642
15,01027,18.7,32454
16,01029,17.2,39153
17,01031,16.9,42173
18,01033,18.7,37269
19,01035,27.9,26914
20,01037,25.5,34391
21,01039,24.2,32138
22,01041,18.2,34534
23,01043,18.2,39395
24,01045,18.8,41568
25,01047,35.7,25859
26,01049,20.3,35487
27,01051,13.8,54866
28,01053,25.5,32838
29,01055,21,34927
30,01057,22.5,32648
31,01059,19.9,33705
32,01061,24.4,33835
33,01063,35.1,24738
34,01065,28.5,31044
35,01067,18.7,39788
36,01069,17.5,40428
37,01071,17.9,36746
38,01073,18.7,42053
39,01075,22.1,34731
40,01077,16.4,40195
41,01079,18,38132
42,01081,21.4,42539
43,01083,13.9,46760
44,01085,27.1,28043
45,01087,30.9,27591
46,01089,13.8,55298
47,01091,24.6,31995
48,01093,25.6,30926
49,01095,19.1,38876
50,01097,19.7,41867
51,01099,28.7,31072
52,01101,23.2,42962
53,01103,16.8,43615
54,01105,33,22175
55,01107,26.5,31079
56,01109,25.6,32345
57,01111,22.1,34517
58,01113,20.1,32632
59,01115,17.3,48040
60,01117,8.1,66362
61,01119,39.1,23531
62,01121,26.2,33856
63,01123,18.8,37686
64,01125,20.2,42086
65,01127,22.1,35423
66,01129,18.9,39203
67,01131,39.9,20990
68,01133,19.8,31018
69,02000,10.8,65699
70,02013,17.8,51289
71,02016,10.1,59362
72,02020,8.5,71237
73,02050,23.5,43314
74,02060,9.1,61905
75,02068,5.8,68899
76,02070,21.3,46427
77,02090,9.5,64396
78,02100,11.2,51350
79,02105,18.5,40896
80,02110,7.5,74219
81,02122,10.6,60360
82,02130,11.6,59092
83,02150,9.6,66935
84,02164,16.4,47612
85,02170,11.6,68999
86,02180,26.4,44766
87,02185,11.5,73744
88,02188,23.9,54680
89,02195,10.6,54434
90,02198,17.1,42649
91,02220,8.4,61956
92,02230,4.6,61025
93,02240,13.9,55617
94,02261,9.3,63887
95,02270,33.6,33206
96,02275,12.3,43120
97,02282,12.8,47575
98,02290,22.1,33578
99,04000,19,46710
100,04001,36.5,30837
101,04003,19.6,41237
102,04005,21.6,45051
103,04007,25.7,35898
104,04009,26,40548
105,04011,13.9,51145
106,04012,24.2,30679
107,04013,17.4,50785
108,04015,21.7,35998
109,04017,32.4,32425
110,04019,20.4,44102
111,04021,17.4,45170
112,04023,26.2,35500
113,04025,18.4,41437
114,04027,22.3,37894
115,05000,19.3,38889
116,05001,18.5,37922
117,05003,19.8,37170
118,05005,16.8,33312
119,05007,12.1,52644
120,05009,16.9,38411
121,05011,24.4,31118
122,05013,16.5,35464
123,05015,18.7,33579
124,05017,33.4,27966
125,05019,23.1,34478
126,05021,20.1,32564
127,05023,16.2,42265
128,05025,16.7,41864
129,05027,26.4,33533
130,05029,23,37830
131,05031,20.6,39410
132,05033,18,37552
133,05035,26.6,34905
134,05037,19.2,35268
135,05039,21.5,30728
136,05041,27.6,30186
137,05043,22.6,35627
138,05045,14.7,49314
139,05047,20.9,38245
140,05049,21.4,33696
141,05051,20.9,35651
142,05053,11.5,46538
143,05055,17.4,37893
144,05057,24.7,30922
145,05059,20.3,38082
146,05061,20.9,33079
147,05063,21.4,34690
148,05065,20.5,31245
149,05067,23.9,32750
150,05069,24.3,37704
151,05071,20.8,34182
152,05073,24.2,30057
153,05075,23,32678
154,05077,35.2,27894
155,05079,25.4,35854
156,05081,17.6,38937
157,05083,20,34000
158,05085,13.7,49579
159,05087,22.6,34292
160,05089,20.5,32685
161,05091,21.5,37728
162,05093,25.4,33426
163,05095,31.6,27758
164,05097,21.9,31603
165,05099,23.5,31590
166,05101,21.3,31224
167,05103,24.1,35095
168,05105,16.4,38858
169,05107,34,26892
170,05109,20.5,30054
171,05111,25,30761
172,05113,22.1,31030
173,05115,22.1,38095
174,05117,21.7,36088
175,05119,16.6,43898
176,05121,23.4,33210
177,05123,32.9,28467
178,05125,10,54372
179,05127,22.3,31163
180,05129,28.6,26990
181,05131,21.2,38404
182,05133,21.7,30899
183,05135,24.5,28760
184,05137,22.9,29182
185,05139,21.5,37193
186,05141,22.1,34513
187,05143,20.1,39230
188,05145,18,42958
189,05147,27.3,27357
190,05149,19.5,33747
191,06000,16.6,57275
192,06001,13.2,67295
193,06003,17.4,46706
194,06005,14,51553
195,06007,22.6,39208
196,06009,12.5,50599
197,06011,13.2,47469
198,06013,11.9,74241
199,06015,25.4,35598
200,06017,10.3,61970
201,06019,25.8,42572
202,06021,19.2,40221
203,06023,21.1,39526
204,06025,26,36898
205,06027,12.7,44928
206,06029,24.6,44903
207,06031,21.2,48319
208,06033,23,35882
209,06035,19.3,47938
210,06037,18.4,52239
211,06039,23.6,44795
212,06041,9.4,78470
213,06043,15.7,42175
214,06045,20.2,41236
215,06047,26.8,40016
216,06049,21.5,34654
217,06051,10.8,48758
218,06053,17.1,52746
219,06055,12,61179
220,06057,12.1,53833
221,06059,13,72046
222,06061,8.5,69581
223,06063,14.8,44923
224,06065,16.9,52491
225,06067,17.7,52236
226,06069,12.4,62618
227,06071,19.4,51017
228,06073,15.2,59290
229,06075,13.8,69354
230,06077,18.2,50376
231,06079,15.1,53877
232,06081,7.9,81378
233,06083,15.4,59494
234,06085,10.7,84741
235,06087,14.9,61228
236,06089,19.4,41796
237,06091,13.6,45060
238,06093,24.4,35175
239,06095,13.6,63090
240,06097,12.2,60792
241,06099,23.3,44287
242,06101,15.8,48749
243,06103,19.5,37297
244,06105,21.4,33163
245,06107,25.6,40599
246,06109,16.6,43530
247,06111,11.5,74019
248,06113,21.3,50174
249,06115,19.6,43299
250,08000,13.4,55530
251,08001,16.1,52429
252,08003,22.7,36870
253,08005,12,57042
254,08007,14.9,48043
255,08009,20.5,34168
256,08011,32.4,35522
257,08013,13.8,68101
258,08014,6.5,79051
259,08015,12.9,44156
260,08017,12.9,46965
261,08019,8.9,65420
262,08021,19.8,32588
263,08023,26,26125
264,08025,48.1,30279
265,08027,15.6,45791
266,08029,16.6,41442
267,08031,18.7,47584
268,08033,13.3,39650
269,08035,4.3,95973
270,08037,9.8,67190
271,08039,7.9,78029
272,08041,13.2,54857
273,08043,18,41493
274,08045,10.7,57617
275,08047,7.8,60537
276,08049,10.4,56980
277,08051,17.9,43069
278,08053,10.7,49024
279,08055,22,30655
280,08057,16.1,43206
281,08059,9,64412
282,08061,12.6,41427
283,08063,16.2,43078
284,08065,16.4,42768
285,08067,11.1,52276
286,08069,13.8,55501
287,08071,19.5,40191
288,08073,17.7,42734
289,08075,18,43823
290,08077,12.2,47778
291,08079,11.2,46956
292,08081,11.9,52257
293,08083,16.4,41817
294,08085,16.6,43035
295,08087,15.3,41246
296,08089,23.9,30420
297,08091,9.8,57922
298,08093,9.9,58565
299,08095,12.4,43826
