,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,14,57617
1,01000,17.2,46309
2,01001,13.5,54487
3,01003,11.7,56460
4,01005,29.9,32884
5,01007,20.1,43079
6,01009,14.1,47213
7,01011,32.6,34278
8,01013,24.8,35409
9,01015,17.1,41778
10,01017,19.9,39530
11,01019,16.8,41456
12,01021,18.3,44188
13,01023,22.7,32691
14,01025,29,34061
15,01027,18.9,38512
16,01029,17.2,43483
17,01031,14.4,48632
18,01033,16.7,46572
19,01035,28.1,29758
20,01037,17.5,36441
21,01039,19.6,35010
22,01041,20.5,37374
23,01043,14.9,41543
24,01045,20.6,40523
25,01047,35.4,30488
26,01049,20.5,37128
27,01051,13.5,54553
28,01053,23.3,35096
29,01055,17.5,40972
30,01057,20.3,38403
31,01059,20.1,37049
32,01061,20.9,36976
33,01063,34,26559
34,01065,23.7,35381
35,01067,18.7,41426
36,01069,19.4,42910
37,01071,17.5,41407
38,01073,15.3,50109
39,01075,18.6,38358
40,01077,15.2,44124
41,01079,16.8,43107
42,01081,18.3,47749
43,01083,12.8,52181
44,01085,31.7,32011
45,01087,30,30681
46,01089,13.5,61193
47,01091,25.8,34794
48,01093,18.5,36386
49,01095,21,42117
50,01097,19.5,45233
51,01099,25.7,36639
52,01101,18.8,45111
53,01103,15.8,46843
54,01105,35,25221
55,01107,25.8,35968
56,01109,25.1,35172
57,01111,21.8,40283
58,01113,19.3,38617
59,01115,12,57856
60,01117,7.9,74212
61,01119,32.4,26814
62,01121,18,40555
63,01123,20.2,40169
64,01125,17.6,47483
65,01127,20.5,39511
66,01129,18.2,37575
67,01131,31.9,24216
68,01133,17.3,38644
69,02000,9.9,76144
70,02013,14.8,63991
71,02016,8,78151
72,02020,7.2,83959
73,02050,25.5,46634
74,02060,11.4,68026
75,02068,6.3,72378
76,02070,19.6,52250
77,02090,8.5,73427
78,02100,10.3,53471
79,02105,19.1,53884
80,02110,7.4,82011
81,02122,12,68501
82,02130,9.2,67125
83,02150,7.3,74683
84,02158,37.8,34341
85,02164,20.9,44310
86,02170,9.5,71793
87,02180,24,55974
88,02185,11.9,74998
89,02188,27.8,53692
90,02195,8.4,60540
91,02198,17.5,48888
92,02220,7.9,72795
93,02230,4.4,65112
94,02240,11.8,59412
95,02261,9.2,69755
96,02275,11.5,56747
97,02282,16.8,57687
98,02290,23,37906
99,04000,16.4,53481
100,04001,33.2,34040
101,04003,21.1,45151
102,04005,17.8,53643
103,04007,20.3,40747
104,04009,22.9,46714
105,04011,12,61110
106,04012,24.8,34285
107,04013,15,58742
108,04015,18.3,42003
109,04017,28.2,37440
110,04019,18.2,47644
111,04021,15.4,52642
112,04023,20.9,39090
113,04025,13.3,49824
114,04027,19.3,42998
115,05000,17.2,44406
116,05001,18.1,39726
117,05003,17.9,41277
118,05005,12.7,40147
119,05007,9.1,64072
120,05009,15.4,39881
121,05011,23.5,34114
122,05013,17.1,33507
123,05015,17.2,37145
124,05017,30.1,29527
125,05019,22.3,37247
126,05021,19.1,36037
127,05023,16.3,42397
128,05025,15.8,45256
129,05027,24.2,35322
130,05029,18.9,41892
131,05031,16.2,44091
132,05033,16.8,42941
133,05035,25.5,37627
134,05037,19.4,40970
135,05039,20.8,33679
136,05041,26.5,32392
137,05043,19.2,40441
138,05045,16,50909
139,05047,17.9,40091
140,05049,23.2,33451
141,05051,17.8,42087
142,05053,11.5,54411
143,05055,15.3,45208
144,05057,20.7,38769
145,05059,14.7,46313
146,05061,18.7,36166
147,05063,15.9,42520
148,05065,20.1,36987
149,05067,24.1,35098
150,05069,23.3,38485
151,05071,18.4,37205
152,05073,27.4,32288
153,05075,20,39015
154,05077,35.9,26912
155,05079,27.6,35419
156,05081,17.5,43567
157,05083,18.2,39361
158,05085,12.4,56247
159,05087,18.3,39059
160,05089,20.7,33950
161,05091,22.4,38412
162,05093,24.6,35846
163,05095,27,32906
164,05097,22.4,36435
165,05099,20.4,37612
166,05101,19.9,33107
167,05103,24.7,36016
168,05105,16.9,43819
169,05107,32.3,29073
170,05109,18.2,34821
171,05111,22.7,36125
172,05113,23.4,32941
173,05115,17.5,42916
174,05117,17.8,40340
175,05119,17.2,47966
176,05121,18.9,38647
177,05123,31.6,39675
178,05125,8.7,63618
179,05127,19.7,34245
180,05129,23.1,29747
181,05131,16.9,42559
182,05133,20.8,38697
183,05135,21.3,32379
184,05137,21.8,31955
185,05139,19.3,41546
186,05141,16.7,38166
187,05143,15.8,46367
188,05145,15.7,44329
189,05147,26.3,30400
190,05149,18,38658
191,06000,14.4,67715
192,06001,10.7,89472
193,06003,18.6,57481
194,06005,11.3,59789
195,06007,19.5,45097
196,06009,13.1,57990
197,06011,11.1,54861
198,06013,8.7,90920
199,06015,23.7,39458
200,06017,8.7,75100
201,06019,25.5,48323
202,06021,16.7,46141
203,06023,20,43164
204,06025,23.6,43327
205,06027,12.3,53350
206,06029,22.4,49812
207,06031,17.4,51320
208,06033,20.7,40818
209,06035,17.6,49793
210,06037,16.3,61308
211,06039,20.4,49467
212,06041,7.8,103488
213,06043,17.9,51233
214,06045,19,45247
215,06047,20.3,47442
216,06049,18.4,42890
217,06051,11.5,56574
218,06053,12.9,62999
219,06055,7.9,73112
220,06057,10.9,60501
221,06059,11.1,81642
222,06061,7.2,85326
223,06063,12.6,53646
224,06065,15.3,59951
225,06067,16.3,59728
226,06069,10.5,73298
227,06071,17.6,56194
228,06073,12.4,70693
229,06075,10.2,101873
230,06077,14.6,59038
231,06079,11,69517
232,06081,6.6,107075
233,06083,13.9,66360
234,06085,9.3,110843
235,06087,13.4,75929
236,06089,17.2,46663
237,06091,14.4,48099
238,06093,18.8,40875
239,06095,11.4,73200
240,06097,9.4,73496
241,06099,14.5,54060
242,06101,17.1,51283
243,06103,20.9,40585
244,06105,21.3,38727
245,06107,24.7,45768
246,06109,15.4,50431
247,06111,9.8,79470
248,06113,19,63645
249,06115,16.6,46054
250,08000,11,65718
251,08001,11.7,65442
252,08003,24.8,37057
253,08005,9,70866
254,08007,12,51998
255,08009,20.2,34070
256,08011,34.1,33951
257,08013,10.8,74772
258,08014,5.3,86870
259,08015,11.4,49877
260,08017,14,50558
261,08019,8.1,68699
262,08021,22.7,34390
263,08023,30.4,27211
264,08025,48,35873
265,08027,13.6,52021
266,08029,17.8,41798
267,08031,14,61038
268,08033,13.2,46791
269,08035,3.4,112399
270,08037,7.9,79556
271,08039,6,86693
272,08041,11.5,63610
273,08043,17.5,46372
274,08045,9.1,69161
275,08047,7.5,65472
276,08049,8.2,63875
277,08051,13.8,53753
278,08053,10,51717
279,08055,21.9,34626
280,08057,14.1,46671
281,08059,7,74342
282,08061,13.9,43951
283,08063,14.3,48272
284,08065,14.6,49064
285,08067,10.9,58499
286,08069,11.2,66561
287,08071,21.6,38224
288,08073,18.1,42969
289,08075,16.4,49407
290,08077,15,49825
291,08079,9.3,52641
292,08081,12.9,54151
293,08083,15.1,40679
294,08085,16.4,43285
295,08087,11.7,49129
296,08089,23.6,36773
297,08091,8.8,66813
298,08093,9.2,68535
299,08095,11.5,49046
300,08097,6.9,74576
301,08099,20.9,40164
302,08101,19.9,44644
303,08103,9.5,58980
304,08105,17.5,41128
305,08107,7.2,71322
306,08109,27.6,33973
307,08111,15.5,44652
308,08113,10.1,67251
309,08115,14.8,42518
310,08117,7.9,70265
311,08119,9.5,63966
312,08121,14.3,46304
313,08123,11.5,63609
314,08125,12.3,48963
315,09000,9.9,73380
316,09001,8.6,89954
317,09003,10.9,69341
318,09005,7.2,76323
319,09007,7.9,80190
320,09009,11.4,66012
321,09011,9.3,70258
322,09013,7.2,81369
323,09015,11.9,60869
324,10000,11.8,62112
325,10001,13.6,53994
326,10003,11.3,67246
327,10005,11.6,56618
328,11000,18.5,74093
329,11001,18.5,74093
330,12000,14.8,50857
331,12001,22.3,45294
332,12003,17.2,51904
333,12005,14.9,48843
334,12007,18.6,43058
335,12009,14.7,51214
336,12011,13.5,54055
337,12013,21.9,36708
338,12015,12.6,44935
339,12017,16.6,40009
340,12019,9.6,57476
341,12021,11.4,62397
342,12023,17.8,41667
343,12027,28.6,34146
344,12029,25.4,34146
345,12031,14.5,51948
346,12033,15.2,45004
347,12035,11.2,50863
348,12037,23.1,37479
349,12039,20.6,40865
350,12041,17.3,41721
351,12043,21.5,39607
352,12045,23.5,38381
353,12047,28.9,34517
354,12049,23.8,37612
355,12051,25.1,39911
356,12053,15.4,46225
357,12055,19.1,36864
358,12057,15,54509
359,12059,24.2,41110
360,12061,12.3,49813
361,12063,22.6,37358
362,12065,18.9,43453
363,12067,23.3,40653
364,12069,11.8,50125
365,12071,12.8,52989
366,12073,19,51041
367,12075,21.4,33092
368,12077,23.6,38900
369,12079,31.9,33721
370,12081,12.7,51770
371,12083,17.4,39629
372,12085,11.3,55917
373,12086,18.2,45886
374,12087,11.5,63892
375,12089,10.3,67967
376,12091,10.7,58009
377,12093,20.2,37689
378,12095,16.3,51312
379,12097,14.8,50716
380,12099,12.6,57607
381,12101,13.3,46326
382,12103,13.3,49974
383,12105,16.4,46289
384,12107,21.5,37526
385,12109,7.7,78544
386,12111,17,45509
387,12113,10.6,62668
388,12115,10.8,55088
389,12117,11.4,61253
390,12119,10.5,56568
391,12121,20.4,40572
392,12123,22.5,40180
393,12125,24.7,43795
394,12127,14.2,45356
395,12129,13.1,56158
396,12131,13.1,54686
397,12133,22.8,34787
398,13000,16.1,53468
399,13001,19.7,37954
400,13003,26.4,33318
401,13005,22.9,36873
402,13007,27.8,35452
403,13009,26,40683
404,13011,15.5,43370
405,13013,12.9,54893
406,13015,15.1,52497
407,13017,26.4,32644
408,13019,22.3,39174
409,13021,26.3,38115
410,13023,21.7,41447
411,13025,20.8,37675
412,13027,24.9,33676
413,13029,9.6,77244
414,13031,24,42083
415,13033,26.7,37410
416,13035,17,46141
417,13037,33,33478
418,13039,15,53130
419,13043,25,32970
420,13045,14.9,50598
421,13047,12.9,53740
422,13049,27.2,38948
423,13051,16.6,52746
424,13053,21.5,44097
425,13055,20.1,37345
426,13057,7.5,78668
427,13059,27.9,36692
428,13061,35.2,27648
429,13063,20.8,44598
430,13065,26,34777
431,13067,10,70950
432,13069,23,38704
433,13071,25,34931
434,13073,7.2,74908
435,13075,25.1,35518
436,13077,9.9,71114
437,13079,19.3,44014
438,13081,30.3,34211
439,13083,15.6,36213
440,13085,10.2,61229
441,13087,29.9,36136
442,13089,17.5,56053
443,13091,25.2,35779
444,13093,28.5,40591
445,13095,30.5,35750
446,13097,12.9,59665
447,13099,31.4,26934
448,13101,23.2,35892
449,13103,10.3,63776
450,13105,22.3,37131
451,13107,27.4,32495
452,13109,24.4,34689
453,13111,14.1,41487
454,13113,6,83145
455,13115,15.8,46634
456,13117,5.7,101804
457,13119,21.4,41543
458,13121,16,62824
459,13123,15.2,46332
460,13125,18.5,41412
461,13127,19.1,48691
462,13129,16.1,45705
463,13131,21,40234
