,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,15.8,52250
1,01000,18.9,42882
2,01001,13.5,51868
3,01003,14.2,47539
4,01005,28.2,30981
5,01007,23.1,39781
6,01009,17.2,44392
7,01011,35.2,25937
8,01013,28.8,31041
9,01015,21.4,37898
10,01017,22.5,33883
11,01019,20.1,37478
12,01021,20.3,41348
13,01023,22.4,33581
14,01025,25.4,34593
15,01027,19.6,33344
16,01029,18.9,40407
17,01031,18.5,44666
18,01033,16.3,40032
19,01035,30.5,27196
20,01037,19.9,35175
21,01039,19.2,35187
22,01041,22.2,34105
23,01043,16.4,40142
24,01045,20.1,41805
25,01047,31.3,27524
26,01049,20,36713
27,01051,13.4,51650
28,01053,27.8,33455
29,01055,19.6,38587
30,01057,20.7,35661
31,01059,23.1,33332
32,01061,23.6,35378
33,01063,35,25864
34,01065,25.7,33597
35,01067,18.2,41590
36,01069,18.1,39636
37,01071,16.9,37204
38,01073,18.9,45024
39,01075,23,36475
40,01077,17.1,43586
41,01079,17.4,40713
42,01081,19.8,44647
43,01083,15.9,50148
44,01085,37,29734
45,01087,33.8,29228
46,01089,13.9,58258
47,01091,31.5,33749
48,01093,20.8,34162
49,01095,18.1,38399
50,01097,20.3,42278
51,01099,29.7,32696
52,01101,22.1,44013
53,01103,17.4,44079
54,01105,36.4,25461
55,01107,23.8,32314
56,01109,25.3,35944
57,01111,23.4,35121
58,01113,23.9,35762
59,01115,14,52437
60,01117,8.3,68718
61,01119,38,24504
62,01121,19.8,38505
63,01123,22.2,37747
64,01125,17.2,45959
65,01127,22,37193
66,01129,19.7,41115
67,01131,32.4,23184
68,01133,21.9,33578
69,02000,10.1,70058
70,02013,15.2,56856
71,02016,8.1,74088
72,02020,7.7,76362
73,02050,25.1,42876
74,02060,9.5,65283
75,02068,5.4,68103
76,02070,20.9,47930
77,02090,8.8,67204
78,02100,11.4,55295
79,02105,19.2,42276
80,02110,7.5,83642
81,02122,10.1,61629
82,02130,10.3,62619
83,02150,8.5,64782
84,02164,17.3,43936
85,02170,9.4,72371
86,02180,26.3,46471
87,02185,13.3,74174
88,02188,23.3,54600
89,02195,10.7,58176
90,02198,17.4,48175
91,02220,9.8,66038
92,02230,4.2,63930
93,02240,16.1,54922
94,02261,9.2,63541
95,02270,34.7,31274
96,02275,13.9,49039
97,02282,16.7,56365
98,02290,24.4,35114
99,04000,18.6,48504
100,04001,38.7,30252
101,04003,18.8,45294
102,04005,23.2,48732
103,04007,22.6,39868
104,04009,21.6,43497
105,04011,11.6,54673
106,04012,23.2,33994
107,04013,17.6,52066
108,04015,21.3,38560
109,04017,31.8,37182
110,04019,19.3,43926
111,04021,16.7,49887
112,04023,22.7,35753
113,04025,16.4,40486
114,04027,19.2,40498
115,05000,19.4,40605
116,05001,19.8,38497
117,05003,21.9,36479
118,05005,15.6,36082
119,05007,11.7,56518
120,05009,17.2,38410
