,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,14.3,50221
1,01000,17.5,40547
2,01001,11.2,53081
3,01003,13.3,48637
4,01005,32.8,28802
5,01007,18.1,38294
6,01009,14.6,41520
7,01011,34.7,24206
8,01013,29.4,27794
9,01015,19,37340
10,01017,20.7,30621
11,01019,18.4,38024
12,01021,18.7,38916
13,01023,22.8,31067
14,01025,29.1,32729
15,01027,19.2,34831
16,01029,17,37870
17,01031,15.7,43296
18,01033,16,37111
19,01035,27.5,26882
20,01037,16.7,34795
21,01039,22.5,32179
22,01041,20.6,31849
23,01043,19.3,37425
24,01045,16.2,41279
25,01047,35,27088
26,01049,21.7,33919
27,01051,14.2,50194
28,01053,22,31443
29,01055,17.2,38575
30,01057,19.6,34262
31,01059,21.8,32588
32,01061,19.4,31347
33,01063,28.4,26131
34,01065,26.6,30124
35,01067,18.7,35215
36,01069,17.7,38751
37,01071,16.4,35015
38,01073,16.5,43312
39,01075,18.2,31226
40,01077,14.5,39096
41,01079,16.2,36311
42,01081,20.7,37836
43,01083,13.5,46610
44,01085,28.8,28100
45,01087,38.6,26328
46,01089,10.3,57327
47,01091,24.9,31867
48,01093,21.2,32317
49,01095,19.1,37506
50,01097,18.7,39828
51,01099,23.4,30920
52,01101,19.9,41084
53,01103,15.9,40317
54,01105,31,24351
55,01107,28,29677
56,01109,27.6,31229
57,01111,21.1,33869
58,01113,19.9,33537
59,01115,13.8,45601
60,01117,6.9,65408
61,01119,35.1,22857
62,01121,18.9,37260
63,01123,17.8,35702
64,01125,19.9,41842
65,01127,16,36582
66,01129,19.3,36946
67,01131,34.6,22611
68,01133,24.9,31062
69,02000,9.1,66712
70,02013,13.9,50444
71,02016,9.1,58174
72,02020,7.6,72210
73,02050,20.7,41810
74,02060,7.8,64418
75,02068,4.8,62615
76,02070,18.5,46580
77,02090,7.9,64691
78,02100,9.8,48644
79,02105,17.2,41824
80,02110,6.6,73044
81,02122,8.7,57171
82,02130,8.3,58492
83,02150,6.9,62574
84,02164,16.1,42236
85,02170,8.7,70442
86,02180,21.3,48174
87,02185,7.8,75057
88,02188,15,52272
89,02195,9.2,51374
90,02198,15.4,43210
91,02220,7.6,59536
92,02230,4,63947
93,02240,12.5,54749
94,02261,7.9,60780
95,02270,30.9,30238
96,02275,10.5,48021
97,02282,14.1,52102
98,02290,22.7,32125
99,04000,16.5,48711
100,04001,35.4,28956
101,04003,16.2,43786
102,04005,18,49777
103,04007,20.7,36764
104,04009,21.5,40609
105,04011,10.9,56855
106,04012,25.4,30939
107,04013,15.1,53284
108,04015,17.8,39863
109,04017,27.4,34855
110,04019,18.9,43243
111,04021,13.7,49088
112,04023,25,35545
113,04025,14.2,40837
114,04027,19.2,38251
115,05000,18.5,37888
116,05001,17.2,37693
117,05003,21.7,35773
118,05005,16.5,33878
119,05007,13.1,49226
120,05009,16.3,37007
121,05011,27.6,29221
122,05013,17,34453
123,05015,17.3,35006
124,05017,32.8,25186
125,05019,22.1,33857
126,05021,20.3,30568
127,05023,17.5,37583
128,05025,16,38476
129,05027,25.7,32620
130,05029,19.6,36356
131,05031,17.9,39526
132,05033,17.6,39618
133,05035,28.3,34099
134,05037,18.2,35722
135,05039,23.3,30454
136,05041,25.8,28734
137,05043,23.4,31676
138,05045,14.3,48390
139,05047,18.8,31666
140,05049,23,30831
141,05051,14.7,37427
142,05053,12.1,48610
143,05055,14.4,37997
144,05057,27.3,30735
145,05059,17.2,36387
146,05061,19.6,31196
147,05063,20.8,34487
148,05065,24.2,30143
149,05067,28.4,28987
150,05069,24.7,34389
151,05071,19.8,32206
152,05073,25.7,27951
