,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,15.9,51371
1,01000,19,41610
2,01001,12.7,51441
3,01003,13.9,48867
4,01005,29,30287
5,01007,21.5,37392
6,01009,16.2,44225
7,01011,32.3,25854
8,01013,26.3,30605
9,01015,21.4,39212
10,01017,21.5,32320
11,01019,19.6,37868
12,01021,20.1,39621
13,01023,20.8,33390
14,01025,21.5,34606
15,01027,19.1,34579
16,01029,18.6,38235
17,01031,15.1,45631
18,01033,16.2,39771
19,01035,31.3,27110
20,01037,21,32960
21,01039,20.9,34017
22,01041,20.1,33648
23,01043,18.7,37938
24,01045,19.1,40125
25,01047,36.8,27400
26,01049,18.1,37644
27,01051,13.8,52324
28,01053,27.9,33588
29,01055,21,35737
30,01057,17.6,35720
31,01059,19.5,33173
32,01061,22.8,33347
33,01063,34.1,24592
34,01065,27.9,31025
35,01067,19.2,37108
36,01069,19,40609
37,01071,16.4,39618
38,01073,18.6,43967
39,01075,22.5,33940
40,01077,20.2,41536
41,01079,20,38524
42,01081,23,43182
43,01083,12.8,49616
44,01085,26.6,28544
45,01087,33.1,27709
46,01089,12.6,57072
47,01091,26.5,31888
48,01093,22.2,32237
49,01095,21.5,36960
50,01097,21,39546
51,01099,21.1,36221
52,01101,21.7,41430
53,01103,16.2,44766
54,01105,36.6,25215
55,01107,23.4,31433
56,01109,26.7,32411
57,01111,22.8,35024
58,01113,23.6,34310
59,01115,15.8,50989
60,01117,8.7,67244
61,01119,36.5,24059
62,01121,23.3,34785
63,01123,23.5,36463
64,01125,19.5,41495
65,01127,21,36600
66,01129,21,39173
67,01131,36.5,22126
68,01133,26.4,32663
69,02000,10.8,66503
70,02013,15.7,51514
71,02016,9.3,69192
72,02020,9,71094
73,02050,27.6,41722
74,02060,9.3,66178
75,02068,6.2,66325
76,02070,20.7,47498
77,02090,9.2,63979
78,02100,11.8,49890
79,02105,17.5,40371
80,02110,7.9,76967
81,02122,10.8,60431
82,02130,10.7,61296
83,02150,8.6,61498
84,02164,17.5,44657
85,02170,10.1,68109
86,02180,28.6,47022
87,02185,15.4,69138
88,02188,22.1,52945
89,02195,10.8,57728
90,02198,17.2,44721
91,02220,8.6,61771
92,02230,4.2,65379
93,02240,12.8,56456
94,02261,9.5,65098
95,02270,28.9,32860
96,02275,11.5,47373
97,02282,14.1,47565
98,02290,22.6,33998
99,04000,18.7,47796
100,04001,33.2,32886
101,04003,18.8,43017
102,04005,24.6,45509
103,04007,21.3,38267
104,04009,25.4,41080
105,04011,12,53312
106,04012,24.5,35236
107,04013,17.4,51442
108,04015,21.1,34966
109,04017,30.3,34662
110,04019,19.9,44745
111,04021,17.7,50362
112,04023,24.8,36660
113,04025,15.7,43397
114,04027,21.9,39072
115,05000,19.6,40151
116,05001,18.4,37907
117,05003,20.3,39276
118,05005,17.7,35315
119,05007,13.5,52717
120,05009,21.2,35848
121,05011,25.7,31940
122,05013,19.2,36216
123,05015,20,34096
124,05017,37,26911
125,05019,26.6,34482
126,05021,22.4,32642
127,05023,16.9,41337
128,05025,17.2,41338
129,05027,24.5,35024
130,05029,22.9,35832
131,05031,17.6,42437
132,05033,21.7,39367
133,05035,24,36588
134,05037,19.9,35839
135,05039,23,30984
136,05041,27.4,30298
137,05043,24.7,33682
138,05045,14.4,49843
139,05047,18.6,39763
140,05049,23.5,31988
141,05051,19.8,39617
142,05053,12.5,47421
143,05055,19.4,38771
144,05057,29,32292
145,05059,18.6,41754
146,05061,19.9,33049
147,05063,19.5,37818
148,05065,24.6,29663
149,05067,26.7,30604
150,05069,23.9,36346
151,05071,18,34322
152,05073,28.5,28857
153,05075,25,29229
154,05077,38.6,26046
155,05079,32.9,36222
156,05081,18.8,35406
157,05083,20.9,33850
158,05085,12.4,51212
159,05087,21.2,33428
160,05089,21.4,31516
161,05091,20.9,38225
162,05093,25.6,34058
163,05095,27.3,29032
164,05097,24,32779
165,05099,25.7,32107
166,05101,27.1,29316
167,05103,21.9,32749
168,05105,16.8,40119
169,05107,39,26013
170,05109,22.7,33144
171,05111,27.9,32248
172,05113,23,31749
173,05115,17.9,40206
174,05117,21.6,36191
175,05119,18.6,44819
176,05121,21.6,33870
177,05123,32.3,32932
178,05125,9.7,57787
179,05127,24.4,30630
180,05129,28.4,26330
181,05131,20,38730
182,05133,24.8,32662
183,05135,24.4,30076
184,05137,24.3,28442
185,05139,19.9,40026
186,05141,19.8,35876
187,05143,19.3,41856
188,05145,19.4,40950
189,05147,28.1,29184
190,05149,21.6,38322
191,06000,17,58322
192,06001,13.1,70209
193,06003,19.3,46336
194,06005,13.3,51388
195,06007,21.8,40748
196,06009,14.1,50962
197,06011,13.4,49871
198,06013,11.1,74208
199,06015,24.2,37305
200,06017,9.3,68446
201,06019,28.2,41563
202,06021,17.3,41201
203,06023,22,39837
204,06025,22.8,38185
205,06027,11.8,45748
206,06029,23.7,45599
207,06031,21.5,45464
208,06033,25.1,35437
209,06035,22.4,47480
210,06037,19.1,52929
211,06039,23.3,42054
212,06041,8.5,88654
213,06043,18.4,43166
214,06045,21.3,41088
215,06047,24.2,42552
216,06049,19.6,36724
217,06051,11.5,53067
218,06053,18.1,56038
219,06055,9.7,65698
220,06057,11.9,54230
221,06059,13,71866
222,06061,9.1,69521
223,06063,14.9,46450
224,06065,17.8,52416
225,06067,19.5,52617
226,06069,12.8,60577
227,06071,20.4,50603
228,06073,15.1,60235
229,06075,14.9,72093
230,06077,18.5,50431
231,06079,14,58427
232,06081,8.4,81568
233,06083,16.3,60683
234,06085,10.8,91195
235,06087,13.9,65799
236,06089,17.1,44477
237,06091,13.7,45157
238,06093,21.2,36597
239,06095,14.2,61976
240,06097,12.1,59855
241,06099,20.1,46324
242,06101,18.8,46524
243,06103,22.3,38577
244,06105,21.7,35162
245,06107,29.7,40197
246,06109,14.8,46624
247,06111,11.6,71043
248,06113,17.1,51040
249,06115,22.4,41599
250,08000,13.6,56880
251,08001,14.9,55695
252,08003,24.4,37731
253,08005,12,60525
254,08007,14.6,46127
255,08009,19.4,37775
