,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,15.5,53657
1,01000,19.2,42917
2,01001,13.1,54366
3,01003,13,49626
4,01005,25.4,34971
5,01007,18.1,39546
6,01009,17.5,45567
7,01011,35.1,26580
8,01013,25,32512
9,01015,20.5,41123
10,01017,21.3,34116
11,01019,18.6,38013
12,01021,18.1,41450
13,01023,25,35049
14,01025,24.9,36620
15,01027,19.5,35940
16,01029,17,40418
17,01031,16.8,46931
18,01033,16.7,43057
19,01035,30.6,29101
20,01037,18.8,34679
21,01039,20.8,36149
22,01041,21.2,34445
23,01043,17.2,39922
24,01045,22.4,41940
25,01047,35.2,26602
26,01049,24,36241
27,01051,14.4,54298
28,01053,25.1,37077
29,01055,19,39904
30,01057,20.6,35664
31,01059,23.1,33881
32,01061,23.9,34425
33,01063,33.2,26504
34,01065,28.1,33315
35,01067,17.3,39930
36,01069,20.1,40124
37,01071,22,36923
38,01073,19.5,44852
39,01075,20.6,34553
40,01077,18.7,41324
41,01079,16.6,41574
42,01081,25.2,41256
43,01083,13.6,51175
44,01085,31.4,30675
45,01087,32.1,28518
46,01089,14.2,58833
47,01091,25.6,32977
48,01093,20.2,37707
49,01095,22,36536
50,01097,19.6,42943
51,01099,25.3,34733
52,01101,22.5,43054
53,01103,15,45082
54,01105,46.9,27403
55,01107,25,31933
56,01109,26.4,31844
57,01111,20.4,36939
58,01113,20.9,35585
59,01115,14.3,50571
60,01117,9.6,69432
61,01119,38.1,25413
62,01121,22.5,39999
63,01123,21.3,36779
64,01125,18,46892
65,01127,23.5,37245
66,01129,18.5,41321
67,01131,33.7,24035
68,01133,20.1,35528
69,02000,11.4,70898
70,02013,16.2,55462
71,02016,9.9,68387
72,02020,10,75200
73,02050,23.8,45808
74,02060,9.5,75364
75,02068,7.1,69692
76,02070,17.5,51082
77,02090,9.5,67801
78,02100,9.8,67260
79,02105,19.1,51687
80,02110,7.9,80835
81,02122,11.5,62532
82,02130,12.4,57776
83,02150,8.3,67972
84,02164,17.7,45570
85,02170,10.7,73981
86,02180,26.1,47160
87,02185,11.5,75682
88,02188,23.2,65192
89,02195,8.8,56655
90,02198,17.4,43245
91,02220,8.6,65765
92,02230,3.6,69170
93,02240,13.8,59641
94,02261,9.9,73998
95,02270,35.7,30877
96,02275,11.9,52201
97,02282,14.8,52595
98,02290,25.7,36708
99,04000,18.2,50036
100,04001,33.1,32366
101,04003,18.7,45025
102,04005,21.3,48653
103,04007,24.4,37677
104,04009,20,46046
105,04011,10.3,59416
106,04012,22.8,32533
107,04013,17.1,53929
108,04015,20.8,37704
109,04017,28.5,35457
110,04019,18.7,45871
111,04021,17.6,49876
112,04023,23.6,37465
113,04025,15.6,44145
114,04027,22.6,39700
115,05000,18.7,41335
116,05001,20.4,36409
117,05003,22.7,36176
118,05005,14.9,37873
119,05007,11.9,57408
120,05009,16.9,39779
121,05011,27.4,32734
122,05013,18,39493
123,05015,17.9,36964
124,05017,32.1,29541
125,05019,21.5,38504
126,05021,19.9,33826
127,05023,15.2,40555
128,05025,16.6,43201
129,05027,24.1,37495
130,05029,18.3,42348
131,05031,22.3,42851
132,05033,16.6,43466
133,05035,27.3,35455
134,05037,22.3,38597
135,05039,21,34018
136,05041,27.3,33028
137,05043,24,36801
138,05045,14.7,51436
139,05047,17.5,40404
140,05049,22.6,33347
141,05051,18.7,40621
142,05053,13.3,46067
143,05055,16.3,42572
144,05057,24.4,33136
145,05059,18.7,37831
146,05061,18.8,37336
147,05063,18.6,41085
148,05065,22,32744
149,05067,25.1,32427
150,05069,26.8,35927
151,05071,19.7,34923
152,05073,27.5,32225
153,05075,23,34916
154,05077,39.3,28006
155,05079,29,37644
156,05081,18.2,37691
157,05083,21.1,36391
158,05085,12.3,54459
159,05087,18,39158
160,05089,20.3,33181
161,05091,20.8,40877
162,05093,27.1,33577
163,05095,28.1,30682
164,05097,20.1,34597
165,05099,25.1,30935
166,05101,20.1,35895
167,05103,23,34971
168,05105,17.3,40556
169,05107,35.3,28171
170,05109,20,36893
171,05111,21.9,35851
172,05113,22,33127
173,05115,18.3,39909
174,05117,18.7,39896
175,05119,16.1,45698
176,05121,18.3,37761
177,05123,33.4,30489
178,05125,8.7,55915
179,05127,23.7,33202
180,05129,23.3,31765
181,05131,22.1,39907
182,05133,20.4,37014
183,05135,21.6,32101
184,05137,24.4,30010
185,05139,23.1,40841
186,05141,22,32975
187,05143,19.3,45589
188,05145,19.4,42044
189,05147,25.1,29969
190,05149,17.4,37080
191,06000,16.4,61927
192,06001,12.5,76996
193,06003,19,53003
194,06005,12.9,54610
195,06007,21.9,42302
196,06009,13.7,53321
197,06011,14.3,48006
198,06013,10.5,80338
199,06015,22.4,41419
200,06017,11.4,70235
201,06019,27.5,43338
202,06021,17.1,43755
203,06023,21,40581
204,06025,23.6,38737
205,06027,14,49267
206,06029,24.5,47451
207,06031,24.9,44490
208,06033,24.3,36333
209,06035,19.4,49995
210,06037,18.7,55686
211,06039,22.3,43171
212,06041,8.8,94549
213,06043,16.2,47781
214,06045,18.8,42840
215,06047,24.8,43818
216,06049,20.2,39172
217,06051,11.3,59181
218,06053,17,57428
219,06055,9,71063
220,06057,11.4,57118
221,06059,12.9,76061
222,06061,8.3,75689
223,06063,14,47964
224,06065,17.1,56877
225,06067,18.1,55803
226,06069,14.1,68166
227,06071,20.4,51951
228,06073,14.7,66034
229,06075,12.1,83788
230,06077,20.7,51527
231,06079,14.5,61775
232,06081,7.5,100806
233,06083,17.4,62116
234,06085,8.5,97219
235,06087,16.1,64257
236,06089,14.7,43661
237,06091,13.8,47293
238,06093,21.1,38641
239,06095,12.3,67106
240,06097,11.3,66949
241,06099,18.1,50917
242,06101,15.2,51827
243,06103,18.2,40782
244,06105,19.9,34961
245,06107,28.1,42360
246,06109,14.3,49476
247,06111,11.5,74967
248,06113,19.5,54509
249,06115,21.6,41403
250,08000,12.1,61324
251,08001,12.9,59316
252,08003,22.5,38140
253,08005,11.2,65359
254,08007,14.7,44508
255,08009,20,36294
256,08011,32.3,35424
257,08013,13.3,71546
258,08014,4,85885
259,08015,12.4,48840
260,08017,13.4,52273
261,08019,8.5,69115
262,08021,22.9,33998
263,08023,28.5,27882
264,08025,40.5,32570
265,08027,14.9,48368
266,08029,15.6,45283
267,08031,15.9,54872
268,08033,15.4,44235
269,08035,3.7,107250
270,08037,7.8,76661
271,08039,5.9,83603
272,08041,12.2,59286
273,08043,19.1,41385
274,08045,10.2,62529
275,08047,7.9,64752
276,08049,10.4,59379
277,08051,14.9,48940
278,08053,10.1,51241
279,08055,22,32750
280,08057,16.6,45073
281,08059,8.3,70687
282,08061,13.5,42310
283,08063,14.9,46394
284,08065,16,46765
285,08067,10.7,60658
286,08069,12.8,57659
287,08071,17.4,39625
288,08073,18.3,41248
289,08075,17.7,45439
290,08077,15.4,50106
291,08079,8.9,51257
292,08081,11.2,56193
293,08083,16.3,44163
294,08085,15.5,46336
295,08087,13.4,47631
296,08089,26,33043
297,08091,9.6,57242
298,08093,9.4,58487
299,08095,11.5,47006
300,08097,7,73274
301,08099,20.9,39184
302,08101,19,41382
303,08103,10.9,63184
304,08105,18.3,40593
305,08107,8.4,66846
306,08109,29.9,31227
307,08111,15.5,40006
308,08113,9.9,59603
309,08115,13.9,44562
310,08117,9.7,68352
311,08119,9.5,62380
312,08121,11.4,45784
313,08123,10.5,61501
314,08125,14,46838
315,09000,10.8,70007
316,09001,9,85336
317,09003,12.2,65809
318,09005,7.7,73413
319,09007,7.9,76365
320,09009,13,60387
321,09011,11.1,65813
322,09013,7.5,78653
323,09015,10.3,57547
324,10000,13,59853
325,10001,14.1,54271
326,10003,12.3,64632
327,10005,13.9,53316
328,11000,18.4,69992
329,11001,18.4,69992
330,12000,16.6,47439
331,12001,21.6,44325
332,12003,19.6,47121
333,12005,15.6,44800
334,12007,22.6,39980
335,12009,14.5,47973
336,12011,14.5,51485
337,12013,22.3,35256
338,12015,11.9,43242
339,12017,20.1,36383
340,12019,10.9,58539
341,12021,14.3,58403
342,12023,21.7,38484
343,12027,29.7,36945
344,12029,27.1,32121
345,12031,18.2,46013
346,12033,15.3,46139
347,12035,11.6,51556
348,12037,25.3,36788
349,12039,25.6,35849
350,12041,19.8,40788
351,12043,21.1,38783
352,12045,23.1,38419
353,12047,31.7,31734
354,12049,29.9,35371
355,12051,25.3,38494
356,12053,15.3,40094
357,12055,19.5,35787
358,12057,16.8,50758
359,12059,26.7,35651
360,12061,14.7,47548
361,12063,24.3,36876
362,12065,18,40205
363,12067,25.6,38071
364,12069,13.8,46895
365,12071,16,49147
366,12073,23.3,45463
367,12075,21.2,37433
368,12077,24.7,38473
369,12079,27.7,33017
370,12081,14.1,51673
371,12083,17.8,39860
372,12085,12.1,55472
373,12086,20.4,42754
374,12087,14,57411
375,12089,11.7,56728
376,12091,12.4,55952
377,12093,25.9,37065
378,12095,18.2,47069
379,12097,19.3,42945
380,12099,14.9,52225
381,12101,14.7,45219
382,12103,15.2,45162
383,12105,18.1,42768
384,12107,28.5,32054
385,12109,8.2,66560
386,12111,17.3,42722
387,12113,11.2,58587
388,12115,10.8,52109
389,12117,11.8,56443
390,12119,10.9,51907
391,12121,23.7,38177
392,12123,23.4,36374
393,12125,24.3,40207
394,12127,17.7,40881
395,12129,15.1,51642
396,12131,15.8,46867
397,12133,20,36482
398,13000,18.4,49240
399,13001,24.9,36642
400,13003,26.5,31740
401,13005,25.9,34201
402,13007,27.3,43115
403,13009,29.5,37008
404,13011,16.9,46018
405,13013,13,49698
406,13015,14.3,51440
407,13017,28.5,31081
408,13019,26.7,35078
409,13021,28.2,36014
410,13023,23.2,40454
411,13025,21.7,36865
412,13027,28.8,32903
413,13029,11.9,66556
414,13031,31.4,36315
415,13033,31.1,35055
416,13035,21.3,41505
417,13037,38.5,30760
418,13039,12,51793
419,13043,29.1,31829
420,13045,22.9,43442
421,13047,12.6,50728
422,13049,29.5,34312
423,13051,17.9,50154
424,13053,18.8,45933
425,13055,21.1,34830
426,13057,9.3,71168
427,13059,37.8,31487
428,13061,37.3,27512
429,13063,22.9,42985
430,13065,28.5,31577
431,13067,13,66970
432,13069,28.1,33125
433,13071,26.5,33509
434,13073,9.5,68067
435,13075,26.1,32408
436,13077,12.5,60809
437,13079,19.9,43111
438,13081,32.5,31176
439,13083,16.4,42953
440,13085,11.8,57491
441,13087,27.7,33968
442,13089,20.4,50597
443,13091,25.9,32293
444,13093,30.4,31103
445,13095,31.7,32150
446,13097,14.2,54581
447,13099,29.9,34906
448,13101,27.1,34444
449,13103,11,61195
450,13105,21.4,35351
451,13107,32.7,30119
452,13109,26.6,33293
453,13111,19.6,37813
454,13113,6.9,79069
455,13115,21.1,41814
456,13117,6.3,86413
457,13119,24.4,38055
458,13121,17.4,55516
459,13123,19.7,40010
460,13125,19.4,39643
461,13127,19.3,46737
462,13129,17.8,43880
463,13131,26.2,35237
464,13133,24.4,42823
465,13135,13.4,59858
466,13137,15.3,40994
467,13139,16.8,52238
468,13141,35.3,26309
469,13143,18.8,40387
470,13145,9.5,66249
471,13147,21.4,38564
472,13149,19,41348
473,13151,13.7,60388
474,13153,17.2,53027
475,13155,25.3,35955
476,13157,13.5,51931
477,13159,18.2,41818
478,13161,24.8,35235
479,13163,26.4,30835
480,13165,34.6,30678
481,13167,30.4,29818
482,13169,14.5,51749
483,13171,21.3,40339
484,13173,23.9,37113
485,13175,25.4,35807
486,13177,11.8,64533
487,13179,17.2,41682
488,13181,17.9,39484
489,13183,21.9,43193
490,13185,24.5,38887
491,13187,18.6,44653
492,13189,27.6,37413
493,13191,23.3,37603
494,13193,34.1,29430
495,13195,19.7,45557
496,13197,25.9,36055
497,13199,23.6,37243
498,13201,25.1,35276
499,13205,32.6,32711
500,13207,14.8,53542
501,13209,22.4,36436
502,13211,15,50295
503,13213,18.7,40976
504,13215,21.9,41783
505,13217,19.4,48058
506,13219,7.9,80631
507,13221,15.8,46840
508,13223,10.7,63964
509,13225,21.7,40550
510,13227,12.3,51047
511,13229,18.9,40526
512,13231,13.7,50395
513,13233,20.6,38847
514,13235,23.9,36128
