,County FIPS,Poverty Percent All Ages,Median Household Income
0,00000,14.7,55775
1,01000,18.5,44833
2,01001,12.7,56580
3,01003,12.9,52387
4,01005,32,31433
5,01007,22.2,40767
6,01009,14.7,50487
7,01011,39.6,28251
8,01013,25.8,33868
9,01015,20,42091
10,01017,22.4,35560
11,01019,19.4,39144
12,01021,20.2,42767
13,01023,24.4,35089
14,01025,22.2,37317
15,01027,18.4,38908
16,01029,18.9,42136
17,01031,16.2,46858
18,01033,18.1,41171
19,01035,28.3,29981
20,01037,20.3,36078
21,01039,22.3,36355
22,01041,19.9,36759
23,01043,19.4,39290
24,01045,18.5,45294
25,01047,34.6,29682
26,01049,20.6,37305
27,01051,14,53548
28,01053,24.4,36840
29,01055,19,42145
30,01057,20.4,37085
31,01059,21.1,38535
32,01061,22.4,36289
33,01063,37.7,25398
34,01065,28.5,35470
35,01067,17,42501
36,01069,18.3,43568
37,01071,18.4,40201
38,01073,18,48415
39,01075,24.7,36520
40,01077,17.3,43008
41,01079,18.7,41771
42,01081,21,46442
43,01083,14.3,55060
44,01085,35.2,31117
45,01087,32.2,29522
46,01089,13.3,59117
47,01091,23.3,35389
48,01093,19.8,34977
49,01095,20.1,40599
50,01097,18.4,42530
51,01099,28.6,35163
52,01101,22.8,42666
53,01103,16.4,47234
54,01105,40,26218
55,01107,24.3,33160
56,01109,25.9,34442
57,01111,18.7,37333
58,01113,23,36124
59,01115,12.4,53558
60,01117,8.5,70879
61,01119,33.2,25931
62,01121,22.4,37911
63,01123,21.7,39051
64,01125,20,47868
65,01127,20.6,37305
66,01129,22.4,42658
67,01131,33.2,23014
68,01133,18.9,36497
69,02000,10.4,73391
70,02013,17.4,57015
71,02016,8.5,80695
72,02020,8.7,77791
73,02050,24.2,44849
74,02060,9,66373
75,02068,6.6,73000
76,02070,20,50753
77,02090,8.1,70881
78,02100,10.9,57876
79,02105,16.2,53726
80,02110,8,82892
81,02122,11.4,62025
82,02130,10.3,65314
83,02150,7.5,67515
84,02158,31.8,33511
85,02164,19.3,42120
86,02170,9.8,76601
87,02180,21.4,52952
88,02185,12.6,70834
89,02188,26.3,53774
90,02195,7.9,63098
91,02198,15.6,45305
92,02220,9.2,68472
93,02230,3.7,65878
94,02240,13.5,60203
95,02261,9.5,70101
96,02275,12,54500
97,02282,15.4,53795
98,02290,23.4,37755
99,04000,17.4,51473
100,04001,38,31072
101,04003,16.9,43451
102,04005,19.5,51955
103,04007,21.3,41346
104,04009,22.9,44169
105,04011,10.1,58854
106,04012,22.2,34835
107,04013,16.3,56017
108,04015,17.4,40360
109,04017,28.1,37658
110,04019,18.7,47107
111,04021,15.8,50888
112,04023,24.4,34893
113,04025,15.1,47220
114,04027,21.1,40426
115,05000,18.7,42046
116,05001,20.7,41179
117,05003,19.6,39871
118,05005,16.4,36902
119,05007,10.8,60294
120,05009,16.5,40909
121,05011,28,37331
122,05013,16.7,40526
123,05015,16.6,37587
124,05017,31.4,29968
125,05019,22.5,37856
126,05021,20.8,35324
127,05023,15.6,43913
128,05025,18.1,44123
129,05027,23.8,38057
130,05029,17.8,43702
131,05031,17.3,42460
132,05033,14.4,46545
133,05035,25.9,37371
134,05037,21.5,39132
135,05039,21.3,33352
136,05041,30.9,30987
137,05043,21.2,39339
138,05045,14.8,51157
139,05047,18.2,41933
140,05049,19.4,34717
141,05051,19.3,37723
142,05053,13.2,47652
143,05055,17.1,43996
144,05057,24.1,34560
145,05059,20.8,39851
146,05061,18.7,33199
147,05063,18,38241
148,05065,19.8,35355
149,05067,27.5,32571
150,05069,26.5,36990
151,05071,21.8,35877
152,05073,22.7,33864
153,05075,23.7,34808
154,05077,35.9,28481
155,05079,25.1,40216
156,05081,19.9,39265
157,05083,20.5,37924
158,05085,11.9,56240
159,05087,18.8,41007
160,05089,18.8,34946
161,05091,22.3,39005
162,05093,26.3,34888
163,05095,30.9,30801
164,05097,21.8,37813
165,05099,24,35914
166,05101,24.2,33679
167,05103,22.8,37987
168,05105,16.8,43020
169,05107,37.3,28224
170,05109,18.5,36266
171,05111,23.9,32756
172,05113,24.4,34723
173,05115,20.8,41074
174,05117,19.6,39518
175,05119,19.4,46473
176,05121,17.6,34730
177,05123,30.7,31625
178,05125,10.7,56926
179,05127,20.8,36028
180,05129,22.2,30427
181,05131,22.1,41452
182,05133,20.8,41848
183,05135,24.6,32095
184,05137,21.5,32023
185,05139,19.7,42195
186,05141,19,38306
187,05143,16.9,46418
188,05145,19.7,42508
189,05147,25.8,31013
190,05149,17.8,37415
191,06000,15.4,64483
192,06001,11.5,81462
193,06003,19,50882
194,06005,13.1,55879
195,06007,21.4,45369
196,06009,13,52471
197,06011,13.2,51118
198,06013,10.2,83036
199,06015,23.3,38963
200,06017,9.1,75575
201,06019,25.2,46608
202,06021,18.5,43584
203,06023,20.9,40739
204,06025,24.3,39925
205,06027,12.4,51697
206,06029,21.9,51150
207,06031,22.4,46440
208,06033,20.5,37993
209,06035,17.1,54670
210,06037,16.7,59045
211,06039,22.6,46593
212,06041,7.5,99868
213,06043,15.2,44595
214,06045,20.3,43237
215,06047,25.9,42879
216,06049,20.3,38402
217,06051,11.2,53992
218,06053,15.3,60047
219,06055,10.1,72683
220,06057,12.4,57627
221,06059,12.7,78002
222,06061,8.6,76203
223,06063,13.8,46813
224,06065,16.2,57895
225,06067,16.9,58735
226,06069,9.3,76521
227,06071,18.9,53526
228,06073,13.9,67053
229,06075,12.4,90527
230,06077,17.5,53341
231,06079,14.4,61761
232,06081,8.4,101133
233,06083,15.6,63049
234,06085,8.3,102191
235,06087,15.4,64841
236,06089,19,45943
237,06091,13.8,47535
238,06093,22.6,37447
239,06095,12,67202
240,06097,11,66463
241,06099,19.5,51949
242,06101,17.5,50810
243,06103,22.5,40292
244,06105,19.7,37669
245,06107,27.2,42637
246,06109,14.5,53136
247,06111,9.9,79285
248,06113,17.5,58766
249,06115,21.6,46500
250,08000,11.5,63945
251,08001,12.8,62991
252,08003,24,40067
253,08005,9.2,67062
254,08007,13.1,50361
255,08009,20.8,35405
256,08011,36.7,36630
257,08013,12.3,72392
258,08014,4.9,86548
259,08015,11.7,50947
260,08017,11.7,50620
261,08019,9.6,67262
262,08021,20.2,37102
263,08023,28.2,27944
264,08025,44.3,35405
265,08027,15.1,43995
266,08029,15.8,42586
267,08031,15.7,57886
268,08033,14.9,44829
269,08035,3.4,109926
270,08037,7.6,75191
271,08039,5.9,90270
272,08041,11,60050
273,08043,17.2,41967
274,08045,10.3,64487
275,08047,8,67389
276,08049,8.3,59885
277,08051,12.5,47619
278,08053,10.9,58613
279,08055,23.2,33098
280,08057,13.9,46905
281,08059,7.9,71209
282,08061,13.9,42108
283,08063,12.2,44090
284,08065,15.7,45913
285,08067,9.4,60732
286,08069,12.2,64935
287,08071,19.3,38858
288,08073,19.4,43188
289,08075,15.5,46306
290,08077,14.1,51449
291,08079,9.4,50481
292,08081,11.7,59173
293,08083,19.3,42975
294,08085,17.7,46860
295,08087,12.1,49087
296,08089,20.6,34970
297,08091,9.4,60402
298,08093,9.2,63319
299,08095,11.1,48562
300,08097,7,76663
301,08099,19.6,41348
302,08101,19.8,40540
303,08103,9.7,61426
304,08105,17.2,40259
305,08107,8.9,70989
306,08109,29.6,34209
307,08111,15.6,43489
308,08113,11,62793
309,08115,13.6,40325
310,08117,8.7,69633
311,08119,8.8,66191
312,08121,11.4,47592
313,08123,11.3,69434
314,08125,14.1,48934
315,09000,10.6,71333
316,09001,9,86297
317,09003,11.1,69260
318,09005,7.4,70847
319,09007,6.7,82878
320,09009,13.6,61758
321,09011,11.1,65602
322,09013,7.1,81616
323,09015,10.9,61303
324,10000,12.6,61327
325,10001,14.2,55678
326,10003,12.1,66179
327,10005,12.3,54309
328,11000,17.7,73115
329,11001,17.7,73115
330,12000,15.8,49416
331,12001,21.1,47023
332,12003,16.8,50883
333,12005,16.5,47745
334,12007,21.3,40879
335,12009,13.4,50352
336,12011,14,53624
337,12013,22.2,36062
338,12015,12.4,45495
339,12017,17.5,39982
340,12019,11.6,59244
341,12021,13.6,62385
342,12023,19.7,43303
343,12027,30.5,34380
344,12029,29.3,35749
345,12031,16,49565
346,12033,15.4,45735
347,12035,11.7,50347
348,12037,23.7,38220
349,12039,24.5,36637
350,12041,19.2,39342
351,12043,22.1,40215
352,12045,21.9,41320
353,12047,31.8,33497
354,12049,25.9,35850
355,12051,25.8,39320
356,12053,14.3,43103
357,12055,22.9,34691
358,12057,15.8,51710
359,12059,25.9,35202
360,12061,13,49887
361,12063,22.5,36751
362,12065,19.4,42210
363,12067,23.8,40345
364,12069,12.8,49711
365,12071,15.9,50713
366,12073,21.8,46405
367,12075,22.1,36005
368,12077,22.6,39623
369,12079,27,34360
370,12081,14.8,50728
371,12083,18.7,40053
372,12085,11.2,53459
373,12086,20,43687
374,12087,11.3,58332
375,12089,10.8,55707
376,12091,11.3,55391
377,12093,23.2,35787
378,12095,15.6,50593
379,12097,18.5,45127
380,12099,13.5,56638
381,12101,14.6,46080
382,12103,13.6,47591
383,12105,17.3,44024
384,12107,27.3,32351
385,12109,9.8,71896
386,12111,16.4,45918
387,12113,12.3,59289
388,12115,9.7,55882
389,12117,11.5,57357
390,12119,10.1,54592
391,12121,23.6,37368
392,12123,21.2,39116
393,12125,26.2,41078
394,12127,16.3,42334
395,12129,16.5,48703
396,12131,14.8,47875
397,12133,24.8,36328
398,13000,17.2,51225
399,13001,22.5,39588
400,13003,26.9,32398
401,13005,23.9,35431
402,13007,28.7,34455
403,13009,26,38015
404,13011,15.8,44146
405,13013,15.6,53789
406,13015,13.6,50900
407,13017,32.5,30776
408,13019,25.5,35518
409,13021,26.7,38870
410,13023,19.3,42716
411,13025,21.6,37709
412,13027,25.4,36820
413,13029,13.1,69650
414,13031,29.9,36544
415,13033,25.1,36977
416,13035,19,44166
417,13037,37.5,30972
418,13039,13.6,52706
419,13043,28.1,32806
420,13045,20.4,45453
421,13047,13.1,50979
422,13049,32.5,37037
423,13051,17.8,48885
424,13053,21,41066
425,13055,20.4,38063
426,13057,9.4,74885
427,13059,38.1,33302
428,13061,34.3,25941
429,13063,23.3,41731
430,13065,28.2,31848
431,13067,11.4,70097
432,13069,22.6,34775
433,13071,24.1,34151
434,13073,9.3,75232
435,13075,24.1,34505
436,13077,10.9,67268
437,13079,20.6,43559
438,13081,32.3,31095
439,13083,16.2,43632
440,13085,12.1,60195
441,13087,27.3,37661
442,13089,17.8,53994
443,13091,24.8,34611
444,13093,33.8,32323
445,13095,29.4,34799
446,13097,14.1,58443
447,13099,26.5,31935
448,13101,25.9,34414
449,13103,11.4,63255
450,13105,23.7,35814
451,13107,27,31772
452,13109,27.4,34085
453,13111,17.4,39796
454,13113,7,80588
455,13115,19.6,41130
456,13117,6.3,97886
457,13119,21.9,40156
458,13121,16,59911
459,13123,16.9,43907
460,13125,17.8,40732
461,13127,18.2,46377
462,13129,18.1,44580
463,13131,29.3,36486
464,13133,21.2,43326
465,13135,12.6,61797
466,13137,16.6,44400
467,13139,16.9,54578
468,13141,34.7,28328
469,13143,19.2,41167
470,13145,9.9,65887
471,13147,18.6,39567
472,13149,19.1,41514
473,13151,9.9,65437
474,13153,15.2,55860
475,13155,24.7,35284
476,13157,13,56102
477,13159,17.4,46398
478,13161,21.7,36186
479,13163,27.7,32023
480,13165,35.9,29924
481,13167,30.2,30794
482,13169,14.2,52777
483,13171,21,42177
484,13173,21.8,37616
485,13175,25.5,36960
486,13177,10.7,68636
487,13179,20.3,39612
488,13181,21.4,39089
489,13183,19.1,42542
490,13185,26.5,37699
491,13187,16.5,48101
492,13189,27.4,36346
493,13191,24,38770
494,13193,33.5,30696
495,13195,15.1,40735
496,13197,25.5,35265
497,13199,22.1,37866
498,13201,25.1,35357
499,13205,28,34139
500,13207,14.2,53070
501,13209,24.3,36821
502,13211,14.3,51081
503,13213,17.8,43142
504,13215,22.2,41828
505,13217,14.9,51177
506,13219,6.8,76371
507,13221,16.9,43428
508,13223,8.8,62658
509,13225,22,41725
510,13227,12.6,56289
511,13229,22.1,39648
512,13231,11.7,56233
513,13233,20.8,39402
514,13235,24.4,39209
515,13237,18.1,44323
516,13239,28.9,29921
517,13241,16.1,40834
518,13243,26.9,30505
519,13245,24.3,40821
520,13247,15.9,51510
521,13249,19.5,41737
522,13251,27,35911
523,13253,25.8,31615
524,13255,22.2,41250
525,13257,21.2,38503
526,13259,42,28977
527,13261,30.8,33802
528,13263,25.6,33510
