,County FIPS Code,"Poverty Percent, All Ages",Median Household Income
0,00000,13.4,60336
1,01000,16.9,48193
2,01001,13.4,58343
3,01003,10.1,56607
4,01005,33.4,32490
5,01007,20.2,45795
6,01009,12.8,48253
7,01011,34.4,29113
8,01013,21.3,36842
9,01015,17.7,45937
10,01017,18.2,36883
11,01019,17.2,44842
12,01021,16.8,46405
13,01023,23.7,36711
14,01025,23.3,36719
15,01027,18.1,39642
16,01029,16.1,45480
17,01031,15.5,51998
18,01033,15.4,46100
19,01035,23.7,30796
20,01037,17.4,42442
21,01039,17.7,39093
22,01041,19.9,38419
23,01043,13.8,45925
24,01045,17.7,42572
25,01047,27.9,31329
26,01049,19.5,39906
27,01051,12,59652
28,01053,23.3,37870
29,01055,18.1,41791
30,01057,19.4,39394
31,01059,20.5,41025
32,01061,21.7,38561
33,01063,33.2,28108
34,01065,25.1,34905
35,01067,17,48094
36,01069,16.6,44753
37,01071,16.6,42658
38,01073,16.7,50731
39,01075,18.7,39796
40,01077,13.7,46646
41,01079,16.8,42912
42,01081,17.8,51372
43,01083,11.9,57342
44,01085,25.9,33130
45,01087,30.6,30849
46,01089,12.8,62750
47,01091,22.8,37469
48,01093,19.3,38049
49,01095,20.1,42751
50,01097,19.7,45615
51,01099,23.8,36432
52,01101,21.3,45833
53,01103,14.8,49274
54,01105,37.2,26703
55,01107,22.3,38379
56,01109,27.7,40680
57,01111,17,41112
58,01113,23.2,36186
59,01115,13.5,52755
60,01117,7.4,74098
61,01119,35.9,26495
62,01121,18.3,41733
63,01123,18.3,44469
64,01125,15.9,51644
65,01127,17.4,41925
66,01129,20.2,44249
67,01131,32,25700
68,01133,21.3,38562
69,02000,11,74058
70,02013,14.6,69375
71,02016,8.1,80290
72,02020,9.6,78579
73,02050,28.7,45582
74,02060,10.9,70094
75,02068,8,73220
76,02070,20.8,52641
77,02090,7.4,74241
78,02100,11.4,53413
79,02105,17.6,50573
80,02110,8.3,90436
81,02122,10.2,63559
82,02130,9.9,71298
83,02150,7.5,71118
84,02158,37.5,31250
85,02164,15.7,47644
86,02170,11.3,72296
87,02180,23.2,53877
88,02185,12.2,82736
89,02188,26,53060
90,02195,7.4,59176
91,02198,18.5,46488
92,02220,8.1,69501
93,02230,4.3,66991
94,02240,12.8,59382
95,02261,9.2,86196
96,02275,12.4,55696
97,02282,15.3,59955
98,02290,23.2,37907
99,04000,14.9,56508
100,04001,33.1,33053
101,04003,16.1,48966
102,04005,18.4,54399
103,04007,24.1,38897
104,04009,20.9,46378
105,04011,10.1,63557
106,04012,20.9,36389
107,04013,13.5,62221
108,04015,17.3,42210
109,04017,26.4,40883
110,04019,16.6,51392
111,04021,13,53114
112,04023,23.6,39265
113,04025,13.9,49860
114,04027,19,46013
115,05000,16.3,45916
116,05001,19.9,43752
117,05003,19.8,40495
118,05005,13.9,43011
119,05007,9.1,64728
120,05009,14.9,41770
121,05011,20.9,35950
122,05013,15.2,42484
123,05015,16.4,38297
124,05017,30.1,31810
125,05019,21.4,40536
126,05021,18.1,35164
127,05023,15.6,43170
128,05025,14.3,47812
129,05027,25.5,38488
130,05029,17.2,43519
131,05031,14.9,49355
132,05033,17.5,44850
133,05035,21.1,39272
134,05037,18.4,41661
135,05039,21,33739
136,05041,29,33228
137,05043,20.3,41339
138,05045,13.4,51535
139,05047,18,41140
140,05049,20.6,35723
141,05051,15.9,44662
142,05053,12.2,54819
143,05055,14.8,46029
144,05057,24.2,39505
145,05059,16.8,42329
146,05061,19.1,36744
147,05063,15.9,42332
148,05065,19.3,37958
149,05067,22.2,36235
150,05069,23.5,38677
151,05071,18.4,39798
152,05073,24.1,33378
153,05075,16.9,40777
154,05077,37.3,28875
155,05079,23.4,43821
156,05081,17,42063
157,05083,20.5,37676
158,05085,11.1,54378
159,05087,17,40568
160,05089,18.3,39539
161,05091,18.8,44325
162,05093,24.3,39678
163,05095,27.3,32427
164,05097,21.1,35500
165,05099,19.5,46687
166,05101,19.8,34036
167,05103,19.9,39576
168,05105,15.1,44118
169,05107,39.8,27663
170,05109,18.5,37493
171,05111,21,39778
172,05113,23.3,35678
173,05115,16.7,45803
174,05117,16.1,43139
175,05119,15,52361
176,05121,19.4,35989
177,05123,33.7,31561
178,05125,7.9,61384
179,05127,20.6,33354
180,05129,21.6,30640
181,05131,18.6,44058
182,05133,19.5,41649
183,05135,23.9,34266
184,05137,21.2,32778
185,05139,17.5,43827
186,05141,19.8,36244
187,05143,13.8,50400
188,05145,15.2,44088
189,05147,26.8,32271
190,05149,18.8,40325
191,06000,13.3,71785
192,06001,9.3,95550
193,06003,18.1,55755
194,06005,10.9,60588
195,06007,18.1,48634
196,06009,13.1,58536
197,06011,12.2,53595
198,06013,9.1,95062
199,06015,24.6,39996
200,06017,8.3,78464
201,06019,21.1,51452
202,06021,14.8,49979
203,06023,19.7,46123
204,06025,20.7,43413
205,06027,11.8,53528
206,06029,21.2,49904
207,06031,18.4,55076
208,06033,20.2,45797
209,06035,16.3,58776
210,06037,14.9,64912
211,06039,21.2,50783
212,06041,7.9,112735
213,06043,15.2,52387
214,06045,16.3,50453
215,06047,23,48036
216,06049,19.2,40970
217,06051,9.3,60318
218,06053,11.9,70294
219,06055,6.8,83881
220,06057,11,64901
221,06059,11.5,86031
222,06061,7.8,81366
223,06063,14.3,51756
224,06065,12.9,63776
225,06067,14.1,62959
226,06069,8.4,77200
227,06071,16,60270
228,06073,11.9,76048
229,06075,10.1,109601
230,06077,15.5,60950
231,06079,11.9,70634
232,06081,6.4,115908
233,06083,14.2,70651
234,06085,7.5,118468
235,06087,12.6,76633
236,06089,17,51207
