FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,55246,Suppressed

"01003",Suppressed,195540,Suppressed

"01005",Suppressed,27076,Suppressed

"01007",Suppressed,22512,Suppressed

"01009",Suppressed,57872,Suppressed

"01011",Suppressed,10639,Suppressed

"01013",Suppressed,20265,Suppressed

"01015",Suppressed,116736,Suppressed

"01017",Suppressed,34162,Suppressed

"01019",Suppressed,26203,Suppressed

"01021",Suppressed,43951,Suppressed

"01023",Suppressed,13426,Suppressed

"01025",Suppressed,25207,Suppressed

"01027",Suppressed,13486,Suppressed

"01029",Suppressed,14994,Suppressed

"01031",Suppressed,50938,Suppressed

"01033",Suppressed,54520,Suppressed

"01035",Suppressed,12887,Suppressed

"01037",Suppressed,10898,Suppressed

"01039",Suppressed,37886,Suppressed

"01041",Suppressed,13986,Suppressed

"01043",Suppressed,80811,Suppressed

"01045",Suppressed,49884,Suppressed

"01047",Suppressed,41996,Suppressed

"01049",Suppressed,71013,Suppressed

"01051",Suppressed,80902,Suppressed

"01053",Suppressed,37983,Suppressed

"01055",Suppressed,103931,Suppressed

"01057",Suppressed,16909,Suppressed

"01059",Suppressed,31532,Suppressed

"01061",Suppressed,26727,Suppressed

"01063",Suppressed,8744,Suppressed

"01065",Suppressed,15406,Suppressed

"01067",Suppressed,17296,Suppressed

"01069",Suppressed,103668,Suppressed

"01071",Suppressed,52951,Suppressed

"01073",56,659479,8.5

"01075",Suppressed,14236,Suppressed

"01077",Suppressed,92797,Suppressed

"01079",Suppressed,33587,Suppressed

"01081",Suppressed,150933,Suppressed

"01083",Suppressed,88845,Suppressed

"01085",Suppressed,10703,Suppressed

"01087",Suppressed,19688,Suppressed

"01089",Suppressed,346892,Suppressed

"01091",Suppressed,20155,Suppressed

"01093",Suppressed,30334,Suppressed

"01095",Suppressed,94760,Suppressed

"01097",20,414079,4.8

"01099",Suppressed,22236,Suppressed

"01101",Suppressed,226659,Suppressed

"01103",Suppressed,119787,Suppressed

"01105",Suppressed,10020,Suppressed

"01107",Suppressed,19401,Suppressed

"01109",Suppressed,33339,Suppressed

"01111",Suppressed,22727,Suppressed

"01113",Suppressed,59585,Suppressed

"01115",Suppressed,86308,Suppressed

"01117",Suppressed,204180,Suppressed

"01119",Suppressed,13361,Suppressed

"01121",Suppressed,81096,Suppressed

"01123",Suppressed,41203,Suppressed

"01125",Suppressed,200821,Suppressed

"01127",Suppressed,65998,Suppressed

"01129",Suppressed,16877,Suppressed

"01131",Suppressed,11307,Suppressed

"01133",Suppressed,24146,Suppressed

"02013",Suppressed,3092,Suppressed

"02016",Suppressed,5511,Suppressed

"02020",34,300950,11.3

"02050",Suppressed,17758,Suppressed

"02060",Suppressed,960,Suppressed

"02068",Suppressed,1867,Suppressed

"02070",Suppressed,5010,Suppressed

"02090",Suppressed,100436,Suppressed

"02100",Suppressed,2592,Suppressed

"02105",Missing,Missing,Missing

"02110",Suppressed,32660,Suppressed

"02122",Suppressed,57147,Suppressed

"02130",Suppressed,13729,Suppressed

"02150",Suppressed,14135,Suppressed

"02164",Suppressed,1648,Suppressed

"02170",Suppressed,95192,Suppressed

"02180",Suppressed,9892,Suppressed

"02185",Suppressed,9686,Suppressed

"02188",Suppressed,7685,Suppressed

"02195",Missing,Missing,Missing

"02198",Missing,Missing,Missing

"02201",Suppressed,5786,Suppressed

"02220",Suppressed,9020,Suppressed

"02230",Missing,Missing,Missing

"02232",Suppressed,3140,Suppressed

"02240",Suppressed,6985,Suppressed

"02261",Suppressed,9763,Suppressed

"02270",Suppressed,7977,Suppressed

"02275",Missing,Missing,Missing

"02280",Suppressed,6174,Suppressed

"02282",Suppressed,642,Suppressed

"02290",Suppressed,5695,Suppressed

"04001",Suppressed,71934,Suppressed

"04003",10,129473,Unreliable

"04005",Suppressed,136539,Suppressed

"04007",Suppressed,53053,Suppressed

"04009",Suppressed,37482,Suppressed

"04011",Suppressed,9049,Suppressed

"04012",Suppressed,20324,Suppressed

"04013",205,4009412,5.1

"04015",46,203030,22.7

"04017",Suppressed,107322,Suppressed

"04019",151,996554,15.2

"04021",27,389350,6.9

"04023",Suppressed,46768,Suppressed

"04025",10,215133,Unreliable

"04027",Suppressed,201201,Suppressed

"05001",Suppressed,18777,Suppressed

"05003",Suppressed,21283,Suppressed

"05005",Suppressed,40957,Suppressed

"05007",Suppressed,237297,Suppressed

"05009",Suppressed,37396,Suppressed

"05011",Suppressed,11249,Suppressed

"05013",Suppressed,5241,Suppressed

"05015",Suppressed,27808,Suppressed

"05017",Suppressed,11335,Suppressed

"05019",Suppressed,22743,Suppressed

"05021",Suppressed,15402,Suppressed

"05023",Suppressed,25686,Suppressed

"05025",Suppressed,8593,Suppressed

"05027",Suppressed,24164,Suppressed

"05029",Suppressed,21245,Suppressed

"05031",Suppressed,101488,Suppressed

"05033",Suppressed,61640,Suppressed

"05035",Suppressed,49746,Suppressed

"05037",Suppressed,17548,Suppressed

"05039",Suppressed,7933,Suppressed

"05041",Suppressed,12505,Suppressed

"05043",Suppressed,18785,Suppressed

"05045",Suppressed,119580,Suppressed

"05047",Suppressed,18034,Suppressed

"05049",Suppressed,12304,Suppressed

"05051",Suppressed,97173,Suppressed

"05053",Suppressed,18019,Suppressed

"05055",Suppressed,43097,Suppressed

"05057",Suppressed,22474,Suppressed

"05059",Suppressed,33500,Suppressed

"05061",Suppressed,13581,Suppressed

"05063",Suppressed,36997,Suppressed

"05065",Suppressed,13368,Suppressed

"05067",Suppressed,17615,Suppressed

"05069",Suppressed,73191,Suppressed

"05071",Suppressed,25846,Suppressed

"05073",Suppressed,7252,Suppressed

"05075",Suppressed,17011,Suppressed

"05077",Suppressed,10015,Suppressed

"05079",Suppressed,14031,Suppressed

"05081",Suppressed,12730,Suppressed

"05083",Suppressed,22082,Suppressed

"05085",Suppressed,70753,Suppressed

"05087",Suppressed,15701,Suppressed

"05089",Suppressed,16430,Suppressed

"05091",Suppressed,43402,Suppressed

"05093",Suppressed,44765,Suppressed

"05095",Suppressed,7682,Suppressed

"05097",Suppressed,9226,Suppressed

"05099",Suppressed,8799,Suppressed

"05101",Suppressed,8064,Suppressed

