FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,55416,Suppressed

"01003",18,208563,Unreliable

"01005",Suppressed,25965,Suppressed

"01007",Suppressed,22643,Suppressed

"01009",Suppressed,57704,Suppressed

"01011",Suppressed,10362,Suppressed

"01013",Suppressed,19998,Suppressed

"01015",Suppressed,114611,Suppressed

"01017",Suppressed,33843,Suppressed

"01019",Suppressed,25725,Suppressed

"01021",Suppressed,43941,Suppressed

"01023",Suppressed,12993,Suppressed

"01025",Suppressed,24392,Suppressed

"01027",Suppressed,13492,Suppressed

"01029",Suppressed,14924,Suppressed

"01031",Suppressed,51226,Suppressed

"01033",Suppressed,54216,Suppressed

"01035",Suppressed,12395,Suppressed

"01037",Suppressed,10581,Suppressed

"01039",Suppressed,37458,Suppressed

"01041",Suppressed,13913,Suppressed

"01043",13,82471,Unreliable

"01045",Suppressed,49226,Suppressed

"01047",Suppressed,40008,Suppressed

"01049",Suppressed,70900,Suppressed

"01051",Suppressed,81799,Suppressed

"01053",Suppressed,37728,Suppressed

"01055",Suppressed,102564,Suppressed

"01057",Suppressed,16546,Suppressed

"01059",Suppressed,31628,Suppressed

"01061",Suppressed,26614,Suppressed

"01063",Suppressed,8422,Suppressed

"01065",Suppressed,14952,Suppressed

"01067",Suppressed,17164,Suppressed

"01069",Suppressed,104056,Suppressed

"01071",Suppressed,52138,Suppressed

"01073",165,659521,25.0

"01075",Suppressed,13918,Suppressed

"01077",Suppressed,92318,Suppressed

"01079",Suppressed,33244,Suppressed

"01081",Suppressed,158991,Suppressed

"01083",Suppressed,92753,Suppressed

"01085",Suppressed,10358,Suppressed

"01087",Suppressed,18963,Suppressed

"01089",16,356967,Unreliable

"01091",Suppressed,19673,Suppressed

"01093",Suppressed,29998,Suppressed

"01095",Suppressed,95157,Suppressed

"01097",21,414836,5.1

"01099",Suppressed,21530,Suppressed

"01101",Suppressed,226349,Suppressed

"01103",Suppressed,119012,Suppressed

"01105",Suppressed,9574,Suppressed

"01107",Suppressed,20324,Suppressed

"01109",Suppressed,33286,Suppressed

"01111",Suppressed,22652,Suppressed

"01113",Suppressed,58172,Suppressed

"01115",10,88019,Unreliable

