FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,55514,Suppressed

"01003",Suppressed,190790,Suppressed

"01005",Suppressed,27201,Suppressed

"01007",Suppressed,22597,Suppressed

"01009",11,57826,Unreliable

"01011",Suppressed,10474,Suppressed

"01013",Suppressed,20307,Suppressed

"01015",Suppressed,117296,Suppressed

"01017",Suppressed,34064,Suppressed

"01019",Suppressed,26021,Suppressed

"01021",Suppressed,43819,Suppressed

"01023",Suppressed,13633,Suppressed

"01025",Suppressed,25161,Suppressed

"01027",Suppressed,13435,Suppressed

"01029",Suppressed,14832,Suppressed

"01031",Suppressed,51252,Suppressed

"01033",Suppressed,54446,Suppressed

"01035",Suppressed,12981,Suppressed

"01037",Suppressed,10966,Suppressed

"01039",Suppressed,37955,Suppressed

"01041",Suppressed,14083,Suppressed

"01043",Suppressed,80440,Suppressed

"01045",Suppressed,50444,Suppressed

"01047",Suppressed,42864,Suppressed

"01049",Suppressed,71080,Suppressed

"01051",Suppressed,80629,Suppressed

"01053",Suppressed,37994,Suppressed

"01055",Suppressed,104392,Suppressed

"01057",Suppressed,16983,Suppressed

"01059",Suppressed,31761,Suppressed

"01061",Suppressed,26931,Suppressed

"01063",Suppressed,8876,Suppressed

"01065",Suppressed,15388,Suppressed

"01067",Suppressed,17287,Suppressed

"01069",Suppressed,103402,Suppressed

"01071",Suppressed,53019,Suppressed

"01073",48,660009,7.3

"01075",Suppressed,14259,Suppressed

"01077",Suppressed,92542,Suppressed

"01079",Suppressed,33838,Suppressed

"01081",Suppressed,147257,Suppressed

"01083",Suppressed,87654,Suppressed

"01085",Suppressed,10857,Suppressed

"01087",Suppressed,20535,Suppressed

"01089",Suppressed,343080,Suppressed

"01091",Suppressed,20401,Suppressed

"01093",Suppressed,30327,Suppressed

"01095",Suppressed,94776,Suppressed

"01097",15,413936,Unreliable

"01099",Suppressed,22602,Suppressed

"01101",Suppressed,230149,Suppressed

"01103",Suppressed,120395,Suppressed

"01105",Suppressed,10181,Suppressed

"01107",Suppressed,19405,Suppressed

"01109",Suppressed,33182,Suppressed

"01111",Suppressed,22675,Suppressed

"01113",Suppressed,57820,Suppressed

"01115",Suppressed,85237,Suppressed

"01117",15,200941,Unreliable

"01119",Suppressed,13427,Suppressed

"01121",Suppressed,81762,Suppressed

"01123",Suppressed,41168,Suppressed

"01125",Suppressed,198596,Suppressed

"01127",15,66221,Unreliable

"01129",Suppressed,17109,Suppressed

"01131",Suppressed,11431,Suppressed

"01133",Suppressed,24108,Suppressed

"02013",Suppressed,3161,Suppressed

"02016",Suppressed,5547,Suppressed

"02020",34,298610,11.4

"02050",Suppressed,17746,Suppressed

"02060",Suppressed,991,Suppressed

"02068",Suppressed,1875,Suppressed

"02070",Suppressed,5034,Suppressed

"02090",Suppressed,100272,Suppressed

"02100",Suppressed,2552,Suppressed

"02105",Missing,Missing,Missing

"02110",Suppressed,32556,Suppressed

"02122",Suppressed,56900,Suppressed

"02130",Suppressed,13779,Suppressed

"02150",Suppressed,14239,Suppressed

"02164",Suppressed,1654,Suppressed

"02170",18,93925,Unreliable

"02180",Suppressed,9915,Suppressed

"02185",Suppressed,9643,Suppressed

"02188",Suppressed,7810,Suppressed

"02195",Missing,Missing,Missing

"02198",Missing,Missing,Missing

"02201",Suppressed,5751,Suppressed

"02220",Suppressed,9046,Suppressed

"02230",Missing,Missing,Missing

"02232",Suppressed,3088,Suppressed

"02240",Suppressed,7144,Suppressed

"02261",Suppressed,9717,Suppressed

"02270",Suppressed,7809,Suppressed

"02275",Missing,Missing,Missing

"02280",Suppressed,6247,Suppressed

"02282",Suppressed,668,Suppressed

"02290",Suppressed,5770,Suppressed

"04001",Suppressed,73195,Suppressed

"04003",13,132088,Unreliable

"04005",Suppressed,136011,Suppressed

"04007",Suppressed,53144,Suppressed

"04009",Suppressed,37416,Suppressed

"04011",Suppressed,8802,Suppressed

"04012",Suppressed,20281,Suppressed

"04013",201,3942169,5.1

"04015",42,203334,20.7

"04017",Suppressed,107094,Suppressed

"04019",141,992394,14.2

"04021",31,387365,8.0

"04023",Suppressed,47303,Suppressed

"04025",23,212637,10.8

"04027",Suppressed,200022,Suppressed

"05001",Suppressed,18892,Suppressed

"05003",Suppressed,21524,Suppressed

"05005",Suppressed,41048,Suppressed

"05007",Suppressed,232268,Suppressed

"05009",Suppressed,37327,Suppressed

"05011",Suppressed,11397,Suppressed

"05013",Suppressed,5307,Suppressed

"05015",Suppressed,27610,Suppressed

"05017",Suppressed,11433,Suppressed

"05019",Suppressed,22936,Suppressed

"05021",Suppressed,15684,Suppressed

"05023",Suppressed,25808,Suppressed

"05025",Suppressed,8627,Suppressed

"05027",Suppressed,24473,Suppressed

"05029",Suppressed,21287,Suppressed

"05031",Suppressed,99735,Suppressed

"05033",Suppressed,61946,Suppressed

"05035",Suppressed,50021,Suppressed

"05037",Suppressed,17683,Suppressed

"05039",Suppressed,7987,Suppressed

"05041",Suppressed,12545,Suppressed

"05043",Suppressed,18743,Suppressed

"05045",Suppressed,118704,Suppressed

"05047",Suppressed,18045,Suppressed

"05049",Suppressed,12318,Suppressed

"05051",Suppressed,96903,Suppressed

"05053",Suppressed,17986,Suppressed

"05055",Suppressed,43163,Suppressed

"05057",Suppressed,22373,Suppressed

"05059",Suppressed,33394,Suppressed

"05061",Suppressed,13735,Suppressed

"05063",Suppressed,37025,Suppressed

"05065",Suppressed,13474,Suppressed

"05067",Suppressed,17600,Suppressed

"05069",Suppressed,74723,Suppressed

"05071",Suppressed,25901,Suppressed

"05073",Suppressed,7447,Suppressed

"05075",Suppressed,17012,Suppressed

"05077",Suppressed,10216,Suppressed

"05079",Suppressed,14101,Suppressed

"05081",Suppressed,12919,Suppressed

"05083",Suppressed,21983,Suppressed

"05085",Suppressed,69839,Suppressed

"05087",Suppressed,15645,Suppressed

"05089",Suppressed,16568,Suppressed

"05091",Suppressed,43634,Suppressed

