FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,54571,Suppressed

"01003",10,182265,Unreliable

"01005",Suppressed,27457,Suppressed

"01007",Suppressed,22915,Suppressed

"01009",Suppressed,57322,Suppressed

"01011",Suppressed,10914,Suppressed

"01013",Suppressed,20947,Suppressed

"01015",Suppressed,118572,Suppressed

"01017",Suppressed,34215,Suppressed

"01019",Suppressed,25989,Suppressed

"01021",Suppressed,43643,Suppressed

"01023",Suppressed,13859,Suppressed

"01025",Suppressed,25833,Suppressed

"01027",Suppressed,13932,Suppressed

"01029",Suppressed,14972,Suppressed

"01031",Suppressed,49948,Suppressed

"01033",Suppressed,54428,Suppressed

"01035",Suppressed,13228,Suppressed

"01037",Suppressed,11539,Suppressed

"01039",Suppressed,37765,Suppressed

"01041",Suppressed,13906,Suppressed

"01043",Suppressed,80406,Suppressed

"01045",Suppressed,50251,Suppressed

"01047",Suppressed,43820,Suppressed

"01049",Suppressed,71109,Suppressed

"01051",Suppressed,79303,Suppressed

"01053",Suppressed,38319,Suppressed

"01055",Suppressed,104430,Suppressed

"01057",Suppressed,17241,Suppressed

"01059",Suppressed,31704,Suppressed

"01061",Suppressed,26790,Suppressed

"01063",Suppressed,9045,Suppressed

"01065",Suppressed,15760,Suppressed

"01067",Suppressed,17302,Suppressed

"01069",Suppressed,101547,Suppressed

"01071",Suppressed,53227,Suppressed

"01073",41,658466,6.2

"01075",Suppressed,14564,Suppressed

"01077",Suppressed,92709,Suppressed

"01079",Suppressed,34339,Suppressed

"01081",Suppressed,140247,Suppressed

"01083",Suppressed,82782,Suppressed

"01085",Suppressed,11299,Suppressed

"01087",Suppressed,21452,Suppressed

"01089",Suppressed,334811,Suppressed

"01091",Suppressed,21027,Suppressed

"01093",Suppressed,30776,Suppressed

"01095",Suppressed,93019,Suppressed

"01097",14,412992,Unreliable

"01099",Suppressed,23068,Suppressed

"01101",Suppressed,229363,Suppressed

"01103",Suppressed,119490,Suppressed

"01105",Suppressed,10591,Suppressed

"01107",Suppressed,19746,Suppressed

