FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,55395,Suppressed

"01003",16,200111,Unreliable

"01005",Suppressed,26887,Suppressed

"01007",Suppressed,22506,Suppressed

"01009",Suppressed,57719,Suppressed

"01011",Suppressed,10764,Suppressed

"01013",Suppressed,20296,Suppressed

"01015",Suppressed,115916,Suppressed

"01017",Suppressed,34076,Suppressed

"01019",Suppressed,26037,Suppressed

"01021",Suppressed,43931,Suppressed

"01023",Suppressed,13323,Suppressed

"01025",Suppressed,24945,Suppressed

"01027",Suppressed,13552,Suppressed

"01029",Suppressed,15080,Suppressed

"01031",Suppressed,50909,Suppressed

"01033",Suppressed,54543,Suppressed

"01035",Suppressed,12670,Suppressed

"01037",Suppressed,10886,Suppressed

"01039",Suppressed,37914,Suppressed

"01041",Suppressed,13977,Suppressed

"01043",Suppressed,81289,Suppressed

"01045",Suppressed,49484,Suppressed

"01047",Suppressed,41711,Suppressed

"01049",Suppressed,71065,Suppressed

"01051",Suppressed,80977,Suppressed

"01053",Suppressed,37733,Suppressed

"01055",Suppressed,103531,Suppressed

"01057",Suppressed,16874,Suppressed

"01059",Suppressed,31601,Suppressed

"01061",Suppressed,26712,Suppressed

"01063",Suppressed,8553,Suppressed

"01065",Suppressed,15184,Suppressed

"01067",Suppressed,17190,Suppressed

"01069",Suppressed,104193,Suppressed

"01071",Suppressed,52665,Suppressed

"01073",147,660793,22.2

"01075",Suppressed,14086,Suppressed

"01077",Suppressed,93096,Suppressed

"01079",Suppressed,33477,Suppressed

"01081",Suppressed,154255,Suppressed

"01083",Suppressed,90787,Suppressed

"01085",Suppressed,10580,Suppressed

"01087",Suppressed,19425,Suppressed

"01089",Suppressed,350299,Suppressed

"01091",Suppressed,20110,Suppressed

"01093",Suppressed,30271,Suppressed

"01095",Suppressed,94636,Suppressed

"01097",18,415123,Unreliable

"01099",Suppressed,21947,Suppressed

"01101",Suppressed,226189,Suppressed

"01103",Suppressed,119607,Suppressed

"01105",Suppressed,9826,Suppressed

"01107",Suppressed,20365,Suppressed

"01109",Suppressed,33389,Suppressed

"01111",Suppressed,22539,Suppressed

"01113",Suppressed,59608,Suppressed

"01115",Suppressed,86697,Suppressed

"01117",14,206655,Unreliable

"01119",Suppressed,13166,Suppressed

"01121",Suppressed,81322,Suppressed

"01123",Suppressed,41165,Suppressed

"01125",Suppressed,202212,Suppressed

"01127",Suppressed,65471,Suppressed

"01129",Suppressed,16834,Suppressed

"01131",Suppressed,11098,Suppressed

"01133",Suppressed,24150,Suppressed

"02013",Suppressed,3360,Suppressed

"02016",Suppressed,5750,Suppressed

"02020",31,301010,10.3

"02050",Suppressed,17868,Suppressed

"02060",Suppressed,957,Suppressed

"02068",Suppressed,1921,Suppressed

"02070",Suppressed,4988,Suppressed

"02090",Suppressed,99357,Suppressed

"02100",Suppressed,2566,Suppressed

"02105",Suppressed,2082,Suppressed

"02110",Suppressed,32406,Suppressed

"02122",Suppressed,57477,Suppressed

"02130",Suppressed,13787,Suppressed

"02150",Suppressed,13986,Suppressed

"02164",Suppressed,1631,Suppressed

"02170",11,97882,Unreliable

"02180",Suppressed,9817,Suppressed

"02185",Suppressed,9703,Suppressed

"02188",Suppressed,7717,Suppressed

"02195",Suppressed,3160,Suppressed

"02198",Suppressed,6396,Suppressed

"02201",Missing,Missing,Missing

"02220",Suppressed,8900,Suppressed

"02230",Suppressed,1036,Suppressed

"02232",Missing,Missing,Missing

"02240",Suppressed,6931,Suppressed

"02261",Suppressed,9488,Suppressed

"02270",Suppressed,8010,Suppressed

"02275",Suppressed,2364,Suppressed

"02280",Missing,Missing,Missing

"02282",Suppressed,635,Suppressed

"02290",Suppressed,5547,Suppressed

"04001",Suppressed,71828,Suppressed

"04003",16,127448,Unreliable

"04005",Suppressed,137682,Suppressed

"04007",Suppressed,53119,Suppressed

"04009",Suppressed,37957,Suppressed

"04011",Suppressed,9346,Suppressed

"04012",Suppressed,20231,Suppressed

"04013",282,4087191,6.9

"04015",44,203361,21.6

"04017",Suppressed,108101,Suppressed

"04019",159,1004516,15.8

"04021",22,401918,5.5

"04023",Suppressed,46695,Suppressed

"04025",Suppressed,218844,Suppressed

"04027",Suppressed,203247,Suppressed

"05001",Suppressed,18594,Suppressed

"05003",Suppressed,20948,Suppressed

"05005",Suppressed,40857,Suppressed

"05007",16,242321,Unreliable

"05009",Suppressed,37196,Suppressed

"05011",Suppressed,11148,Suppressed

"05013",Suppressed,5202,Suppressed

"05015",Suppressed,27744,Suppressed

"05017",Suppressed,11180,Suppressed

"05019",Suppressed,22576,Suppressed

"05021",Suppressed,15118,Suppressed

"05023",Suppressed,25634,Suppressed

"05025",Suppressed,8449,Suppressed

"05027",Suppressed,23933,Suppressed

"05029",Suppressed,21083,Suppressed

"05031",Suppressed,102518,Suppressed

"05033",Suppressed,61697,Suppressed

"05035",Suppressed,49548,Suppressed

"05037",Suppressed,17227,Suppressed

"05039",Suppressed,7755,Suppressed

"05041",Suppressed,12264,Suppressed

"05043",Suppressed,18622,Suppressed

"05045",Suppressed,120768,Suppressed

"05047",Suppressed,17805,Suppressed

"05049",Suppressed,12125,Suppressed

"05051",Suppressed,97322,Suppressed

"05053",Suppressed,18144,Suppressed

"05055",Suppressed,43694,Suppressed

"05057",Suppressed,22327,Suppressed

"05059",Suppressed,33368,Suppressed

"05061",Suppressed,13500,Suppressed

"05063",Suppressed,36959,Suppressed

"05065",Suppressed,13486,Suppressed

"05067",Suppressed,17534,Suppressed

"05069",Suppressed,72297,Suppressed

"05071",Suppressed,26005,Suppressed

"05073",Suppressed,7111,Suppressed

"05075",Suppressed,16931,Suppressed

"05077",Suppressed,9860,Suppressed

"05079",Suppressed,13970,Suppressed

"05081",Suppressed,12532,Suppressed

"05083",Suppressed,21958,Suppressed

"05085",Suppressed,71557,Suppressed

"05087",Suppressed,15740,Suppressed

"05089",Suppressed,16367,Suppressed

"05091",Suppressed,43428,Suppressed

"05093",Suppressed,44235,Suppressed

"05095",Suppressed,7582,Suppressed

"05097",Suppressed,9082,Suppressed

"05099",Suppressed,8723,Suppressed

"05101",Suppressed,7904,Suppressed

"05103",Suppressed,24828,Suppressed

"05105",Suppressed,10245,Suppressed

"05107",Suppressed,19930,Suppressed

"05109",Suppressed,11024,Suppressed

"05111",Suppressed,24246,Suppressed

"05113",Suppressed,20225,Suppressed

"05115",Suppressed,63201,Suppressed

"05117",Suppressed,8304,Suppressed

"05119",20,392702,5.1

"05121",Suppressed,17571,Suppressed

"05123",Suppressed,26899,Suppressed

"05125",Suppressed,115719,Suppressed

"05127",Suppressed,10693,Suppressed

"05129",Suppressed,7929,Suppressed

"05131",Suppressed,126776,Suppressed

"05133",Suppressed,17426,Suppressed

"05135",Suppressed,16906,Suppressed

"05137",Suppressed,12494,Suppressed

"05139",Suppressed,40227,Suppressed

"05141",Suppressed,16851,Suppressed

"05143",Suppressed,220792,Suppressed

"05145",Suppressed,78592,Suppressed

"05147",Suppressed,6910,Suppressed

"05149",Suppressed,21951,Suppressed

"06001",52,1610921,3.2

"06003",Suppressed,1116,Suppressed

"06005",Suppressed,36742,Suppressed

"06007",14,224241,Unreliable

"06009",Suppressed,44624,Suppressed

"06011",Suppressed,21419,Suppressed

"06013",52,1111339,4.7

"06015",Suppressed,27212,Suppressed

"06017",Suppressed,183087,Suppressed

"06019",70,965974,7.2

"06021",Suppressed,27955,Suppressed

"06023",29,134809,21.5

"06025",12,179091,Unreliable

"06027",Suppressed,18410,Suppressed

"06029",72,874589,8.2

"06031",12,150269,Unreliable

"06033",16,64184,Unreliable

"06035",Suppressed,31749,Suppressed

"06037",291,10116705,2.9

"06039",10,154548,Unreliable

"06041",Suppressed,260750,Suppressed

"06043",Suppressed,17682,Suppressed

"06045",15,87869,Unreliable

"06047",12,266353,Unreliable

"06049",Suppressed,9023,Suppressed

"06051",Suppressed,13997,Suppressed

"06053",12,431344,Unreliable

"06055",Suppressed,141667,Suppressed

"06057",Suppressed,98893,Suppressed

"06059",245,3145515,7.8

"06061",Suppressed,371694,Suppressed

"06063",Suppressed,18606,Suppressed

"06065",145,2329271,6.2

"06067",55,1482026,3.7

"06069",Suppressed,58267,Suppressed

"06071",56,2112619,2.7

"06073",239,3263431,7.3

"06075",87,852469,10.2

"06077",69,715597,9.6

"06079",18,279083,Unreliable

"06081",20,758581,2.6

"06083",22,440668,5.0

"06085",52,1894605,2.7

"06087",46,271804,16.9

"06089",20,179804,11.1

"06091",Suppressed,3003,Suppressed

"06093",Suppressed,43628,Suppressed

"06095",28,431131,6.5

"06097",31,500292,6.2

"06099",16,531997,Unreliable

"06101",Suppressed,95847,Suppressed

"06103",Suppressed,63067,Suppressed

"06105",Suppressed,13170,Suppressed

"06107",17,458198,Unreliable

"06109",Suppressed,53831,Suppressed

"06111",64,846178,7.6

"06113",11,207590,Unreliable

"06115",Suppressed,73966,Suppressed

"08001",63,480718,13.1

"08003",Suppressed,16177,Suppressed

"08005",59,618821,9.5

"08007",Suppressed,12244,Suppressed

"08009",Suppressed,3645,Suppressed

"08011",Suppressed,5630,Suppressed

"08013",18,313333,Unreliable

"08014",Suppressed,62138,Suppressed

"08015",Suppressed,18363,Suppressed

"08017",Suppressed,1871,Suppressed

"08019",Suppressed,9187,Suppressed

"08021",Suppressed,8265,Suppressed

"08023",Suppressed,3568,Suppressed

"08025",Suppressed,5360,Suppressed

"08027",Suppressed,4361,Suppressed

"08029",Suppressed,29870,Suppressed

"08031",96,663862,14.5

"08033",Suppressed,1978,Suppressed

"08035",17,314638,Unreliable

"08037",Suppressed,52921,Suppressed

"08039",Suppressed,24195,Suppressed

"08041",68,663519,10.2

"08043",Suppressed,46502,Suppressed

"08045",Suppressed,57461,Suppressed

"08047",Suppressed,5851,Suppressed

"08049",Suppressed,14546,Suppressed

"08051",Suppressed,15725,Suppressed

"08053",Suppressed,786,Suppressed

"08055",Suppressed,6462,Suppressed

"08057",Suppressed,1396,Suppressed

"08059",52,558503,9.3

"08061",Suppressed,1402,Suppressed

"08063",Suppressed,8072,Suppressed

"08065",Suppressed,7357,Suppressed

"08067",Suppressed,53989,Suppressed

"08069",31,324122,9.6

"08071",Suppressed,14052,Suppressed

"08073",Suppressed,5510,Suppressed

"08075",Suppressed,22524,Suppressed

"08077",Suppressed,148255,Suppressed

"08079",Suppressed,698,Suppressed

"08081",Suppressed,12928,Suppressed

"08083",Suppressed,25772,Suppressed

"08085",Suppressed,40873,Suppressed

"08087",Suppressed,28328,Suppressed

"08089",Suppressed,18488,Suppressed

"08091",Suppressed,4629,Suppressed

"08093",Suppressed,16345,Suppressed

"08095",Suppressed,4363,Suppressed

"08097",Suppressed,17626,Suppressed

"08099",Suppressed,12034,Suppressed

"08101",29,161875,17.9

"08103",Suppressed,6707,Suppressed

"08105",Suppressed,11607,Suppressed

"08107",Suppressed,23865,Suppressed

"08109",Suppressed,6196,Suppressed

"08111",Suppressed,720,Suppressed

"08113",Suppressed,7840,Suppressed

"08115",Suppressed,2348,Suppressed

"08117",Suppressed,29404,Suppressed

"08119",Suppressed,23389,Suppressed

"08121",Suppressed,4780,Suppressed

"08123",17,277670,Unreliable

"08125",Suppressed,10202,Suppressed

"09001",85,945438,9.0

"09003",135,897985,15.0

"09005",43,184993,23.2

"09007",33,164943,20.0

"09009",126,861277,14.6

"09011",46,273676,16.8

"09013",25,151367,16.5

"09015",27,116998,23.1

"10001",31,171987,18.0

"10003",59,552778,10.7

"10005",26,210849,12.3

"11001",57,658893,8.7

"12001",12,256380,Unreliable

"12003",Suppressed,27093,Suppressed

"12005",22,178985,12.3

"12007",Suppressed,26702,Suppressed

"12009",29,556885,5.2

"12011",102,1869235,5.5

"12013",Suppressed,14532,Suppressed

"12015",Suppressed,168474,Suppressed

"12017",12,139377,Unreliable

"12019",16,199798,Unreliable

"12021",36,348777,10.3

"12023",Suppressed,67857,Suppressed

"12027",Suppressed,35012,Suppressed

"12029",Suppressed,15907,Suppressed

"12031",83,897698,9.2

"12033",27,310659,8.7

"12035",Suppressed,102408,Suppressed

"12037",Suppressed,11815,Suppressed

"12039",Suppressed,46281,Suppressed

"12041",Suppressed,16997,Suppressed

"12043",Suppressed,13635,Suppressed

"12045",Suppressed,15944,Suppressed

"12047",Suppressed,14048,Suppressed

"12049",Suppressed,27469,Suppressed

"12051",Suppressed,38505,Suppressed

"12053",Suppressed,175855,Suppressed

"12055",Suppressed,98236,Suppressed

"12057",120,1316298,9.1

"12059",Suppressed,19650,Suppressed

"12061",Suppressed,144755,Suppressed

"12063",Suppressed,48801,Suppressed

"12065",Suppressed,14050,Suppressed

"12067",Suppressed,8835,Suppressed

"12069",14,315690,Unreliable

"12071",65,679513,9.6

"12073",13,283988,Unreliable

"12075",Suppressed,39613,Suppressed

"12077",Suppressed,8360,Suppressed

"12079",Suppressed,18518,Suppressed

"12081",75,351746,21.3

"12083",19,339167,Unreliable

"12085",Suppressed,153392,Suppressed

"12086",84,2662874,3.2

"12087",Suppressed,77136,Suppressed

"12089",Suppressed,76619,Suppressed

"12091",18,196512,Unreliable

"12093",Suppressed,39149,Suppressed

"12095",139,1253001,11.1

"12097",32,310211,10.3

"12099",67,1397710,4.8

"12101",45,485331,9.3

"12103",70,938098,7.5

"12105",23,634638,3.6

"12107",Suppressed,72143,Suppressed

"12109",17,217919,Unreliable

"12111",11,291028,Unreliable

"12113",11,163422,Unreliable

"12115",36,396962,9.1

"12117",44,442516,9.9

"12119",Suppressed,114350,Suppressed

"12121",Suppressed,44022,Suppressed

"12123",Suppressed,22582,Suppressed

"12125",Suppressed,15190,Suppressed

"12127",55,507531,10.8

"12129",Suppressed,31432,Suppressed

"12131",Suppressed,61530,Suppressed

"12133",Suppressed,24451,Suppressed

"13001",Suppressed,18540,Suppressed

"13003",Suppressed,8223,Suppressed

"13005",Suppressed,11281,Suppressed

"13007",Suppressed,3255,Suppressed

"13009",Suppressed,45909,Suppressed

"13011",Suppressed,18295,Suppressed

"13013",Suppressed,73240,Suppressed

"13015",10,101736,Unreliable

"13017",Suppressed,17464,Suppressed

"13019",Suppressed,18700,Suppressed

"13021",10,153905,Unreliable

"13023",Suppressed,12795,Suppressed

"13025",Suppressed,18417,Suppressed

"13027",Suppressed,15418,Suppressed

"13029",Suppressed,33906,Suppressed

"13031",Suppressed,72087,Suppressed

"13033",Suppressed,22709,Suppressed

"13035",Suppressed,23368,Suppressed

"13037",Suppressed,6463,Suppressed

"13039",Suppressed,52027,Suppressed

"13043",Suppressed,10888,Suppressed

"13045",16,114093,Unreliable

"13047",Suppressed,65621,Suppressed

"13049",Suppressed,12897,Suppressed

"13051",17,283379,Unreliable

"13053",Suppressed,11837,Suppressed

"13055",Suppressed,24939,Suppressed

"13057",22,230985,9.5

"13059",Suppressed,120938,Suppressed

"13061",Suppressed,3102,Suppressed

"13063",15,267542,Unreliable

"13065",Suppressed,6831,Suppressed

"13067",46,730981,6.3

"13069",Suppressed,42811,Suppressed

"13071",Suppressed,46102,Suppressed

"13073",11,139257,Unreliable

"13075",Suppressed,17214,Suppressed

"13077",Suppressed,135571,Suppressed

"13079",Suppressed,12387,Suppressed

"13081",Suppressed,22934,Suppressed

"13083",Suppressed,16389,Suppressed

"13085",Suppressed,22957,Suppressed

"13087",Suppressed,27220,Suppressed

"13089",27,722161,3.7

"13091",Suppressed,20976,Suppressed

"13093",Suppressed,14188,Suppressed

"13095",Suppressed,92407,Suppressed

"13097",17,138776,Unreliable

"13099",Suppressed,10491,Suppressed

"13101",Suppressed,4003,Suppressed

