FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,55267,Suppressed

"01003",11,186717,Unreliable

"01005",Suppressed,27119,Suppressed

"01007",Suppressed,22766,Suppressed

"01009",Suppressed,57677,Suppressed

"01011",Suppressed,10542,Suppressed

"01013",Suppressed,20650,Suppressed

"01015",Suppressed,117797,Suppressed

"01017",Suppressed,33939,Suppressed

"01019",Suppressed,26057,Suppressed

"01021",Suppressed,43895,Suppressed

"01023",Suppressed,13609,Suppressed

"01025",Suppressed,25695,Suppressed

"01027",Suppressed,13862,Suppressed

"01029",Suppressed,14835,Suppressed

"01031",Suppressed,50526,Suppressed

"01033",Suppressed,54512,Suppressed

"01035",Suppressed,13105,Suppressed

"01037",Suppressed,10713,Suppressed

"01039",Suppressed,38058,Suppressed

"01041",Suppressed,13911,Suppressed

"01043",Suppressed,80536,Suppressed

"01045",Suppressed,50044,Suppressed

"01047",Suppressed,43332,Suppressed

"01049",Suppressed,71375,Suppressed

"01051",Suppressed,80162,Suppressed

"01053",Suppressed,38095,Suppressed

"01055",Suppressed,104303,Suppressed

"01057",Suppressed,17182,Suppressed

"01059",Suppressed,31884,Suppressed

"01061",Suppressed,26781,Suppressed

"01063",Suppressed,8921,Suppressed

"01065",Suppressed,15421,Suppressed

"01067",Suppressed,17412,Suppressed

"01069",Suppressed,102369,Suppressed

"01071",Suppressed,53291,Suppressed

"01073",38,658931,5.8

"01075",Suppressed,14311,Suppressed

"01077",Suppressed,92781,Suppressed

"01079",Suppressed,34117,Suppressed

"01081",Suppressed,143468,Suppressed

"01083",Suppressed,85369,Suppressed

"01085",Suppressed,11147,Suppressed

"01087",Suppressed,21182,Suppressed

"01089",16,340111,Unreliable

"01091",Suppressed,20692,Suppressed

"01093",Suppressed,30663,Suppressed

"01095",Suppressed,94166,Suppressed

"01097",14,412577,Unreliable

"01099",Suppressed,22760,Suppressed

"01101",Suppressed,232032,Suppressed

"01103",Suppressed,119953,Suppressed

"01105",Suppressed,10373,Suppressed

"01107",Suppressed,19349,Suppressed

"01109",Suppressed,32915,Suppressed

"01111",Suppressed,22787,Suppressed

"01113",Suppressed,54572,Suppressed

"01115",Suppressed,84398,Suppressed

"01117",10,197936,Unreliable

"01119",Suppressed,13478,Suppressed

"01121",Suppressed,81664,Suppressed

"01123",Suppressed,41623,Suppressed

"01125",Suppressed,197211,Suppressed

"01127",20,66661,30.0

"01129",Suppressed,17344,Suppressed

"01131",Suppressed,11482,Suppressed

"01133",Suppressed,24327,Suppressed

"02013",Suppressed,3172,Suppressed

"02016",Suppressed,5504,Suppressed

"02020",31,295570,10.5

"02050",Suppressed,17416,Suppressed

"02060",Suppressed,1030,Suppressed

"02068",Suppressed,1855,Suppressed

"02070",Suppressed,4975,Suppressed

"02090",Suppressed,99192,Suppressed

"02100",Suppressed,2554,Suppressed

"02105",Missing,Missing,Missing

"02110",Suppressed,32164,Suppressed

"02122",Suppressed,56293,Suppressed

"02130",Suppressed,13593,Suppressed

"02150",Suppressed,13872,Suppressed

"02164",Suppressed,1668,Suppressed

"02170",14,91946,Unreliable

"02180",Suppressed,9856,Suppressed

"02185",Suppressed,9503,Suppressed

"02188",Suppressed,7733,Suppressed

"02195",Missing,Missing,Missing

"02198",Missing,Missing,Missing

"02201",Suppressed,5737,Suppressed

"02220",Suppressed,8952,Suppressed

"02230",Missing,Missing,Missing

"02232",Suppressed,3047,Suppressed

"02240",Suppressed,7132,Suppressed

"02261",Suppressed,9770,Suppressed

"02270",Suppressed,7662,Suppressed

"02275",Missing,Missing,Missing

"02280",Suppressed,6220,Suppressed

"02282",Suppressed,646,Suppressed

"02290",Suppressed,5656,Suppressed

"04001",Suppressed,72401,Suppressed

"04003",Suppressed,133289,Suppressed

"04005",11,134511,Unreliable

"04007",Suppressed,53144,Suppressed

"04009",Suppressed,37147,Suppressed

"04011",Suppressed,8606,Suppressed

"04012",Suppressed,20419,Suppressed

"04013",265,3880244,6.8

"04015",44,202351,21.7

"04017",Suppressed,107398,Suppressed

"04019",131,989569,13.2

"04021",25,382992,6.5

"04023",Suppressed,47676,Suppressed

"04025",30,211888,14.2

"04027",Suppressed,200870,Suppressed

