FIPS,Deaths,Population,Crude_Rate

"01001",Suppressed,54135,Suppressed

"01003",10,179406,Unreliable

"01005",Suppressed,27657,Suppressed

"01007",Suppressed,22941,Suppressed

"01009",Suppressed,57341,Suppressed

"01011",Suppressed,10987,Suppressed

"01013",Suppressed,20867,Suppressed

"01015",Suppressed,118363,Suppressed

"01017",Suppressed,34384,Suppressed

"01019",Suppressed,25854,Suppressed

"01021",Suppressed,43484,Suppressed

"01023",Suppressed,13976,Suppressed

"01025",Suppressed,26038,Suppressed

"01027",Suppressed,14006,Suppressed

"01029",Suppressed,14918,Suppressed

"01031",Suppressed,49440,Suppressed

"01033",Suppressed,54426,Suppressed

"01035",Suppressed,13274,Suppressed

"01037",Suppressed,11410,Suppressed

"01039",Suppressed,37648,Suppressed

"01041",Suppressed,14024,Suppressed

"01043",Suppressed,80351,Suppressed

"01045",Suppressed,49854,Suppressed

"01047",Suppressed,43759,Suppressed

"01049",Suppressed,70864,Suppressed

"01051",Suppressed,78632,Suppressed

"01053",Suppressed,38249,Suppressed

"01055",Suppressed,104239,Suppressed

"01057",Suppressed,17310,Suppressed

"01059",Suppressed,31589,Suppressed

"01061",Suppressed,26653,Suppressed

"01063",Suppressed,9182,Suppressed

"01065",Suppressed,16025,Suppressed

"01067",Suppressed,17243,Suppressed

"01069",Suppressed,100500,Suppressed

"01071",Suppressed,53461,Suppressed

"01073",60,658441,9.1

"01075",Suppressed,14689,Suppressed

"01077",Suppressed,92526,Suppressed

"01079",Suppressed,34315,Suppressed

"01081",Suppressed,138566,Suppressed

"01083",Suppressed,81326,Suppressed

"01085",Suppressed,11486,Suppressed

"01087",Suppressed,21190,Suppressed

"01089",Suppressed,330856,Suppressed

"01091",Suppressed,21170,Suppressed

"01093",Suppressed,30646,Suppressed

"01095",Suppressed,92213,Suppressed

"01097",22,411994,5.3

"01099",Suppressed,23218,Suppressed

"01101",Suppressed,227607,Suppressed

"01103",Suppressed,118954,Suppressed

"01105",Suppressed,10690,Suppressed

"01107",Suppressed,19814,Suppressed

"01109",Suppressed,32560,Suppressed

"01111",Suppressed,22864,Suppressed

"01113",Suppressed,52162,Suppressed

"01115",Suppressed,83009,Suppressed

"01117",15,192708,Unreliable

"01119",Suppressed,13746,Suppressed

"01121",Suppressed,82674,Suppressed

"01123",Suppressed,41831,Suppressed

"01125",Suppressed,192792,Suppressed

"01127",Suppressed,67347,Suppressed

"01129",Suppressed,17493,Suppressed

"01131",Suppressed,11870,Suppressed

"01133",Suppressed,24691,Suppressed

"02013",Suppressed,3084,Suppressed

"02016",Suppressed,5537,Suppressed

"02020",40,287677,13.9

"02050",Suppressed,16860,Suppressed

"02060",Suppressed,976,Suppressed

"02068",Suppressed,1817,Suppressed

"02070",Suppressed,4776,Suppressed

"02090",11,95238,Unreliable

"02100",Suppressed,2486,Suppressed

"02105",Missing,Missing,Missing

"02110",Suppressed,30857,Suppressed

"02122",11,54796,Unreliable

"02130",Suppressed,13294,Suppressed

"02150",Suppressed,13505,Suppressed

"02164",Suppressed,1612,Suppressed

"02170",16,86885,Unreliable

"02180",Suppressed,9313,Suppressed

"02185",Suppressed,9105,Suppressed

"02188",Suppressed,7467,Suppressed

"02195",Missing,Missing,Missing

"02198",Missing,Missing,Missing

"02201",Suppressed,5465,Suppressed

"02220",Suppressed,8844,Suppressed

"02230",Missing,Missing,Missing

"02232",Suppressed,3119,Suppressed

"02240",Suppressed,6955,Suppressed

"02261",Suppressed,9492,Suppressed

"02270",Suppressed,7469,Suppressed

"02275",Missing,Missing,Missing

"02280",Suppressed,6106,Suppressed

"02282",Suppressed,665,Suppressed

"02290",Suppressed,5495,Suppressed

"04001",Suppressed,71008,Suppressed

"04003",10,130081,Unreliable

"04005",Suppressed,133477,Suppressed

"04007",Suppressed,53561,Suppressed

"04009",Suppressed,37525,Suppressed

"04011",Suppressed,8635,Suppressed

"04012",Suppressed,20514,Suppressed

"04013",287,3803779,7.5

"04015",41,199696,20.5

"04017",Suppressed,107571,Suppressed

"04019",140,975580,14.4

"04021",25,349830,7.1

"04023",Suppressed,47011,Suppressed

"04025",24,211172,11.4

"04027",Suppressed,193714,Suppressed

"05001",Suppressed,19134,Suppressed

"05003",Suppressed,21920,Suppressed

"05005",Suppressed,41561,Suppressed

"05007",11,216620,Unreliable

"05009",Suppressed,36844,Suppressed

"05011",Suppressed,11538,Suppressed

"05013",Suppressed,5421,Suppressed

"05015",Suppressed,27158,Suppressed

"05017",Suppressed,11851,Suppressed

"05019",Suppressed,23100,Suppressed

"05021",Suppressed,16056,Suppressed

"05023",Suppressed,25870,Suppressed

"05025",Suppressed,8649,Suppressed

"05027",Suppressed,24622,Suppressed

"05029",Suppressed,21257,Suppressed

"05031",10,95482,Unreliable

"05033",12,61595,Unreliable

"05035",Suppressed,50929,Suppressed

"05037",Suppressed,17971,Suppressed
