FIPS,Deaths,Population,Crude_Rate
"05099",Suppressed,8558,Suppressed

"05101",Suppressed,7913,Suppressed

"05103",Suppressed,24358,Suppressed

"05105",Suppressed,10189,Suppressed

"05107",Suppressed,19513,Suppressed

"05109",Suppressed,10824,Suppressed

"05111",Suppressed,24040,Suppressed

"05113",Suppressed,20216,Suppressed

"05115",Suppressed,63390,Suppressed

"05117",Suppressed,8291,Suppressed

"05119",17,392664,Unreliable

"05121",Suppressed,17469,Suppressed

"05123",Suppressed,26589,Suppressed

"05125",Suppressed,117460,Suppressed

"05127",Suppressed,10513,Suppressed

"05129",Suppressed,7869,Suppressed

"05131",11,127780,Unreliable

"05133",Suppressed,17290,Suppressed

"05135",Suppressed,16912,Suppressed

"05137",Suppressed,12456,Suppressed

"05139",Suppressed,40144,Suppressed

"05141",Suppressed,16771,Suppressed

"05143",10,225477,Unreliable

"05145",Suppressed,79161,Suppressed

"05147",Suppressed,6741,Suppressed

"05149",Suppressed,21713,Suppressed

"06001",68,1638215,4.2

"06003",Suppressed,1110,Suppressed

"06005",Suppressed,37001,Suppressed

"06007",17,225411,Unreliable

"06009",Suppressed,44828,Suppressed

"06011",Suppressed,21482,Suppressed

"06013",50,1126745,4.4

"06015",Suppressed,27254,Suppressed

"06017",Suppressed,184452,Suppressed

"06019",64,974861,6.6

"06021",Suppressed,28017,Suppressed

"06023",27,135727,19.9

"06025",20,180191,11.1

"06027",Suppressed,18260,Suppressed

"06029",76,882176,8.6

"06031",Suppressed,150965,Suppressed

"06033",18,64591,Unreliable

"06035",Suppressed,31345,Suppressed

"06037",284,10170292,2.8

"06039",10,154998,Unreliable

"06041",Suppressed,261221,Suppressed

"06043",Suppressed,17531,Suppressed

"06045",12,87649,Unreliable

"06047",19,268455,Unreliable

"06049",Suppressed,8965,Suppressed

"06051",Suppressed,13909,Suppressed

"06053",13,433898,Unreliable

"06055",Suppressed,142456,Suppressed

"06057",Suppressed,98877,Suppressed

"06059",249,3169776,7.9

"06061",16,375391,Unreliable

"06063",Suppressed,18409,Suppressed

"06065",135,2361026,5.7

"06067",39,1501335,2.6

"06069",Suppressed,58792,Suppressed

