"County"	FIPS	Deaths	Population	Crude_Rate
	"Autauga County, AL"	"01001"	Suppressed	55514	Suppressed
	"Baldwin County, AL"	"01003"	Suppressed	190790	Suppressed
	"Barbour County, AL"	"01005"	Suppressed	27201	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22597	Suppressed
	"Blount County, AL"	"01009"	11	57826	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	10474	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20307	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	117296	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34064	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26021	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	43819	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	13633	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	25161	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13435	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14832	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	51252	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54446	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12981	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10966	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37955	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	14083	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	80440	Suppressed
	"Dale County, AL"	"01045"	Suppressed	50444	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	42864	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	71080	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	80629	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	37994	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	104392	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	16983	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31761	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26931	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8876	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15388	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17287	Suppressed
	"Houston County, AL"	"01069"	Suppressed	103402	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53019	Suppressed
	"Jefferson County, AL"	"01073"	48	660009	7.3
	"Lamar County, AL"	"01075"	Suppressed	14259	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	92542	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	33838	Suppressed
	"Lee County, AL"	"01081"	Suppressed	147257	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	87654	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10857	Suppressed
	"Macon County, AL"	"01087"	Suppressed	20535	Suppressed
	"Madison County, AL"	"01089"	Suppressed	343080	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	20401	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30327	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	94776	Suppressed
	"Mobile County, AL"	"01097"	15	413936	Unreliable
	"Monroe County, AL"	"01099"	Suppressed	22602	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	230149	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	120395	Suppressed
	"Perry County, AL"	"01105"	Suppressed	10181	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19405	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33182	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22675	Suppressed
	"Russell County, AL"	"01113"	Suppressed	57820	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	85237	Suppressed
	"Shelby County, AL"	"01117"	15	200941	Unreliable
	"Sumter County, AL"	"01119"	Suppressed	13427	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	81762	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41168	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	198596	Suppressed
	"Walker County, AL"	"01127"	15	66221	Unreliable
	"Washington County, AL"	"01129"	Suppressed	17109	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11431	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24108	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3161	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5547	Suppressed
	"Anchorage Borough, AK"	"02020"	34	298610	11.4
	"Bethel Census Area, AK"	"02050"	Suppressed	17746	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	991	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1875	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	5034	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	100272	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	2552	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	32556	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	56900	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13779	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	14239	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1654	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	18	93925	Unreliable
	"Nome Census Area, AK"	"02180"	Suppressed	9915	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9643	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7810	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5751	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	9046	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3088	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	7144	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9717	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	7809	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6247	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	668	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5770	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	73195	Suppressed
	"Cochise County, AZ"	"04003"	13	132088	Unreliable
	"Coconino County, AZ"	"04005"	Suppressed	136011	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	53144	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	37416	Suppressed
