"County"	FIPS	Deaths	Population	Crude_Rate
	"Autauga County, AL"	"01001"	Suppressed	54135	Suppressed
	"Baldwin County, AL"	"01003"	10	179406	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	27657	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22941	Suppressed
	"Blount County, AL"	"01009"	Suppressed	57341	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	10987	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20867	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	118363	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34384	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25854	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	43484	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	13976	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	26038	Suppressed
	"Clay County, AL"	"01027"	Suppressed	14006	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14918	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	49440	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54426	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13274	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11410	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37648	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	14024	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	80351	Suppressed
	"Dale County, AL"	"01045"	Suppressed	49854	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	43759	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	70864	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	78632	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	38249	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	104239	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	17310	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31589	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26653	Suppressed
	"Greene County, AL"	"01063"	Suppressed	9182	Suppressed
	"Hale County, AL"	"01065"	Suppressed	16025	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17243	Suppressed
	"Houston County, AL"	"01069"	Suppressed	100500	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	53461	Suppressed
	"Jefferson County, AL"	"01073"	60	658441	9.1
	"Lamar County, AL"	"01075"	Suppressed	14689	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	92526	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	34315	Suppressed
	"Lee County, AL"	"01081"	Suppressed	138566	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	81326	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	11486	Suppressed
	"Macon County, AL"	"01087"	Suppressed	21190	Suppressed
	"Madison County, AL"	"01089"	Suppressed	330856	Suppressed
	"Marengo County, AL"	"01091"	Suppressed	21170	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30646	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	92213	Suppressed
	"Mobile County, AL"	"01097"	22	411994	5.3
	"Monroe County, AL"	"01099"	Suppressed	23218	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	227607	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	118954	Suppressed
	"Perry County, AL"	"01105"	Suppressed	10690	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19814	Suppressed
	"Pike County, AL"	"01109"	Suppressed	32560	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22864	Suppressed
	"Russell County, AL"	"01113"	Suppressed	52162	Suppressed
	"St. Clair County, AL"	"01115"	Suppressed	83009	Suppressed
	"Shelby County, AL"	"01117"	15	192708	Unreliable
	"Sumter County, AL"	"01119"	Suppressed	13746	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	82674	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	41831	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	192792	Suppressed
	"Walker County, AL"	"01127"	Suppressed	67347	Suppressed
	"Washington County, AL"	"01129"	Suppressed	17493	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11870	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24691	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3084	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5537	Suppressed
	"Anchorage Borough, AK"	"02020"	40	287677	13.9
	"Bethel Census Area, AK"	"02050"	Suppressed	16860	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	976	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1817	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4776	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	11	95238	Unreliable
	"Haines Borough, AK"	"02100"	Suppressed	2486	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	30857	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	11	54796	Unreliable
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13294	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13505	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1612	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	16	86885	Unreliable
	"Nome Census Area, AK"	"02180"	Suppressed	9313	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9105	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7467	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	5465	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	8844	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3119	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6955	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9492	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	7469	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	6106	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	665	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5495	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	71008	Suppressed
	"Cochise County, AZ"	"04003"	10	130081	Unreliable
	"Coconino County, AZ"	"04005"	Suppressed	133477	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	53561	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	37525	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	8635	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20514	Suppressed
	"Maricopa County, AZ"	"04013"	287	3803779	7.5
	"Mohave County, AZ"	"04015"	41	199696	20.5
	"Navajo County, AZ"	"04017"	Suppressed	107571	Suppressed
	"Pima County, AZ"	"04019"	140	975580	14.4
	"Pinal County, AZ"	"04021"	25	349830	7.1
	"Santa Cruz County, AZ"	"04023"	Suppressed	47011	Suppressed
	"Yavapai County, AZ"	"04025"	24	211172	11.4
	"Yuma County, AZ"	"04027"	Suppressed	193714	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	19134	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	21920	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	41561	Suppressed
	"Benton County, AR"	"05007"	11	216620	Unreliable
	"Boone County, AR"	"05009"	Suppressed	36844	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	11538	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5421	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	27158	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	11851	Suppressed
	"Clark County, AR"	"05019"	Suppressed	23100	Suppressed
	"Clay County, AR"	"05021"	Suppressed	16056	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	25870	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8649	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	24622	Suppressed
	"Conway County, AR"	"05029"	Suppressed	21257	Suppressed
	"Craighead County, AR"	"05031"	10	95482	Unreliable
	"Crawford County, AR"	"05033"	12	61595	Unreliable
	"Crittenden County, AR"	"05035"	Suppressed	50929	Suppressed
	"Cross County, AR"	"05037"	Suppressed	17971	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	8188	Suppressed
	"Desha County, AR"	"05041"	Suppressed	13108	Suppressed
	"Drew County, AR"	"05043"	Suppressed	18495	Suppressed
	"Faulkner County, AR"	"05045"	Suppressed	110813	Suppressed
	"Franklin County, AR"	"05047"	Suppressed	18145	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	12231	Suppressed
	"Garland County, AR"	"05051"	Suppressed	95840	Suppressed
	"Grant County, AR"	"05053"	Suppressed	17751	Suppressed
	"Greene County, AR"	"05055"	Suppressed	41723	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	22615	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	32797	Suppressed
	"Howard County, AR"	"05061"	Suppressed	13741	Suppressed
	"Independence County, AR"	"05063"	Suppressed	36259	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13679	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	17945	Suppressed
	"Jefferson County, AR"	"05069"	Suppressed	77759	Suppressed
	"Johnson County, AR"	"05071"	Suppressed	25374	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	7654	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	17336	Suppressed
	"Lee County, AR"	"05077"	Suppressed	10458	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	14185	Suppressed
	"Little River County, AR"	"05081"	Suppressed	13228	Suppressed
	"Logan County, AR"	"05083"	Suppressed	22429	Suppressed
	"Lonoke County, AR"	"05085"	Suppressed	67481	Suppressed
	"Madison County, AR"	"05087"	Suppressed	15673	Suppressed
	"Marion County, AR"	"05089"	Suppressed	16721	Suppressed
	"Miller County, AR"	"05091"	Suppressed	43284	Suppressed
	"Mississippi County, AR"	"05093"	Suppressed	46857	Suppressed
	"Monroe County, AR"	"05095"	Suppressed	8286	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	9490	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	9058	Suppressed
	"Newton County, AR"	"05101"	Suppressed	8311	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	26024	Suppressed
	"Perry County, AR"	"05105"	Suppressed	10443	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	21976	Suppressed
	"Pike County, AR"	"05109"	Suppressed	11260	Suppressed
	"Poinsett County, AR"	"05111"	Suppressed	24632	Suppressed
	"Polk County, AR"	"05113"	Suppressed	20583	Suppressed
	"Pope County, AR"	"05115"	Suppressed	61302	Suppressed
	"Prairie County, AR"	"05117"	Suppressed	8754	Suppressed
	"Pulaski County, AR"	"05119"	18	380053	Unreliable
	"Randolph County, AR"	"05121"	Suppressed	17964	Suppressed
	"St. Francis County, AR"	"05123"	Suppressed	28336	Suppressed
	"Saline County, AR"	"05125"	Suppressed	105362	Suppressed
	"Scott County, AR"	"05127"	Suppressed	11097	Suppressed
	"Searcy County, AR"	"05129"	Suppressed	8190	Suppressed
	"Sebastian County, AR"	"05131"	10	125116	Unreliable
	"Sevier County, AR"	"05133"	Suppressed	16812	Suppressed
	"Sharp County, AR"	"05135"	Suppressed	17373	Suppressed
	"Stone County, AR"	"05137"	Suppressed	12340	Suppressed
	"Union County, AR"	"05139"	Suppressed	41944	Suppressed
	"Van Buren County, AR"	"05141"	Suppressed	17293	Suppressed
	"Washington County, AR"	"05143"	Suppressed	199774	Suppressed
	"White County, AR"	"05145"	Suppressed	76284	Suppressed
	"Woodruff County, AR"	"05147"	Suppressed	7294	Suppressed
	"Yell County, AR"	"05149"	Suppressed	22145	Suppressed
	"Alameda County, CA"	"06001"	25	1498539	1.7
	"Alpine County, CA"	"06003"	Suppressed	1197	Suppressed
	"Amador County, CA"	"06005"	11	38238	Unreliable
	"Butte County, CA"	"06007"	16	219777	Unreliable
	"Calaveras County, CA"	"06009"	Suppressed	45900	Suppressed
	"Colusa County, CA"	"06011"	Suppressed	21250	Suppressed
