FIPS_Code,Prescription_Rate_2012
02013,–
02016,–
02020,75.3
02050,–
02060,–
02068,–
02070,–
02090,58.7
02100,–
02105,–
02110,90.9
02122,101.7
02130,112.7
02150,47.7
02164,–
02170,91.0
02180,–
02185,–
02188,–
02195,101.2
02198,10.7
02220,–
02230,–
02240,–
02261,60.9
02270,–
02275,–
02282,–
02290,–
01001,157.8
01003,156.4
01005,118.3
01007,69.2
01009,66.6
01011,40.8
01013,158.6
01015,185.6
01017,168.4
01019,165.3
01021,130.3
01023,125.8
01025,181.9
01027,144.6
01029,36.9
01031,168.8
01033,221.2
01035,172.7
01037,56.8
01039,202.5
01041,120.5
01043,191.4
01045,77.3
01047,118.6
01049,122.3
01051,137.8
01053,152.1
01055,191.1
01057,66.0
01059,246.0
01061,41.6
01063,32.9
01065,98.6
01067,37.5
01069,185.2
01071,140.7
01073,141.2
01075,50.6
01077,170.4
01079,129.3
01081,80.0
01083,76.5
01085,15.9
01087,62.3
01089,132.2
01091,141.5
01093,228.7
01095,240.4
01097,163.4
01099,130.4
01101,111.9
01103,161.6
01105,–
01107,126.4
01109,121.8
01111,137.9
01113,155.2
01115,117.5
01117,128.1
01119,51.6
01121,166.9
01123,110.1
01125,126.8
01127,335.1
01129,38.6
01131,50.0
01133,205.2
05001,90.1
05003,85.9
05005,159.9
05007,96.8
05009,168.7
05011,115.5
05013,111.8
05015,79.5
05017,60.6
05019,126.2
05021,70.0
05023,112.1
05025,–
05027,136.1
05029,107.4
05031,161.9
05033,184.6
05035,101.9
05037,116.1
05039,116.7
05041,129.7
05043,114.0
05045,106.4
05047,34.3
05049,111.2
05051,215.7
05053,28.2
05055,175.6
05057,154.6
05059,117.7
05061,167.0
05063,218.0
05065,108.0
05067,169.1
05069,91.3
05071,89.0
05073,–
05075,39.6
05077,–
05079,46.4
05081,119.5
05083,31.9
05085,121.0
05087,43.8
05089,69.7
05091,134.3
05093,113.7
05095,32.2
05097,112.2
05099,15.5
05101,–
05103,124.1
05105,99.3
05107,177.1
05109,–
05111,86.9
05113,83.3
05115,157.1
05117,119.3
05119,119.1
05121,108.2
05123,86.1
05125,106.4
05127,106.6
05129,118.6
05131,229.4
05133,27.7
05135,94.5
05137,76.7
05139,127.8
05141,85.1
05143,116.3
05145,133.0
05147,46.1
05149,30.5
04001,21.5
04003,87.4
04005,58.5
04007,135.8
04009,123.6
04011,–
04012,85.9
04013,83.6
04015,144.6
04017,76.1
04019,94.0
04021,66.2
04023,24.8
04025,116.2
04027,61.8
06001,43.0
06003,–
06005,139.0
06007,164.4
06009,100.2
06011,54.6
06013,59.6
06015,171.4
06017,79.6
06019,71.3
06021,83.2
06023,138.6
06025,56.2
06027,72.8
06029,68.3
06031,87.9
06033,176.4
06035,112.6
06037,41.8
06039,63.0
06041,51.9
06043,78.8
06045,137.2
06047,74.7
06049,138.8
06051,57.6
06053,68.7
06055,50.5
06057,110.0
06059,51.8
06061,75.2
06063,117.5
06065,56.9
06067,65.2
06069,46.2
06071,56.8
06073,49.1
06075,44.5
06077,70.4
06079,85.7
06081,40.3
06083,67.3
06085,32.3
06087,78.8
06089,163.6
06091,18.3
06093,121.3
06095,58.2
06097,72.3
06099,112.4
06101,139.5
06103,126.9
06105,126.7
06107,88.9
06109,181.9
06111,63.6
06113,65.4
06115,108.0
08001,61.9
08003,225.8
08005,66.5
08007,70.4
08009,99.9
08011,57.9
08013,59.9
08014,70.2
08015,116.4
08017,68.2
08019,41.2
08021,–
08023,–
08025,36.3
08027,–
08029,103.4
08031,50.4
08033,–
08035,58.5
08037,49.7
08039,34.8
08041,78.2
08043,85.5
08045,95.6
08047,–
08049,55.7
08051,59.5
08053,–
08055,117.3
08057,–
08059,86.4
08061,114.4
08063,–
08065,86.4
08067,79.7
08069,84.2
08071,121.4
08073,–
08075,101.1
08077,91.7
08079,–
08081,186.7
08083,97.4
08085,107.6
08087,96.7
08089,137.0
08091,46.4
08093,11.7
08095,33.8
08097,17.4
08099,99.4
08101,141.7
08103,40.2
08105,59.3
08107,81.5
08109,–
08111,–
08113,43.7
08115,79.4
08117,82.0
08119,122.2
08121,–
08123,75.6
08125,84.4
09001,54.5
09003,70.2
09005,73.9
09007,72.5
09009,79.4
09011,81.3
09013,55.4
09015,84.6
11001,40.3
10001,87.4
10003,85.4
10005,122.6
12001,78.2
12003,142.0
12005,124.2
12007,113.4
12009,98.6
12011,58.8
12013,71.3
12015,92.3
12017,110.4
12019,106.5
12021,66.3
12023,125.0
12027,59.5
12029,39.2
12031,99.0
12033,130.1
12035,89.3
12037,96.2
12039,65.9
12041,40.1
12043,5.3
12045,135.6
12047,45.0
12049,52.4
12051,78.2
12053,118.8
12055,78.7
12057,79.6
12059,108.0
12061,98.5
12063,120.7
12065,62.2
12067,61.1
12069,87.1
12071,74.8
12073,73.4
12075,129.4
12077,46.4
12079,81.8
