FIPS_Code,Prescription_Rate_2009
02013,–
02016,–
02020,74.6
02050,–
02060,–
02068,–
02070,–
02090,57.1
02100,–
02105,–
02110,99.4
02122,103.1
02130,136.0
02150,79.9
02164,–
02170,85.9
02180,–
02185,–
02188,–
02195,116.7
02198,–
02220,–
02230,–
02240,–
02261,61.8
02270,–
02275,12.0
02282,–
02290,–
01001,147.5
01003,143.9
01005,88.5
01007,109.6
01009,56.2
01011,46.3
01013,121.2
01015,175.9
01017,144.9
01019,162.5
01021,116.9
01023,95.7
01025,155.7
01027,137.4
01029,29.4
01031,127.0
01033,213.5
01035,199.5
01037,48.0
01039,187.6
01041,108.7
01043,174.7
01045,71.2
01047,112.8
01049,57.8
01051,108.4
01053,139.4
01055,159.6
01057,43.7
01059,174.1
01061,26.5
01063,60.1
01065,76.4
01067,42.9
01069,185.5
01071,130.0
01073,134.3
01075,62.5
01077,145.3
01079,67.0
01081,73.8
01083,74.6
01085,16.6
01087,57.1
01089,129.0
01091,129.8
01093,273.3
01095,209.4
01097,150.3
01099,106.1
01101,106.3
01103,160.1
01105,–
01107,114.3
01109,119.8
01111,58.3
01113,157.0
01115,102.0
01117,122.5
01119,45.9
01121,140.5
01123,95.3
01125,115.6
01127,329.8
01129,40.2
01131,54.4
01133,128.4
05001,84.0
05003,49.6
05005,170.6
05007,96.5
05009,155.7
05011,152.0
05013,110.2
05015,65.1
05017,–
05019,86.4
05021,57.8
05023,127.6
05025,–
05027,121.4
05029,75.3
05031,177.7
05033,126.6
05035,97.1
05037,101.9
05039,93.4
05041,130.7
05043,123.8
05045,107.5
05047,57.3
05049,65.0
05051,202.2
05053,31.9
05055,180.1
05057,128.5
05059,122.5
05061,166.0
05063,192.9
05065,151.7
05067,184.5
05069,88.9
05071,32.9
05073,–
05075,37.5
05077,–
05079,35.3
05081,49.0
05083,53.1
05085,107.3
05087,28.9
05089,54.0
05091,79.5
05093,131.6
05095,26.1
05097,90.1
05099,–
05101,31.7
05103,111.0
05105,91.4
05107,176.2
05109,–
05111,43.4
05113,115.2
05115,154.3
05117,118.6
05119,119.7
05121,87.5
05123,98.5
05125,111.5
05127,185.0
05129,99.6
05131,203.3
05133,34.8
05135,112.7
05137,59.3
05139,147.4
05141,70.6
05143,111.4
05145,132.9
05147,17.0
05149,30.1
04001,18.2
04003,83.3
04005,56.7
04007,127.4
04009,123.5
04011,–
04012,73.3
04013,82.5
04015,139.3
04017,79.4
04019,93.0
04021,65.1
04023,36.9
04025,104.3
04027,71.9
06001,43.9
06003,–
06005,133.2
06007,167.3
06009,93.7
06011,40.7
06013,59.6
06015,142.5
06017,83.8
06019,69.0
06021,69.2
06023,142.3
06025,50.7
06027,63.6
06029,65.0
06031,78.8
06033,166.0
06035,113.7
06037,41.2
06039,58.0
06041,56.5
06043,57.3
06045,129.4
06047,70.4
06049,140.5
06051,49.7
06053,69.1
06055,40.6
06057,111.8
06059,51.9
06061,74.6
06063,127.1
06065,56.4
06067,63.5
06069,50.6
06071,54.9
06073,47.5
06075,44.5
06077,66.8
06079,83.3
06081,40.1
06083,69.3
06085,31.7
06087,87.5
06089,169.4
06091,–
06093,125.5
06095,56.2
06097,71.6
06099,106.0
06101,132.4
06103,125.6
06105,121.4
06107,87.3
06109,176.9
06111,64.0
06113,63.5
06115,98.5
08001,57.6
08003,215.5
08005,62.4
08007,71.0
08009,78.7
08011,38.7
08013,62.4
08014,65.5
08015,91.7
08017,62.5
08019,54.3
08021,4.3
08023,–
08025,35.2
08027,–
08029,102.1
08031,47.6
08033,–
08035,59.9
08037,67.4
08039,24.4
08041,75.5
08043,77.6
08045,96.4
08047,–
08049,52.1
08051,41.3
08053,–
08055,94.0
08057,–
08059,81.0
08061,121.2
08063,–
08065,64.6
08067,80.0
08069,77.2
08071,143.6
08073,–
08075,74.3
08077,99.1
08079,–
08081,153.0
08083,92.2
08085,105.2
08087,85.7
08089,111.8
08091,34.2
08093,15.8
08095,22.0
08097,22.6
08099,90.2
08101,120.5
08103,–
08105,54.6
08107,88.7
08109,–
08111,–
08113,46.4
08115,90.3
08117,86.1
08119,127.1
08121,–
08123,62.6
08125,77.8
09001,53.9
09003,70.8
09005,71.9
09007,66.2
09009,76.2
09011,82.2
09013,54.6
09015,78.8
11001,34.4
10001,84.8
10003,91.7
10005,123.6
12001,91.8
12003,164.8
12005,135.3
12007,115.5
12009,106.0
12011,75.1
12013,80.6
12015,115.6
12017,111.5
12019,108.5
12021,75.4
12023,140.6
12027,68.9
12029,42.0
12031,104.6
12033,145.8
12035,103.2
12037,106.2
12039,62.9
12041,49.7
12043,–
12045,109.7
12047,58.2
12049,66.3
12051,91.7
12053,127.5
12055,86.9
12057,101.3
12059,109.0
12061,109.4
12063,65.1
12065,71.9
12067,46.7
12069,96.7
12071,89.8
12073,83.7
12075,130.0
12077,54.1
12079,74.1
12081,98.6
