FIPS_Code,Prescription_Rate_2010
02013,–
02016,–
02020,75.1
02050,–
02060,–
02068,–
02070,–
02090,54.8
02100,–
02105,–
02110,92.2
02122,103.0
02130,137.5
02150,62.2
02164,–
02170,100.5
02180,–
02185,–
02188,–
02195,107.8
02198,–
02220,–
02230,–
02240,–
02261,61.4
02270,–
02275,48.2
02282,–
02290,–
01001,151.7
01003,143.8
01005,97.0
01007,58.9
01009,60.1
01011,53.8
01013,117.5
01015,182.5
01017,150.3
01019,165.6
01021,114.7
01023,110.3
01025,166.6
01027,127.2
01029,19.8
01031,134.0
01033,209.6
01035,187.8
01037,50.6
01039,185.9
01041,116.9
01043,178.8
01045,79.1
01047,126.0
01049,81.2
01051,113.4
01053,145.7
01055,163.1
01057,46.7
01059,197.5
01061,29.9
01063,41.2
01065,91.1
01067,40.3
01069,192.6
01071,132.8
01073,138.0
01075,46.5
01077,145.0
01079,64.3
01081,74.3
01083,75.3
01085,16.7
01087,55.7
01089,132.8
01091,128.7
01093,229.9
01095,217.8
01097,149.6
01099,122.5
01101,105.5
01103,158.6
01105,–
01107,117.7
01109,117.4
01111,95.4
01113,157.8
01115,109.5
01117,124.2
01119,49.4
01121,147.4
01123,95.3
01125,118.7
01127,338.1
01129,38.2
01131,51.2
01133,139.3
05001,82.7
05003,46.8
05005,171.4
05007,97.8
05009,169.8
05011,139.2
05013,125.1
05015,61.6
05017,–
05019,96.3
05021,65.1
05023,132.0
05025,–
05027,128.9
05029,94.9
05031,171.8
05033,139.7
05035,99.9
05037,103.7
05039,99.0
05041,135.0
05043,130.8
05045,112.6
05047,59.0
05049,115.7
05051,210.3
05053,31.8
05055,168.5
05057,134.3
05059,120.3
05061,176.0
05063,206.7
05065,130.9
05067,174.1
05069,92.8
05071,37.7
05073,–
05075,41.9
05077,–
05079,41.5
05081,45.1
05083,54.5
05085,115.3
05087,30.6
05089,60.1
05091,136.0
05093,142.8
05095,–
05097,100.8
05099,–
05101,–
05103,104.8
05105,91.1
05107,189.5
05109,–
05111,40.4
05113,85.8
05115,161.9
05117,123.5
05119,122.8
05121,96.6
05123,101.3
05125,117.2
05127,186.9
05129,116.5
05131,220.8
05133,39.2
05135,117.2
05137,66.5
05139,140.6
05141,73.7
05143,116.3
05145,137.9
05147,24.6
05149,34.2
04001,19.7
04003,84.6
04005,58.2
04007,139.2
04009,126.0
04011,–
04012,102.9
04013,87.0
04015,146.5
04017,81.8
04019,97.0
04021,66.3
04023,36.5
04025,112.2
04027,77.4
06001,43.4
06003,–
06005,132.1
06007,169.1
06009,103.9
06011,46.4
06013,60.2
06015,140.4
06017,83.3
06019,70.1
06021,79.0
06023,142.4
06025,55.9
06027,71.1
06029,66.8
06031,82.0
06033,169.7
06035,120.1
06037,41.0
06039,61.9
06041,54.3
06043,65.7
06045,135.1
06047,71.0
06049,129.4
06051,56.4
06053,69.8
06055,43.8
06057,119.3
06059,51.8
06061,73.6
06063,121.8
06065,56.9
06067,64.3
06069,50.5
06071,54.8
06073,47.0
06075,44.9
06077,66.8
06079,85.2
06081,40.8
06083,69.2
06085,32.2
06087,85.8
06089,164.0
06091,–
06093,131.3
06095,56.5
06097,69.4
06099,106.9
06101,147.3
06103,124.6
06105,144.9
06107,89.4
06109,185.4
06111,63.6
06113,62.3
06115,111.2
08001,60.1
08003,210.6
08005,64.6
08007,81.1
08009,82.8
08011,45.0
08013,63.0
08014,67.3
08015,103.6
08017,82.5
08019,50.4
08021,6.4
08023,–
08025,38.3
08027,–
08029,92.6
08031,49.6
08033,–
08035,61.2
08037,65.4
08039,33.9
08041,79.0
08043,76.0
08045,96.0
08047,–
08049,55.1
08051,56.3
08053,–
08055,112.5
08057,–
08059,83.3
08061,122.1
08063,–
08065,86.4
08067,82.0
08069,80.4
08071,161.5
08073,–
08075,87.2
08077,96.0
08079,–
08081,182.1
08083,94.8
08085,106.2
08087,90.7
08089,113.8
08091,36.0
08093,13.8
08095,17.5
08097,–
08099,93.8
08101,125.3
08103,15.3
08105,47.9
08107,78.6
08109,–
08111,–
08113,45.6
08115,26.6
08117,93.0
08119,137.1
08121,–
08123,65.3
08125,78.8
09001,54.0
09003,71.1
09005,73.0
09007,68.6
09009,76.3
09011,83.6
09013,56.3
09015,81.1
11001,37.1
10001,86.8
10003,93.3
10005,134.0
12001,85.3
12003,157.5
12005,121.5
12007,120.0
12009,107.9
12011,77.3
12013,83.1
12015,117.2
12017,115.0
12019,109.0
12021,77.8
12023,136.5
12027,71.4
12029,38.9
12031,106.8
12033,149.2
12035,104.7
12037,111.4
12039,61.2
12041,45.0
12043,–
12045,138.5
12047,59.6
12049,69.7
12051,94.2
12053,135.3
12055,91.6
12057,104.3
12059,107.1
12061,111.5
12063,71.6
12065,70.0
12067,61.0
12069,98.8
12071,90.3
12073,80.8
12075,130.6
12077,54.0
12079,70.0
12081,101.6
