FIPS_Code,Prescription_Rate_2011
02013,–
02016,–
02020,75.4
02050,–
02060,–
02068,–
02070,–
02090,58.0
02100,–
02105,–
02110,91.3
02122,102.6
02130,138.2
02150,50.2
02164,–
02170,97.1
02180,–
02185,–
02188,–
02195,94.5
02198,–
02220,–
02230,–
02240,–
02261,56.6
02270,–
02275,–
02282,–
02290,–
01001,144.1
01003,150.0
01005,99.4
01007,57.7
01009,64.8
01011,41.0
01013,135.8
01015,176.7
01017,152.5
01019,159.7
01021,120.7
01023,115.3
01025,171.9
01027,130.3
01029,26.1
01031,152.6
01033,208.7
01035,170.7
01037,52.0
01039,178.0
01041,113.7
01043,180.6
01045,75.1
01047,122.5
01049,100.6
01051,129.9
01053,149.0
01055,158.2
01057,48.9
01059,223.2
01061,31.7
01063,46.5
01065,92.6
01067,35.0
01069,192.8
01071,125.1
01073,139.9
01075,46.9
01077,146.3
01079,87.3
01081,78.0
01083,71.6
01085,16.2
01087,53.3
01089,132.9
01091,132.6
01093,224.8
01095,224.7
01097,152.8
01099,122.7
01101,105.7
01103,156.5
01105,–
01107,120.5
01109,122.9
01111,104.1
01113,160.9
01115,107.9
01117,127.5
01119,52.0
01121,155.9
01123,98.6
01125,118.2
01127,340.2
01129,37.6
01131,45.9
01133,194.4
05001,84.9
05003,73.2
05005,175.7
05007,89.9
05009,155.3
05011,68.8
05013,127.8
05015,75.5
05017,52.8
05019,126.5
05021,57.9
05023,131.5
05025,–
05027,129.2
05029,101.8
05031,155.4
05033,160.9
05035,100.0
05037,105.3
05039,105.3
05041,129.3
05043,129.7
05045,108.9
05047,61.9
05049,105.3
05051,195.9
05053,30.2
05055,136.4
05057,148.8
05059,103.8
05061,166.8
05063,214.0
05065,120.0
05067,146.7
05069,58.9
05071,38.0
05073,–
05075,43.3
05077,–
05079,28.8
05081,73.2
05083,53.6
05085,121.2
05087,27.8
05089,58.7
05091,122.9
05093,118.7
05095,25.2
05097,112.0
05099,–
05101,–
05103,90.8
05105,93.9
05107,186.0
05109,–
05111,39.1
05113,29.2
05115,150.7
05117,117.6
05119,118.3
05121,97.4
05123,80.0
05125,102.1
05127,80.0
05129,122.1
05131,228.5
05133,40.7
05135,113.6
05137,66.2
05139,105.8
05141,73.2
05143,119.6
05145,125.0
05147,34.9
05149,35.3
04001,15.9
04003,86.4
04005,61.3
04007,141.7
04009,124.2
04011,–
04012,136.2
04013,86.1
04015,146.8
04017,80.6
04019,98.3
04021,70.0
04023,35.9
04025,114.7
04027,79.0
06001,43.2
06003,–
06005,140.5
06007,163.1
06009,105.1
06011,51.1
06013,59.8
06015,139.2
06017,79.5
06019,70.8
06021,83.9
06023,143.8
06025,55.0
06027,69.7
06029,66.5
06031,83.6
06033,172.6
06035,102.9
06037,41.4
06039,61.4
06041,53.9
06043,74.5
06045,137.0
06047,71.7
06049,135.9
06051,56.9
06053,70.2
06055,42.3
06057,115.4
06059,51.9
06061,74.0
06063,113.7
06065,57.3
06067,63.3
06069,48.0
06071,55.1
06073,47.2
06075,45.0
06077,67.3
06079,84.8
06081,41.6
06083,69.4
06085,32.4
06087,83.7
06089,157.4
06091,–
06093,125.8
06095,57.2
06097,69.8
06099,108.5
06101,149.7
06103,133.5
06105,135.6
06107,89.9
06109,170.9
06111,64.1
06113,64.0
06115,108.8
08001,60.0
08003,218.4
08005,64.8
08007,62.1
08009,104.3
08011,51.7
08013,63.3
08014,69.9
08015,97.9
08017,77.8
08019,47.5
08021,–
08023,–
08025,33.8
08027,–
08029,87.6
08031,51.1
08033,–
08035,61.1
08037,54.9
08039,30.6
08041,79.4
08043,75.1
08045,94.3
08047,–
08049,54.4
08051,57.1
08053,–
08055,120.1
08057,–
08059,85.1
08061,117.6
08063,–
08065,93.1
08067,81.9
08069,83.4
08071,165.3
08073,–
08075,101.6
08077,92.4
08079,–
08081,202.7
08083,96.8
08085,113.2
08087,93.3
08089,119.7
08091,44.9
08093,13.1
08095,28.4
08097,6.6
08099,98.8
08101,131.2
08103,36.7
08105,48.5
08107,80.7
08109,–
08111,–
08113,38.9
08115,146.1
08117,90.6
08119,142.6
08121,–
08123,69.9
08125,75.1
09001,55.0
09003,70.4
09005,74.7
09007,72.8
09009,78.1
09011,79.8
09013,56.0
09015,82.9
11001,39.8
10001,88.0
10003,90.8
10005,133.7
12001,82.7
12003,146.5
12005,120.4
12007,112.6
12009,105.5
12011,68.5
12013,78.5
12015,116.6
12017,118.7
12019,105.6
12021,75.2
12023,131.1
12027,71.7
12029,36.4
12031,102.4
12033,146.5
12035,102.9
12037,97.1
12039,63.6
12041,43.4
12043,0.2
12045,133.9
12047,55.2
12049,65.3
12051,89.2
12053,126.2
12055,93.7
12057,89.2
12059,102.4
12061,116.1
12063,101.5
12065,66.6
12067,60.1
12069,91.3
12071,88.9
12073,79.3
12075,125.2
12077,48.3
12079,72.5
12081,99.6
