FIPS_Code,Prescription_Rate_2015
02013,–
02016,–
02020,68.2
02050,–
02060,–
02068,–
02070,–
02090,50.5
02100,–
02105,–
02110,81.3
02122,100.1
02130,101.8
02150,34.2
02164,–
02170,78.9
02180,–
02185,–
02188,–
02195,80.3
02198,63.9
02220,10.5
02230,–
02240,–
02261,43.0
02270,–
02275,0.4
02282,–
02290,–
01001,129.9
01003,132.1
01005,93.3
01007,69.4
01009,57.9
01011,23.4
01013,140.5
01015,165.4
01017,147.3
01019,169.2
01021,120.6
01023,97.0
01025,165.6
01027,139.7
01029,51.1
01031,131.9
01033,222.9
01035,102.8
01037,26.8
01039,198.8
01041,94.0
01043,172.0
01045,63.8
01047,115.7
01049,117.6
01051,113.1
01053,174.3
01055,171.9
01057,162.0
01059,222.4
01061,56.4
01063,78.7
01065,85.1
01067,49.2
01069,146.6
01071,117.3
01073,123.4
01075,107.9
01077,140.2
01079,126.2
01081,63.2
01083,70.2
01085,0.4
01087,62.3
01089,117.4
01091,130.8
01093,192.9
01095,200.4
01097,143.0
01099,134.5
01101,87.0
01103,138.0
01105,4.0
01107,98.9
01109,104.7
01111,112.1
01113,117.9
01115,107.6
01117,103.4
01119,41.3
01121,140.1
01123,103.1
01125,114.0
01127,249.9
01129,37.8
01131,63.5
01133,169.3
05001,84.3
05003,120.7
05005,140.5
05007,93.2
05009,169.5
05011,129.3
05013,88.7
05015,72.2
05017,85.4
05019,99.7
05021,144.2
05023,111.9
05025,0.6
05027,116.6
05029,133.7
05031,164.4
05033,164.7
05035,106.5
05037,128.1
05039,106.5
05041,163.3
05043,116.6
05045,97.4
05047,29.5
05049,93.7
05051,182.5
05053,80.9
05055,174.4
05057,119.6
05059,104.3
05061,170.8
05063,164.7
05065,76.7
05067,148.4
05069,112.4
05071,136.0
05073,1.7
05075,39.5
05077,51.3
05079,81.8
05081,163.8
05083,39.8
05085,110.1
05087,79.7
05089,85.4
05091,129.7
05093,137.0
05095,102.8
05097,108.4
05099,–
05101,1.8
05103,142.5
05105,48.3
05107,161.4
05109,4.7
05111,98.4
05113,123.3
05115,134.1
05117,88.6
05119,111.6
05121,114.4
05123,92.4
05125,96.9
05127,155.5
05129,86.0
05131,174.6
05133,65.2
05135,147.0
05137,159.5
05139,136.3
05141,109.0
05143,101.6
05145,125.3
05147,4.7
05149,69.3
04001,18.8
04003,83.5
04005,56.2
04007,116.3
04009,99.2
04011,0.5
04012,82.6
04013,73.7
04015,133.9
04017,70.3
04019,79.4
04021,63.2
04023,24.8
04025,104.5
04027,58.0
06001,33.6
06003,–
06005,114.7
06007,136.9
06009,92.2
06011,41.2
06013,45.8
06015,147.0
06017,68.8
06019,59.6
06021,66.8
06023,100.7
06025,53.7
06027,60.7
06029,62.4
06031,67.7
06033,137.0
06035,93.4
06037,35.3
06039,52.6
06041,39.4
06043,69.8
06045,118.2
06047,68.5
06049,100.2
06051,54.0
06053,55.6
06055,46.4
06057,86.0
06059,43.9
06061,66.5
06063,90.2
06065,52.4
06067,53.8
06069,50.4
06071,54.8
06073,42.7
06075,35.4
06077,59.2
06079,77.3
06081,33.2
06083,57.6
06085,26.1
06087,62.3
06089,132.5
06091,28.7
06093,124.0
06095,46.7
06097,58.0
06099,90.8
06101,108.8
06103,103.9
06105,110.2
06107,68.8
06109,126.4
06111,56.7
06113,47.6
06115,92.0
08001,56.6
08003,165.5
08005,63.6
08007,77.6
08009,81.2
08011,65.5
08013,51.3
08014,55.4
08015,97.9
08017,73.0
08019,36.1
08021,1.3
08023,–
08025,32.3
08027,–
08029,90.4
08031,44.3
08033,–
08035,54.9
08037,48.6
08039,35.1
08041,72.5
08043,76.4
08045,86.2
08047,–
08049,47.4
08051,54.5
08053,–
08055,77.7
08057,–
08059,76.3
08061,131.5
08063,42.6
08065,53.5
08067,63.6
08069,70.0
08071,135.6
08073,1.2
08075,90.9
08077,86.2
08079,–
08081,109.8
08083,99.5
08085,88.9
08087,74.4
08089,111.4
08091,39.9
08093,0.0
08095,33.2
08097,28.4
08099,88.4
08101,116.5
08103,29.2
08105,91.7
08107,69.3
08109,–
08111,–
08113,41.6
08115,3.5
08117,66.1
08119,115.6
08121,–
08123,63.0
08125,77.7
09001,48.2
09003,62.7
09005,66.9
09007,70.5
09009,70.6
09011,74.9
09013,52.3
09015,78.1
11001,35.7
10001,84.4
10003,78.3
10005,100.1
12001,69.3
12003,116.9
12005,121.5
12007,92.9
12009,93.0
12011,52.0
12013,75.2
12015,77.8
12017,104.0
12019,88.5
12021,58.5
12023,119.5
12027,54.5
12029,48.0
12031,88.6
12033,116.4
12035,77.6
12037,93.6
12039,58.4
12041,46.8
12043,4.9
12045,136.5
12047,37.0
12049,42.1
12051,68.9
12053,109.3
12055,79.5
12057,67.0
12059,86.0
12061,96.7
12063,107.2
12065,51.4
12067,60.2
12069,82.4
12071,65.4
12073,68.7
